,projectName,issue_count_for_project_x,issue_count_for_project_y,projectOccurrencesInProjectSplits,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,spring-framework,11,165,15,0.9397569453177265,0.9272727272727272,0.9294438552936091
1,spring-security,20,180,9,0.8562937062937064,0.85,0.8522452830188679
2,redisson,25,1325,53,0.8826791772342502,0.8271698113207547,0.8520857261866492
3,junit5,12,456,38,0.9259737318840581,0.8157894736842105,0.8473836154001204
4,ExoPlayer,12,324,27,0.8412656655732306,0.8333333333333334,0.8369399387015392
5,spring-session,15,680,40,0.7850220480349002,0.7823529411764706,0.7766309794994388
6,hazelcast,16,448,28,0.7580753194629707,0.7098214285714286,0.7089269066917383
7,async-http-client,14,448,32,0.7876124433143402,0.6897321428571429,0.7063288713956271
8,ALL_OTHERS,185,1349,100,0.6810942187053272,0.6575240919199407,0.665311601697953
9,elasticsearch,41,3198,78,0.6715974720732557,0.6457160725453408,0.6473450022492774
10,checkstyle,14,196,14,0.7238694219826296,0.6683673469387755,0.62614062895144
11,spring-boot,35,455,13,0.7249618029029794,0.5846153846153846,0.5758683108332864
12,n4js,12,264,22,0.5987144322540363,0.5946969696969697,0.5480537748033344
