,projectName,issue_count_for_project_x,issue_count_for_project_y,projectOccurrencesInProjectSplits,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,spring-framework,11,165,15,0.9272562582345192,0.9212121212121213,0.9167855600263702
1,junit5,12,456,38,0.9194444444444444,0.8267543859649122,0.8476443469949964
2,spring-security,20,180,9,0.8604581331503087,0.8388888888888889,0.8461436479508767
3,redisson,25,1325,53,0.8726151618815201,0.8218867924528301,0.8458625121794063
4,async-http-client,14,448,32,0.8463857655796053,0.7790178571428571,0.8011525142054434
5,spring-session,15,680,40,0.7693621544391382,0.7911764705882353,0.7736684297210251
6,ExoPlayer,12,324,27,0.7593349923903041,0.7746913580246914,0.7477381979709471
7,ALL_OTHERS,185,1349,100,0.6662525626507246,0.6471460340993328,0.6497231892316954
8,hazelcast,16,448,28,0.7221922919880228,0.6428571428571429,0.6440875800377869
9,n4js,12,264,22,0.711875,0.6477272727272727,0.6043435135775462
10,elasticsearch,41,3198,78,0.6368386840323766,0.5894308943089431,0.5758622183620159
11,checkstyle,14,196,14,0.5151901669758813,0.6071428571428571,0.5564474804240019
12,spring-boot,35,455,13,0.7833219412166781,0.5626373626373626,0.5489301911240687
