,projectName,issue_count_for_project_x,issue_count_for_project_y,projectOccurrencesInProjectSplits,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,spring-framework,11,165,15,0.8646761567055519,0.8666666666666667,0.8656131280588487
1,junit5,12,456,38,0.9049516908212559,0.8092105263157895,0.8283452409439487
2,spring-security,20,180,9,0.852077067669173,0.7944444444444444,0.816152799147828
3,redisson,25,1325,53,0.825187479799697,0.8045283018867925,0.8052473040632269
4,spring-session,15,680,40,0.7417135933282255,0.7794117647058824,0.7563679798359818
5,async-http-client,14,448,32,0.7355550916018582,0.6607142857142857,0.6732183025930244
6,ExoPlayer,12,324,27,0.6399808694236405,0.6820987654320988,0.65439115537692
7,n4js,12,264,22,0.7730917730917731,0.6401515151515151,0.6235775761607325
8,ALL_OTHERS,185,1349,100,0.6306562085225426,0.6100815418828762,0.6090444807069478
9,hazelcast,16,448,28,0.7501104898061144,0.640625,0.6050494085734647
10,spring-boot,35,455,13,0.7185022408991952,0.5604395604395604,0.5143561092698642
11,checkstyle,14,196,14,0.48903396801758675,0.5408163265306123,0.5058529394682293
12,elasticsearch,41,3198,78,0.4698883026619911,0.5209505941213258,0.46586762579558616
