,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6406483532614498,0.6398866127078646,0.6059523809523809,0.6049382716049383,0.6049382716049383,0.6154294600723172,0.6146216889603134,"[[12, 3, 1, 4], [7, 11, 0, 2], [3, 0, 15, 2], [7, 2, 1, 11]]",0.4897959183673469,0.6,0.41379310344827586,0.6111111111111112,0.55,0.6875,0.8108108108108107,0.75,0.8823529411764706,0.5500000000000002,0.5238095238095238,0.5789473684210527,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,4,0.8020050125313284,0.8026857266623348,0.5339285714285714,0.5308641975308642,0.5308641975308642,0.5333092833092832,0.532016223374248,"[[20, 0, 0, 0], [13, 7, 0, 0], [9, 0, 10, 1], [15, 0, 0, 6]]",0.5194805194805194,1.0,0.3508771929824561,0.5185185185185185,0.35,1.0,0.6666666666666666,0.5,1.0,0.42857142857142855,0.2857142857142857,0.8571428571428571,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,2,0.571936624507004,0.5697565283675261,0.5148809523809523,0.5185185185185185,0.5185185185185185,0.4985065760389036,0.49891081584089253,"[[17, 2, 0, 2], [13, 5, 1, 1], [5, 0, 14, 1], [8, 2, 4, 6]]",0.53125,0.8095238095238095,0.3953488372093023,0.3448275862068966,0.25,0.5555555555555556,0.717948717948718,0.7,0.7368421052631579,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,3,0.6274556712637209,0.6255190362517504,0.5577380952380953,0.5555555555555556,0.5555555555555556,0.5597840541286476,0.5580713205169228,"[[16, 1, 0, 3], [7, 9, 1, 3], [4, 1, 12, 3], [11, 0, 2, 8]]",0.5517241379310345,0.8,0.42105263157894735,0.5806451612903226,0.45,0.8181818181818182,0.6857142857142857,0.6,0.8,0.42105263157894735,0.38095238095238093,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,1,0.6783411033411034,0.6809404587182364,0.5702380952380952,0.5679012345679012,0.5679012345679012,0.566599025974026,0.5661883384105607,"[[18, 0, 1, 1], [11, 8, 0, 2], [6, 0, 12, 2], [9, 1, 2, 8]]",0.5625000000000001,0.9,0.4090909090909091,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.6857142857142857,0.6,0.8,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.6694811076604554,0.6726427182750088,0.5732142857142858,0.573170731707317,0.573170731707317,0.5536810036810036,0.5564116393384686,"[[19, 0, 1, 0], [7, 13, 0, 1], [7, 2, 11, 1], [13, 1, 2, 4]]",0.5757575757575758,0.95,0.41304347826086957,0.7027027027027026,0.6190476190476191,0.8125,0.6285714285714286,0.5238095238095238,0.7857142857142857,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,3,0.6104465709728868,0.6085218658318073,0.606547619047619,0.6049382716049383,0.6049382716049383,0.6075071399428804,0.6057492280802494,"[[12, 2, 2, 4], [3, 13, 1, 3], [0, 1, 14, 5], [3, 3, 5, 10]]",0.631578947368421,0.6,0.6666666666666666,0.6666666666666667,0.65,0.6842105263157895,0.6666666666666666,0.7,0.6363636363636364,0.46511627906976744,0.47619047619047616,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,2,0.627199074074074,0.6274805669867398,0.6297619047619049,0.6296296296296297,0.6296296296296297,0.6222823860377461,0.6224288546232483,"[[13, 4, 2, 2], [3, 12, 1, 4], [1, 1, 17, 1], [3, 1, 7, 9]]",0.6341463414634146,0.6190476190476191,0.65,0.631578947368421,0.6,0.6666666666666666,0.723404255319149,0.85,0.6296296296296297,0.5,0.45,0.5625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,1,0.6479853479853479,0.6506851173517839,0.6297619047619047,0.6296296296296297,0.6296296296296297,0.624289570900824,0.625498615978866,"[[15, 0, 3, 2], [4, 13, 1, 3], [4, 0, 15, 1], [3, 2, 7, 8]]",0.6521739130434783,0.75,0.5769230769230769,0.7222222222222222,0.6190476190476191,0.8666666666666667,0.6521739130434783,0.75,0.5769230769230769,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,4,0.6681216931216931,0.6678097850937358,0.6571428571428571,0.654320987654321,0.654320987654321,0.6475177304964539,0.6458728907901484,"[[15, 2, 1, 2], [4, 12, 2, 2], [2, 0, 17, 1], [4, 1, 7, 9]]",0.6666666666666665,0.75,0.6,0.6857142857142857,0.6,0.8,0.723404255319149,0.85,0.6296296296296297,0.5142857142857143,0.42857142857142855,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,1,0.7408263305322129,0.7425735726389321,0.7160714285714286,0.7160493827160493,0.7160493827160493,0.7144272445820434,0.7153537438367159,"[[17, 0, 1, 2], [5, 15, 0, 1], [3, 0, 16, 1], [5, 2, 3, 10]]",0.68,0.85,0.5666666666666667,0.7894736842105262,0.7142857142857143,0.8823529411764706,0.8000000000000002,0.8,0.8,0.588235294117647,0.5,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,3,0.6668442739414607,0.6650528524166869,0.6553571428571427,0.654320987654321,0.654320987654321,0.6582217858227649,0.6568295976700709,"[[15, 2, 0, 3], [4, 11, 0, 5], [0, 2, 15, 3], [4, 3, 2, 12]]",0.6976744186046512,0.75,0.6521739130434783,0.5789473684210527,0.55,0.6111111111111112,0.8108108108108107,0.75,0.8823529411764706,0.5454545454545454,0.5714285714285714,0.5217391304347826,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,2,0.6883771929824561,0.6889755252328351,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.643961038961039,0.6446528779862113,"[[14, 4, 2, 1], [2, 16, 2, 0], [0, 1, 18, 1], [3, 3, 8, 6]]",0.7,0.6666666666666666,0.7368421052631579,0.7272727272727272,0.8,0.6666666666666666,0.7200000000000001,0.9,0.6,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,4,0.7528001792114696,0.7543088189742909,0.7083333333333334,0.7037037037037037,0.7037037037037037,0.6895047410153634,0.6869523197767745,"[[16, 3, 0, 1], [2, 18, 0, 0], [1, 3, 16, 0], [5, 7, 2, 7]]",0.7272727272727272,0.8,0.6666666666666666,0.7058823529411764,0.9,0.5806451612903226,0.8421052631578948,0.8,0.8888888888888888,0.48275862068965514,0.3333333333333333,0.875,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,1,0.6696844821844823,0.670395448173226,0.6779761904761905,0.6790123456790124,0.6790123456790124,0.6631309495918518,0.6641316298007379,"[[17, 0, 1, 2], [3, 16, 1, 1], [1, 2, 15, 2], [5, 4, 4, 7]]",0.7391304347826088,0.85,0.6538461538461539,0.7441860465116279,0.7619047619047619,0.7272727272727273,0.7317073170731706,0.75,0.7142857142857143,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,2,0.7009398496240601,0.7020328599275967,0.6535714285714286,0.654320987654321,0.654320987654321,0.6502435064935065,0.6514750681417348,"[[15, 1, 4, 1], [3, 10, 4, 3], [0, 1, 18, 1], [1, 0, 9, 10]]",0.7500000000000001,0.7142857142857143,0.7894736842105263,0.625,0.5,0.8333333333333334,0.6545454545454545,0.9,0.5142857142857142,0.5714285714285715,0.5,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.7453878474466709,0.7456934743878789,0.730952380952381,0.7317073170731707,0.7317073170731707,0.726353482789159,0.7269643679902974,"[[17, 0, 3, 0], [3, 14, 2, 2], [1, 1, 18, 1], [4, 2, 3, 11]]",0.7555555555555556,0.85,0.68,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.7659574468085107,0.8571428571428571,0.6923076923076923,0.6470588235294117,0.55,0.7857142857142857,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.696395173453997,0.6977456498546886,0.694047619047619,0.6951219512195121,0.6951219512195121,0.6816946179256905,0.6830675850500123,"[[18, 0, 2, 0], [2, 14, 2, 3], [1, 1, 17, 2], [6, 2, 4, 8]]",0.7659574468085106,0.9,0.6666666666666666,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.7391304347826089,0.8095238095238095,0.68,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,3,0.6751508295625942,0.6750460868107927,0.6702380952380952,0.6666666666666666,0.6666666666666666,0.65558344906171,0.6534756099973492,"[[18, 0, 2, 0], [4, 13, 2, 1], [0, 2, 15, 3], [4, 2, 7, 8]]",0.7826086956521738,0.9,0.6923076923076923,0.7027027027027027,0.65,0.7647058823529411,0.6521739130434783,0.75,0.5769230769230769,0.4848484848484849,0.38095238095238093,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.7481818181818182,0.7480677858726639,0.743452380952381,0.7439024390243902,0.7439024390243902,0.7380105530584327,0.7383637516265723,"[[18, 0, 2, 0], [0, 17, 2, 2], [3, 2, 15, 1], [4, 3, 2, 11]]",0.7999999999999999,0.9,0.72,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6470588235294117,0.55,0.7857142857142857,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
