,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.6097756410256411,0.6097756410256411,0.4875,0.4875,0.4875,0.47093102975455925,0.4709310297545592,"[[18, 1, 1, 0], [9, 10, 1, 0], [12, 1, 6, 1], [9, 1, 5, 5]]",0.5294117647058825,0.9,0.375,0.6060606060606061,0.5,0.7692307692307693,0.3636363636363637,0.3,0.46153846153846156,0.3846153846153846,0.25,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,2,0.6110994397759103,0.6110994397759104,0.5375,0.5375,0.5375,0.5281477906477906,0.5281477906477906,"[[15, 0, 1, 4], [7, 6, 3, 4], [5, 0, 14, 1], [9, 1, 2, 8]]",0.5357142857142857,0.75,0.4166666666666667,0.4444444444444444,0.3,0.8571428571428571,0.7,0.7,0.7,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,1,0.6301406926406927,0.6301406926406926,0.5375,0.5375,0.5375,0.5133530114554783,0.5133530114554782,"[[20, 0, 0, 0], [12, 4, 2, 2], [8, 2, 10, 0], [8, 1, 2, 9]]",0.5882352941176471,1.0,0.4166666666666667,0.29629629629629634,0.2,0.5714285714285714,0.588235294117647,0.5,0.7142857142857143,0.5806451612903226,0.45,0.8181818181818182,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,1,0.6345238095238095,0.6345238095238096,0.5625,0.5625,0.5625,0.5462962962962963,0.5462962962962963,"[[15, 0, 1, 4], [6, 7, 4, 3], [3, 0, 16, 1], [6, 0, 7, 7]]",0.6,0.75,0.5,0.5185185185185185,0.35,1.0,0.6666666666666666,0.8,0.5714285714285714,0.4,0.35,0.4666666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,0,0.6330601410524684,0.6330601410524684,0.625,0.625,0.625,0.6265234897425839,0.6265234897425839,"[[13, 2, 3, 2], [2, 15, 0, 3], [5, 1, 12, 2], [3, 0, 7, 10]]",0.6046511627906976,0.65,0.5652173913043478,0.7894736842105262,0.75,0.8333333333333334,0.5714285714285713,0.6,0.5454545454545454,0.5405405405405405,0.5,0.5882352941176471,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,2,0.6476437256824926,0.6476437256824926,0.6375,0.6375,0.6375,0.6404719873239443,0.6404719873239442,"[[13, 0, 2, 5], [2, 13, 2, 3], [3, 1, 14, 2], [5, 3, 1, 11]]",0.6046511627906976,0.65,0.5652173913043478,0.7027027027027027,0.65,0.7647058823529411,0.717948717948718,0.7,0.7368421052631579,0.5365853658536585,0.55,0.5238095238095238,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,2,0.6479250634423048,0.6479250634423048,0.6249999999999999,0.625,0.625,0.6230892356942778,0.6230892356942778,"[[15, 0, 3, 2], [3, 13, 2, 2], [4, 0, 14, 2], [7, 2, 3, 8]]",0.6122448979591838,0.75,0.5172413793103449,0.7428571428571429,0.65,0.8666666666666667,0.6666666666666666,0.7,0.6363636363636364,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,4,0.6680451127819549,0.667459788712287,0.6032894736842105,0.6075949367088608,0.6075949367088608,0.5894214980421877,0.5920139804906283,"[[18, 2, 0, 0], [7, 12, 0, 1], [6, 0, 13, 1], [7, 1, 6, 5]]",0.6206896551724138,0.9,0.47368421052631576,0.6857142857142857,0.6,0.8,0.6666666666666667,0.65,0.6842105263157895,0.3846153846153846,0.2631578947368421,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,3,0.6371406371406372,0.6354686101521545,0.569078947368421,0.569620253164557,0.569620253164557,0.5502220480668756,0.5492754917132918,"[[20, 0, 0, 0], [9, 10, 1, 0], [4, 1, 10, 4], [11, 2, 2, 5]]",0.625,1.0,0.45454545454545453,0.6060606060606061,0.5,0.7692307692307693,0.625,0.5263157894736842,0.7692307692307693,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,4,0.6680506993006993,0.6687173585907763,0.6677631578947368,0.6708860759493671,0.6708860759493671,0.661525974025974,0.6635706066085812,"[[15, 4, 0, 1], [3, 15, 0, 2], [3, 0, 15, 2], [3, 1, 7, 8]]",0.6818181818181818,0.75,0.625,0.75,0.75,0.75,0.7142857142857143,0.75,0.6818181818181818,0.5,0.42105263157894735,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
