,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.5940539852304558,0.5940539852304558,0.6,0.6,0.6,0.5958258781429513,0.5958258781429513,"[[11, 2, 4, 3], [2, 14, 0, 4], [3, 0, 15, 2], [5, 4, 3, 8]]",0.5365853658536585,0.55,0.5238095238095238,0.7,0.7,0.7,0.7142857142857143,0.75,0.6818181818181818,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,0,0.722911051212938,0.722911051212938,0.5375,0.5375,0.5375,0.5295788939624556,0.5295788939624556,"[[20, 0, 0, 0], [9, 10, 0, 1], [11, 0, 8, 1], [13, 0, 2, 5]]",0.5479452054794521,1.0,0.37735849056603776,0.6666666666666666,0.5,1.0,0.5333333333333333,0.4,0.8,0.37037037037037035,0.25,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,2,0.6438204508856682,0.6438204508856683,0.6375000000000001,0.6375,0.6375,0.621064242124361,0.6210642421243608,"[[11, 5, 3, 1], [2, 17, 0, 1], [2, 1, 16, 1], [5, 4, 4, 7]]",0.55,0.55,0.55,0.723404255319149,0.85,0.6296296296296297,0.7441860465116279,0.8,0.6956521739130435,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,3,0.6841269841269841,0.6832931484830219,0.6848684210526316,0.6835443037974683,0.6835443037974683,0.6837871531549323,0.6827055883944787,"[[11, 4, 3, 2], [4, 15, 1, 0], [1, 0, 15, 3], [4, 2, 1, 13]]",0.55,0.55,0.55,0.7317073170731706,0.75,0.7142857142857143,0.7692307692307692,0.7894736842105263,0.75,0.6842105263157895,0.65,0.7222222222222222,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,4,0.6628787878787878,0.6628308400460298,0.5526315789473684,0.5569620253164557,0.5569620253164557,0.5398100594227504,0.5425924652382283,"[[18, 0, 1, 1], [9, 10, 1, 0], [6, 1, 12, 1], [11, 0, 4, 4]]",0.5625000000000001,0.9,0.4090909090909091,0.6451612903225806,0.5,0.9090909090909091,0.631578947368421,0.6,0.6666666666666666,0.32,0.21052631578947367,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,2,0.7840995440729484,0.7840995440729482,0.6124999999999999,0.6125,0.6125,0.6140132669983416,0.6140132669983416,"[[19, 0, 1, 0], [9, 10, 0, 1], [6, 0, 14, 0], [13, 0, 1, 6]]",0.5671641791044776,0.95,0.40425531914893614,0.6666666666666666,0.5,1.0,0.7777777777777777,0.7,0.875,0.4444444444444444,0.3,0.8571428571428571,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,1,0.7468971631205674,0.7468971631205674,0.6,0.6,0.6,0.6021535988886735,0.6021535988886735,"[[19, 0, 0, 1], [9, 10, 0, 1], [6, 1, 13, 0], [13, 1, 0, 6]]",0.5671641791044776,0.95,0.40425531914893614,0.625,0.5,0.8333333333333334,0.787878787878788,0.65,1.0,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,3,0.7531565656565656,0.7511827132080297,0.594078947368421,0.5949367088607594,0.5949367088607594,0.5957054679491374,0.5948072249273966,"[[20, 0, 0, 0], [9, 10, 1, 0], [7, 0, 10, 2], [12, 1, 0, 7]]",0.5882352941176471,1.0,0.4166666666666667,0.6451612903225806,0.5,0.9090909090909091,0.6666666666666666,0.5263157894736842,0.9090909090909091,0.48275862068965514,0.35,0.7777777777777778,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,1,0.6966239316239317,0.6966239316239317,0.6499999999999999,0.65,0.65,0.6516247959777893,0.6516247959777892,"[[14, 0, 3, 3], [3, 11, 3, 3], [3, 0, 16, 1], [5, 0, 4, 11]]",0.6222222222222222,0.7,0.56,0.7096774193548387,0.55,1.0,0.6956521739130435,0.8,0.6153846153846154,0.5789473684210527,0.55,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
0,2,0.6551864801864802,0.6551864801864802,0.625,0.625,0.625,0.6111560202303541,0.6111560202303542,"[[16, 0, 2, 2], [8, 9, 2, 1], [1, 0, 17, 2], [5, 2, 5, 8]]",0.64,0.8,0.5333333333333333,0.5806451612903226,0.45,0.8181818181818182,0.7391304347826088,0.85,0.6538461538461539,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""elasticsearch"", ""junit5"", ""karate"", ""orientdb""]"
