,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.5890734265734265,0.5851376471629637,0.4809210526315789,0.4810126582278481,0.4810126582278481,0.48732203500522464,0.4856338372815894,"[[15, 3, 0, 2], [11, 8, 0, 1], [7, 0, 9, 3], [11, 2, 1, 6]]",0.46875,0.75,0.3409090909090909,0.4848484848484849,0.4,0.6153846153846154,0.6206896551724138,0.47368421052631576,0.9,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,3,0.6345571095571095,0.6309049600188841,0.5953947368421053,0.5949367088607594,0.5949367088607594,0.5948698396935735,0.5929061667783023,"[[9, 9, 0, 2], [2, 17, 0, 1], [1, 3, 12, 3], [6, 4, 1, 9]]",0.4736842105263158,0.45,0.5,0.6415094339622641,0.85,0.5151515151515151,0.7499999999999999,0.631578947368421,0.9230769230769231,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,4,0.6775210084033614,0.6734389958515051,0.4921052631578947,0.4936708860759494,0.4936708860759494,0.48632148176472945,0.48566148104704837,"[[18, 0, 1, 1], [11, 7, 1, 0], [10, 0, 9, 1], [12, 0, 3, 5]]",0.5070422535211269,0.9,0.35294117647058826,0.5384615384615384,0.3684210526315789,1.0,0.5294117647058824,0.45,0.6428571428571429,0.37037037037037035,0.25,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,3,0.5998116950129334,0.5977244268187561,0.5960526315789474,0.5949367088607594,0.5949367088607594,0.5967978498466303,0.595210199563395,"[[10, 2, 1, 7], [2, 16, 0, 2], [1, 1, 13, 4], [6, 3, 3, 8]]",0.5128205128205129,0.5,0.5263157894736842,0.761904761904762,0.8,0.7272727272727273,0.7222222222222222,0.6842105263157895,0.7647058823529411,0.3902439024390244,0.4,0.38095238095238093,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,2,0.6149104378593543,0.6149104378593544,0.6,0.6,0.6,0.6009976322476323,0.6009976322476323,"[[13, 1, 2, 4], [7, 12, 0, 1], [2, 0, 15, 3], [6, 4, 2, 8]]",0.5416666666666667,0.65,0.4642857142857143,0.6486486486486486,0.6,0.7058823529411765,0.7692307692307692,0.75,0.7894736842105263,0.4444444444444445,0.4,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,2,0.6983766233766233,0.6983766233766233,0.5750000000000001,0.575,0.575,0.5778353525032841,0.5778353525032841,"[[18, 0, 1, 1], [11, 9, 0, 0], [5, 0, 12, 3], [11, 1, 1, 7]]",0.5538461538461539,0.9,0.4,0.6,0.45,0.9,0.7058823529411764,0.6,0.8571428571428571,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,3,0.6264705882352941,0.6254653760238272,0.6078947368421053,0.6075949367088608,0.6075949367088608,0.6121376811594204,0.6114474408365437,"[[13, 1, 2, 4], [5, 12, 1, 2], [3, 1, 12, 3], [5, 2, 2, 11]]",0.5652173913043479,0.65,0.5,0.6666666666666665,0.6,0.75,0.6666666666666667,0.631578947368421,0.7058823529411765,0.55,0.55,0.55,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,4,0.6355994152046784,0.6341513065363831,0.6203947368421052,0.620253164556962,0.620253164556962,0.6237990461102589,0.6230153089000814,"[[13, 2, 1, 4], [5, 12, 1, 1], [2, 1, 14, 3], [6, 1, 3, 10]]",0.5652173913043479,0.65,0.5,0.6857142857142857,0.631578947368421,0.75,0.717948717948718,0.7,0.7368421052631579,0.5263157894736842,0.5,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,0,0.7103741496598639,0.7103741496598639,0.5750000000000001,0.575,0.575,0.5575648988692467,0.5575648988692467,"[[20, 0, 0, 0], [9, 9, 0, 2], [7, 0, 13, 0], [13, 1, 2, 4]]",0.5797101449275363,1.0,0.40816326530612246,0.6,0.45,0.9,0.7428571428571429,0.65,0.8666666666666667,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
0,1,0.7313829787234043,0.7313829787234043,0.5875,0.5875,0.5875,0.5802061122956645,0.5802061122956645,"[[20, 0, 0, 0], [10, 8, 1, 1], [6, 0, 12, 2], [11, 0, 2, 7]]",0.5970149253731344,1.0,0.425531914893617,0.5714285714285715,0.4,1.0,0.6857142857142857,0.6,0.8,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""elasticsearch"", ""hazelcast"", ""javacv"", ""simplenote-android"", ""spring-session""]"
