,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6261217948717949,0.6261217948717949,0.44999999999999996,0.45,0.45,0.4285714285714286,0.42857142857142866,"[[18, 0, 1, 1], [13, 5, 2, 0], [10, 0, 8, 2], [11, 0, 4, 5]]",0.5,0.9,0.34615384615384615,0.4,0.25,1.0,0.4571428571428572,0.4,0.5333333333333333,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,2,0.7406887755102041,0.7406887755102041,0.5625,0.5625,0.5625,0.548792270531401,0.548792270531401,"[[19, 0, 1, 0], [14, 5, 0, 1], [4, 0, 14, 2], [12, 0, 1, 7]]",0.5507246376811594,0.95,0.3877551020408163,0.4,0.25,1.0,0.7777777777777777,0.7,0.875,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,3,0.7542892156862745,0.7542892156862745,0.5625,0.5625,0.5625,0.5616424842156387,0.5616424842156387,"[[20, 0, 0, 0], [9, 9, 2, 0], [10, 0, 9, 1], [12, 0, 1, 7]]",0.5633802816901409,1.0,0.39215686274509803,0.6206896551724138,0.45,1.0,0.5625000000000001,0.45,0.75,0.4999999999999999,0.35,0.875,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,0,0.6178907528641571,0.6148921015942292,0.4839285714285714,0.48148148148148145,0.48148148148148145,0.4592357622208369,0.45757018891347245,"[[19, 0, 0, 1], [9, 5, 1, 5], [7, 0, 9, 4], [12, 0, 3, 6]]",0.5671641791044776,0.95,0.40425531914893614,0.4,0.25,1.0,0.5454545454545455,0.45,0.6923076923076923,0.3243243243243243,0.2857142857142857,0.375,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,1,0.6346237096237096,0.6373708595930817,0.5892857142857142,0.5925925925925926,0.5925925925925926,0.5717943711109376,0.5753171919261464,"[[17, 0, 0, 3], [12, 7, 1, 0], [1, 0, 18, 2], [9, 3, 2, 6]]",0.5762711864406781,0.85,0.4358974358974359,0.4666666666666667,0.35,0.7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,3,0.653593661573288,0.653593661573288,0.625,0.625,0.625,0.6249946132299073,0.6249946132299073,"[[16, 0, 3, 1], [2, 14, 1, 3], [5, 0, 12, 3], [8, 1, 3, 8]]",0.6274509803921569,0.8,0.5161290322580645,0.8,0.7,0.9333333333333333,0.6153846153846154,0.6,0.631578947368421,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,2,0.6014587286527514,0.6014587286527514,0.5875,0.5875,0.5875,0.5825384207737148,0.5825384207737148,"[[16, 0, 2, 2], [5, 13, 0, 2], [0, 2, 12, 6], [10, 2, 2, 6]]",0.6274509803921569,0.8,0.5161290322580645,0.7027027027027027,0.65,0.7647058823529411,0.6666666666666665,0.6,0.75,0.33333333333333326,0.3,0.375,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,4,0.5925420168067227,0.5925420168067227,0.5875,0.5875,0.5875,0.5885413723828358,0.5885413723828357,"[[12, 3, 2, 3], [2, 15, 1, 2], [2, 1, 11, 6], [1, 2, 8, 9]]",0.6486486486486486,0.6,0.7058823529411765,0.7317073170731706,0.75,0.7142857142857143,0.5238095238095238,0.55,0.5,0.45,0.45,0.45,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,2,0.6853767857604175,0.6853767857604175,0.6875,0.6875,0.6875,0.6836867467222423,0.6836867467222423,"[[14, 2, 2, 2], [2, 17, 0, 1], [0, 2, 14, 4], [6, 2, 2, 10]]",0.6666666666666666,0.7,0.6363636363636364,0.7906976744186046,0.85,0.7391304347826086,0.7368421052631577,0.7,0.7777777777777778,0.5405405405405405,0.5,0.5882352941176471,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
0,4,0.6148018648018648,0.6148018648018647,0.5875,0.5875,0.5875,0.5792508611192458,0.5792508611192458,"[[14, 1, 4, 1], [6, 10, 3, 1], [0, 0, 16, 4], [1, 2, 10, 7]]",0.6829268292682926,0.7,0.6666666666666666,0.6060606060606061,0.5,0.7692307692307693,0.6037735849056605,0.8,0.48484848484848486,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""graphhopper"", ""grpc-java"", ""junit5"", ""karate""]"
