,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.6647534013605442,0.6673490383807844,0.5291666666666667,0.5308641975308642,0.5308641975308642,0.5071239717978848,0.510205858031945,"[[18, 1, 1, 0], [14, 3, 0, 3], [6, 0, 14, 1], [11, 0, 1, 8]]",0.5217391304347826,0.9,0.3673469387755102,0.24999999999999997,0.15,0.75,0.7567567567567567,0.6666666666666666,0.875,0.5,0.4,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,2,0.627683719788983,0.627683719788983,0.5625,0.5625,0.5625,0.5570158836971303,0.5570158836971302,"[[16, 1, 0, 3], [7, 9, 2, 2], [6, 0, 14, 0], [10, 1, 3, 6]]",0.5423728813559321,0.8,0.41025641025641024,0.5806451612903226,0.45,0.8181818181818182,0.717948717948718,0.7,0.7368421052631579,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,1,0.5981643356643357,0.5983769317102651,0.5779761904761904,0.5802469135802469,0.5802469135802469,0.5731086603855993,0.5744388135145398,"[[12, 2, 5, 1], [6, 8, 1, 5], [2, 0, 16, 3], [4, 1, 4, 11]]",0.5454545454545454,0.6,0.5,0.5161290322580645,0.4,0.7272727272727273,0.6808510638297872,0.7619047619047619,0.6153846153846154,0.55,0.55,0.55,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,0,0.6637443438914027,0.660391412025399,0.5255952380952381,0.5308641975308642,0.5308641975308642,0.5161466885604816,0.5166332177826432,"[[20, 1, 0, 0], [14, 6, 0, 0], [6, 1, 11, 2], [11, 1, 2, 6]]",0.5555555555555556,0.9523809523809523,0.39215686274509803,0.41379310344827586,0.3,0.6666666666666666,0.6666666666666667,0.55,0.8461538461538461,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,4,0.6291666666666667,0.6291666666666667,0.525,0.525,0.525,0.5028273809523809,0.502827380952381,"[[20, 0, 0, 0], [9, 11, 0, 0], [8, 1, 7, 4], [13, 0, 3, 4]]",0.5714285714285715,1.0,0.4,0.6874999999999999,0.55,0.9166666666666666,0.4666666666666667,0.35,0.7,0.28571428571428575,0.2,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,2,0.6926281613123718,0.6926281613123718,0.6875,0.6875,0.6875,0.6833907922143216,0.6833907922143216,"[[13, 4, 0, 3], [3, 15, 1, 1], [1, 0, 18, 1], [8, 0, 3, 9]]",0.5777777777777778,0.65,0.52,0.7692307692307692,0.75,0.7894736842105263,0.8571428571428572,0.9,0.8181818181818182,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,3,0.781298449612403,0.7812984496124031,0.65,0.65,0.65,0.6583829365079364,0.6583829365079366,"[[19, 0, 0, 1], [9, 11, 0, 0], [7, 0, 13, 0], [8, 1, 2, 9]]",0.6031746031746031,0.95,0.4418604651162791,0.6874999999999999,0.55,0.9166666666666666,0.7428571428571429,0.65,0.8666666666666667,0.6,0.45,0.9,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,1,0.5925148221343873,0.5929158737129752,0.6035714285714285,0.6049382716049383,0.6049382716049383,0.5898740310077519,0.5908220882381089,"[[14, 3, 3, 0], [2, 14, 0, 4], [2, 2, 15, 2], [5, 3, 6, 6]]",0.6511627906976744,0.7,0.6086956521739131,0.6666666666666666,0.7,0.6363636363636364,0.6666666666666666,0.7142857142857143,0.625,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,3,0.6674242424242424,0.6674242424242425,0.6625,0.6625,0.6625,0.6511608015640274,0.6511608015640273,"[[15, 2, 1, 2], [2, 17, 0, 1], [4, 1, 14, 1], [4, 0, 9, 7]]",0.6666666666666665,0.75,0.6,0.85,0.85,0.85,0.6363636363636365,0.7,0.5833333333333334,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
0,3,0.6873611111111111,0.6873611111111111,0.6875,0.6875,0.6875,0.6827200114106404,0.6827200114106404,"[[14, 2, 1, 3], [3, 17, 0, 0], [2, 1, 14, 3], [2, 5, 3, 10]]",0.6829268292682926,0.7,0.6666666666666666,0.7555555555555556,0.85,0.68,0.7368421052631577,0.7,0.7777777777777778,0.5555555555555556,0.5,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""spring-framework"", ""spring-session"", ""vorto""]"
