,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.5587121212121212,0.5613540467970848,0.49671052631578944,0.4936708860759494,0.4936708860759494,0.4883667616279627,0.4885413247981086,"[[14, 1, 1, 3], [9, 9, 1, 1], [6, 0, 12, 2], [11, 1, 4, 4]]",0.47457627118644063,0.7368421052631579,0.35,0.5806451612903226,0.45,0.8181818181818182,0.631578947368421,0.6,0.6666666666666666,0.26666666666666666,0.2,0.4,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,4,0.5486219958202717,0.5444906286787561,0.5342105263157895,0.5316455696202531,0.5316455696202531,0.5298256802721089,0.5264057521742874,"[[10, 1, 5, 4], [3, 14, 0, 2], [5, 1, 13, 1], [4, 0, 11, 5]]",0.47619047619047616,0.5,0.45454545454545453,0.7999999999999999,0.7368421052631579,0.875,0.5306122448979592,0.65,0.4482758620689655,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,4,0.632638888888889,0.6305203938115331,0.5177631578947368,0.5189873417721519,0.5189873417721519,0.5169603385120626,0.5165202904181515,"[[16, 2, 0, 2], [10, 8, 0, 1], [8, 0, 12, 0], [11, 0, 4, 5]]",0.4923076923076923,0.8,0.35555555555555557,0.5517241379310345,0.42105263157894735,0.8,0.6666666666666665,0.6,0.75,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.7182051282051282,0.7182051282051282,0.525,0.525,0.525,0.5202380952380953,0.5202380952380953,"[[18, 0, 1, 1], [14, 5, 0, 1], [7, 0, 11, 2], [11, 0, 1, 8]]",0.5142857142857143,0.9,0.36,0.4,0.25,1.0,0.6666666666666667,0.55,0.8461538461538461,0.5,0.4,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,2,0.6835526315789473,0.6835526315789473,0.4875,0.4875,0.4875,0.4586682067932068,0.45866820679320675,"[[20, 0, 0, 0], [16, 4, 0, 0], [7, 0, 11, 2], [14, 1, 1, 4]]",0.5194805194805194,1.0,0.3508771929824561,0.32000000000000006,0.2,0.8,0.6874999999999999,0.55,0.9166666666666666,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.6334090909090909,0.6348446490218642,0.6460526315789473,0.6455696202531646,0.6455696202531646,0.630167748917749,0.6306646939558331,"[[13, 1, 2, 3], [1, 19, 0, 0], [4, 0, 13, 3], [7, 2, 5, 6]]",0.5909090909090909,0.6842105263157895,0.52,0.9047619047619048,0.95,0.8636363636363636,0.65,0.65,0.65,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.5718344155844155,0.5718395528522111,0.5953947368421052,0.5949367088607594,0.5949367088607594,0.5760687229437229,0.5757657953860486,"[[12, 3, 0, 4], [2, 17, 1, 0], [3, 1, 13, 3], [4, 3, 8, 5]]",0.6,0.631578947368421,0.5714285714285714,0.7727272727272727,0.85,0.7083333333333334,0.6190476190476191,0.65,0.5909090909090909,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.5657173032916739,0.565717303291674,0.55,0.55,0.55,0.5479770875119712,0.5479770875119713,"[[14, 0, 3, 3], [6, 10, 1, 3], [1, 0, 13, 6], [4, 3, 6, 7]]",0.6222222222222222,0.7,0.56,0.6060606060606061,0.5,0.7692307692307693,0.6046511627906976,0.65,0.5652173913043478,0.358974358974359,0.35,0.3684210526315789,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.7728625541125541,0.7728625541125542,0.6499999999999999,0.65,0.65,0.6380247611865258,0.638024761186526,"[[20, 0, 0, 0], [7, 13, 0, 0], [4, 1, 14, 1], [13, 0, 2, 5]]",0.625,1.0,0.45454545454545453,0.7647058823529412,0.65,0.9285714285714286,0.7777777777777777,0.7,0.875,0.3846153846153846,0.25,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,2,0.6209150326797386,0.6209150326797387,0.6124999999999999,0.6125,0.6125,0.6112103144577948,0.6112103144577947,"[[15, 2, 1, 2], [4, 12, 0, 4], [2, 0, 14, 4], [6, 3, 3, 8]]",0.6382978723404256,0.75,0.5555555555555556,0.6486486486486486,0.6,0.7058823529411765,0.7368421052631577,0.7,0.7777777777777778,0.4210526315789474,0.4,0.4444444444444444,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.6535714285714286,0.6535714285714286,0.6375000000000001,0.6375,0.6375,0.6315822914531666,0.6315822914531666,"[[16, 1, 2, 1], [5, 13, 0, 2], [1, 0, 15, 4], [8, 1, 4, 7]]",0.64,0.8,0.5333333333333333,0.7428571428571429,0.65,0.8666666666666667,0.7317073170731706,0.75,0.7142857142857143,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.6862758014931928,0.6862758014931929,0.6375000000000001,0.6375,0.6375,0.6269141897427141,0.6269141897427141,"[[17, 1, 1, 1], [5, 12, 3, 0], [3, 1, 15, 1], [8, 1, 4, 7]]",0.6415094339622641,0.85,0.5151515151515151,0.6857142857142857,0.6,0.8,0.6976744186046512,0.75,0.6521739130434783,0.48275862068965514,0.35,0.7777777777777778,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,2,0.6221355819215558,0.6221355819215558,0.6125,0.6125,0.6125,0.6150243572251513,0.6150243572251513,"[[14, 4, 1, 1], [3, 11, 0, 6], [1, 1, 15, 3], [5, 5, 1, 9]]",0.6511627906976744,0.7,0.6086956521739131,0.5365853658536585,0.55,0.5238095238095238,0.8108108108108107,0.75,0.8823529411764706,0.46153846153846156,0.45,0.47368421052631576,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,4,0.6663828689370485,0.6642695719193741,0.6598684210526315,0.6582278481012658,0.6582278481012658,0.6597366597366597,0.6578243287104046,"[[15, 0, 1, 4], [2, 15, 0, 2], [3, 2, 12, 3], [5, 1, 4, 10]]",0.6666666666666665,0.75,0.6,0.8108108108108109,0.7894736842105263,0.8333333333333334,0.6486486486486486,0.6,0.7058823529411765,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.6476058539357772,0.6468681767331771,0.6578947368421053,0.6582278481012658,0.6582278481012658,0.6289200748462977,0.6284422698865463,"[[12, 5, 0, 2], [0, 19, 1, 0], [0, 2, 16, 2], [5, 4, 6, 5]]",0.6666666666666667,0.631578947368421,0.7058823529411765,0.7599999999999999,0.95,0.6333333333333333,0.7441860465116279,0.8,0.6956521739130435,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,2,0.5822261072261072,0.5822261072261072,0.5875,0.5875,0.5875,0.5609218411322199,0.5609218411322199,"[[17, 1, 2, 0], [5, 9, 2, 4], [1, 1, 16, 2], [7, 2, 6, 5]]",0.68,0.85,0.5666666666666667,0.5454545454545455,0.45,0.6923076923076923,0.6956521739130435,0.8,0.6153846153846154,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.7096348640466287,0.7096348640466287,0.7125000000000001,0.7125,0.7125,0.7006324669028048,0.7006324669028048,"[[13, 3, 2, 2], [1, 19, 0, 0], [0, 1, 16, 3], [3, 4, 4, 9]]",0.7027027027027027,0.65,0.7647058823529411,0.8085106382978724,0.95,0.7037037037037037,0.761904761904762,0.8,0.7272727272727273,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,4,0.6673654244306417,0.6670073643106114,0.6605263157894737,0.6582278481012658,0.6582278481012658,0.6421209273182957,0.640604676247581,"[[17, 2, 1, 0], [2, 16, 0, 1], [3, 3, 12, 2], [6, 2, 5, 7]]",0.7083333333333333,0.85,0.6071428571428571,0.761904761904762,0.8421052631578947,0.6956521739130435,0.631578947368421,0.6,0.6666666666666666,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.6345238095238095,0.6345238095238095,0.6500000000000001,0.65,0.65,0.6199134199134199,0.6199134199134199,"[[16, 3, 1, 0], [3, 16, 0, 1], [0, 1, 16, 3], [5, 8, 3, 4]]",0.7272727272727272,0.8,0.6666666666666666,0.6666666666666666,0.8,0.5714285714285714,0.8000000000000002,0.8,0.8,0.28571428571428575,0.2,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.7343253968253969,0.7343253968253969,0.7375,0.7375,0.7375,0.735285622593068,0.7352856225930681,"[[16, 0, 2, 2], [1, 17, 0, 2], [1, 1, 15, 3], [3, 2, 4, 11]]",0.7804878048780488,0.8,0.7619047619047619,0.85,0.85,0.85,0.7317073170731706,0.75,0.7142857142857143,0.5789473684210527,0.55,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""exist"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
