,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.6385915578132559,0.6385915578132559,0.48750000000000004,0.4875,0.4875,0.4713146442598498,0.4713146442598498,"[[18, 1, 0, 1], [14, 4, 0, 2], [8, 0, 12, 0], [13, 1, 1, 5]]",0.4931506849315068,0.9,0.33962264150943394,0.30769230769230765,0.2,0.6666666666666666,0.7272727272727274,0.6,0.9230769230769231,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.6807359307359306,0.6807359307359307,0.46249999999999997,0.4625,0.4625,0.44261198777327815,0.44261198777327815,"[[19, 0, 1, 0], [14, 5, 0, 1], [9, 0, 9, 2], [15, 0, 1, 4]]",0.4935064935064935,0.95,0.3333333333333333,0.4,0.25,1.0,0.5806451612903226,0.45,0.8181818181818182,0.29629629629629634,0.2,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,4,0.5850694444444444,0.5819268635724333,0.47828947368421054,0.4810126582278481,0.4810126582278481,0.4540962361956277,0.45478099867911664,"[[18, 1, 0, 1], [11, 5, 0, 3], [8, 0, 11, 1], [11, 0, 5, 4]]",0.5294117647058825,0.9,0.375,0.39999999999999997,0.2631578947368421,0.8333333333333334,0.6111111111111112,0.55,0.6875,0.2758620689655173,0.2,0.4444444444444444,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.5805972482801751,0.5816174666128355,0.5513157894736841,0.5569620253164557,0.5569620253164557,0.5063113094683076,0.5105188824555232,"[[9, 9, 1, 1], [0, 19, 1, 0], [1, 4, 14, 1], [3, 9, 5, 2]]",0.5454545454545455,0.45,0.6923076923076923,0.6229508196721312,0.95,0.4634146341463415,0.6829268292682926,0.7,0.6666666666666666,0.17391304347826086,0.10526315789473684,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,2,0.6127877237851662,0.6127877237851662,0.6125,0.6125,0.6125,0.6111565053425518,0.6111565053425518,"[[12, 4, 2, 2], [4, 11, 0, 5], [1, 1, 17, 1], [6, 4, 1, 9]]",0.5581395348837209,0.6,0.5217391304347826,0.55,0.55,0.55,0.85,0.85,0.85,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,2,0.5744363395225465,0.5744363395225465,0.5625,0.5625,0.5625,0.54630782649028,0.54630782649028,"[[13, 1, 3, 3], [5, 9, 4, 2], [1, 0, 17, 2], [7, 2, 5, 6]]",0.5652173913043479,0.65,0.5,0.5625000000000001,0.45,0.75,0.6938775510204082,0.85,0.5862068965517241,0.3636363636363637,0.3,0.46153846153846156,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.7593971631205675,0.7593971631205674,0.6,0.6,0.6,0.5968734623585369,0.596873462358537,"[[19, 0, 1, 0], [8, 12, 0, 0], [7, 0, 12, 1], [13, 0, 2, 5]]",0.5671641791044776,0.95,0.40425531914893614,0.7499999999999999,0.6,1.0,0.6857142857142857,0.6,0.8,0.3846153846153846,0.25,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.6293849828332586,0.6265019717660486,0.5664473684210526,0.569620253164557,0.569620253164557,0.5616265267833213,0.5628934643180662,"[[12, 3, 5, 0], [2, 14, 4, 0], [5, 1, 13, 1], [3, 3, 7, 6]]",0.5714285714285713,0.6,0.5454545454545454,0.6829268292682926,0.7,0.6666666666666666,0.5306122448979592,0.65,0.4482758620689655,0.46153846153846156,0.3157894736842105,0.8571428571428571,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.6067583732057416,0.607534371025377,0.6164473684210526,0.620253164556962,0.620253164556962,0.5981042839274546,0.6006119330910934,"[[12, 3, 1, 4], [0, 19, 1, 0], [4, 3, 12, 1], [5, 3, 5, 6]]",0.5853658536585366,0.6,0.5714285714285714,0.7916666666666667,0.95,0.6785714285714286,0.6153846153846154,0.6,0.631578947368421,0.39999999999999997,0.3157894736842105,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.7606646825396826,0.7576351215591721,0.6026315789473684,0.6075949367088608,0.6075949367088608,0.5831229370231927,0.5861013781632772,"[[20, 0, 0, 0], [7, 13, 0, 0], [7, 2, 11, 0], [11, 1, 3, 4]]",0.6153846153846153,1.0,0.4444444444444444,0.7222222222222223,0.65,0.8125,0.6470588235294117,0.55,0.7857142857142857,0.34782608695652173,0.21052631578947367,1.0,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""graphhopper"", ""pinpoint"", ""redisson"", ""spring-boot"", ""spring-session""]"
