,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.587962962962963,0.587962962962963,0.4375,0.4375,0.4375,0.39654077154077155,0.3965407715407715,"[[19, 0, 1, 0], [11, 6, 3, 0], [10, 0, 8, 2], [14, 0, 4, 2]]",0.5135135135135135,0.95,0.35185185185185186,0.4615384615384615,0.3,1.0,0.4444444444444445,0.4,0.5,0.16666666666666669,0.1,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,1,0.6939299830604178,0.6901938641069075,0.5642857142857143,0.5679012345679012,0.5679012345679012,0.5731645378420989,0.5727219316074533,"[[18, 2, 0, 1], [10, 8, 1, 1], [7, 0, 12, 1], [11, 0, 1, 8]]",0.5373134328358209,0.8571428571428571,0.391304347826087,0.5333333333333333,0.4,0.8,0.7058823529411764,0.6,0.8571428571428571,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,1,0.5474814559254787,0.5474564323394177,0.5553571428571429,0.5555555555555556,0.5555555555555556,0.5365894335269032,0.536855484160938,"[[12, 6, 1, 2], [2, 16, 1, 1], [1, 2, 13, 4], [7, 7, 2, 4]]",0.5581395348837208,0.5714285714285714,0.5454545454545454,0.6274509803921569,0.8,0.5161290322580645,0.7027027027027027,0.65,0.7647058823529411,0.25806451612903225,0.2,0.36363636363636365,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,2,0.6228835978835978,0.6228835978835978,0.6000000000000001,0.6,0.6,0.5968571613907628,0.5968571613907628,"[[12, 1, 1, 6], [5, 10, 1, 4], [1, 0, 17, 2], [2, 1, 8, 9]]",0.6,0.6,0.6,0.625,0.5,0.8333333333333334,0.723404255319149,0.85,0.6296296296296297,0.4390243902439024,0.45,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,1,0.646972049689441,0.6455984970477725,0.6285714285714286,0.6296296296296297,0.6296296296296297,0.6274798291409588,0.6272917435708134,"[[15, 2, 0, 4], [4, 15, 0, 1], [4, 1, 13, 2], [5, 5, 2, 8]]",0.6122448979591837,0.7142857142857143,0.5357142857142857,0.6976744186046512,0.75,0.6521739130434783,0.7428571428571429,0.65,0.8666666666666667,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,3,0.7026785714285715,0.7026785714285715,0.625,0.625,0.625,0.6139400921658987,0.6139400921658986,"[[19, 0, 1, 0], [4, 14, 0, 2], [7, 0, 12, 1], [12, 1, 2, 5]]",0.6129032258064516,0.95,0.4523809523809524,0.8,0.7,0.9333333333333333,0.6857142857142857,0.6,0.8,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,3,0.7171741375595332,0.7171741375595332,0.6875,0.6875,0.6875,0.6861903987339528,0.6861903987339527,"[[13, 1, 4, 2], [4, 12, 2, 2], [1, 0, 18, 1], [3, 0, 5, 12]]",0.6341463414634146,0.65,0.6190476190476191,0.7272727272727274,0.6,0.9230769230769231,0.7346938775510204,0.9,0.6206896551724138,0.6486486486486486,0.6,0.7058823529411765,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,2,0.8531211750305997,0.8531211750305998,0.7,0.7,0.7,0.6864690864690864,0.6864690864690866,"[[20, 0, 0, 0], [7, 13, 0, 0], [2, 0, 18, 0], [14, 0, 1, 5]]",0.6349206349206349,1.0,0.46511627906976744,0.787878787878788,0.65,1.0,0.9230769230769231,0.9,0.9473684210526315,0.4,0.25,1.0,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,4,0.5924242424242424,0.5924242424242424,0.55,0.55,0.55,0.5323268676069756,0.5323268676069756,"[[17, 0, 2, 1], [4, 9, 3, 4], [6, 0, 13, 1], [6, 1, 8, 5]]",0.6415094339622641,0.85,0.5151515151515151,0.6,0.45,0.9,0.5652173913043479,0.65,0.5,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,4,0.5725503426741817,0.5725503426741817,0.5750000000000001,0.575,0.575,0.5697345823203946,0.5697345823203948,"[[15, 1, 2, 2], [3, 12, 1, 4], [5, 1, 11, 3], [3, 5, 4, 8]]",0.6521739130434783,0.75,0.5769230769230769,0.6153846153846154,0.6,0.631578947368421,0.5789473684210527,0.55,0.6111111111111112,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
