,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.6197619047619047,0.6197619047619047,0.4875,0.4875,0.4875,0.4622111344537815,0.4622111344537815,"[[18, 1, 1, 0], [12, 7, 0, 1], [7, 2, 11, 0], [13, 2, 2, 3]]",0.5142857142857143,0.9,0.36,0.4375,0.35,0.5833333333333334,0.6470588235294117,0.55,0.7857142857142857,0.24999999999999997,0.15,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,2,0.6106209150326798,0.6106209150326798,0.525,0.525,0.525,0.5112068112068111,0.5112068112068112,"[[17, 1, 0, 2], [11, 8, 1, 0], [5, 0, 13, 2], [12, 1, 3, 4]]",0.523076923076923,0.85,0.37777777777777777,0.5333333333333333,0.4,0.8,0.7027027027027027,0.65,0.7647058823529411,0.28571428571428575,0.2,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,4,0.6218864468864469,0.6208976677331107,0.5671052631578948,0.569620253164557,0.569620253164557,0.5641486352167597,0.5651788885652042,"[[15, 3, 0, 2], [10, 7, 1, 1], [5, 0, 14, 1], [5, 0, 6, 9]]",0.5454545454545454,0.75,0.42857142857142855,0.48275862068965514,0.3684210526315789,0.7,0.6829268292682926,0.7,0.6666666666666666,0.5454545454545455,0.45,0.6923076923076923,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,4,0.6152362714424425,0.6113395543331454,0.5828947368421051,0.5822784810126582,0.5822784810126582,0.5776476288189694,0.5754659532343994,"[[12, 1, 4, 3], [4, 12, 1, 2], [3, 0, 16, 1], [4, 0, 10, 6]]",0.5581395348837209,0.6,0.5217391304347826,0.7499999999999999,0.631578947368421,0.9230769230769231,0.6274509803921569,0.8,0.5161290322580645,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,1,0.6147660818713451,0.614766081871345,0.5499999999999999,0.55,0.55,0.5166666666666667,0.5166666666666666,"[[19, 0, 0, 1], [9, 8, 2, 1], [4, 1, 14, 1], [13, 1, 3, 3]]",0.5846153846153845,0.95,0.4222222222222222,0.5333333333333333,0.4,0.8,0.717948717948718,0.7,0.7368421052631579,0.23076923076923075,0.15,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,3,0.6094407894736842,0.6105729513657562,0.5960526315789474,0.5949367088607594,0.5949367088607594,0.5975135975135976,0.5975971988630218,"[[13, 1, 3, 2], [3, 13, 1, 3], [3, 0, 12, 5], [6, 2, 3, 9]]",0.5909090909090909,0.6842105263157895,0.52,0.7222222222222223,0.65,0.8125,0.6153846153846154,0.6,0.631578947368421,0.46153846153846156,0.45,0.47368421052631576,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,4,0.5548202614379085,0.5536526847025731,0.5572368421052631,0.5569620253164557,0.5569620253164557,0.5539739500265817,0.5532506948229801,"[[12, 3, 1, 4], [4, 11, 1, 3], [2, 0, 14, 4], [2, 3, 8, 7]]",0.6,0.6,0.6,0.6111111111111113,0.5789473684210527,0.6470588235294118,0.6363636363636365,0.7,0.5833333333333334,0.36842105263157887,0.35,0.3888888888888889,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,4,0.6239130434782608,0.6230049532195927,0.6355263157894736,0.6329113924050633,0.6329113924050633,0.625493612078978,0.6237668886634617,"[[12, 3, 1, 4], [2, 16, 0, 1], [3, 1, 14, 2], [3, 3, 6, 8]]",0.6,0.6,0.6,0.761904761904762,0.8421052631578947,0.6956521739130435,0.6829268292682926,0.7,0.6666666666666666,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,3,0.5950577200577201,0.597124043326575,0.5249999999999999,0.5189873417721519,0.5189873417721519,0.49920262645288005,0.49788652548171897,"[[19, 0, 0, 0], [9, 8, 1, 2], [6, 0, 9, 5], [10, 1, 4, 5]]",0.6031746031746031,1.0,0.4318181818181818,0.5517241379310346,0.4,0.8888888888888888,0.5294117647058824,0.45,0.6428571428571429,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
0,0,0.5371376811594202,0.5371376811594202,0.55,0.55,0.55,0.5363831343783839,0.5363831343783839,"[[13, 5, 2, 0], [3, 12, 1, 4], [1, 2, 14, 3], [6, 5, 4, 5]]",0.6046511627906976,0.65,0.5652173913043478,0.5454545454545454,0.6,0.5,0.6829268292682926,0.7,0.6666666666666666,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""TwelveMonkeys"", ""async-http-client"", ""elasticsearch"", ""guava"", ""junit5"", ""pulsar"", ""spring-framework""]"
