,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.6267885623148781,0.6261051056372694,0.5803571428571428,0.5802469135802469,0.5802469135802469,0.5846850998463902,0.5845214390017257,"[[13, 2, 3, 2], [5, 9, 2, 4], [4, 0, 13, 3], [8, 0, 1, 12]]",0.5199999999999999,0.65,0.43333333333333335,0.5806451612903226,0.45,0.8181818181818182,0.6666666666666667,0.65,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,1,0.5449617346938775,0.5444066515495087,0.4839285714285714,0.48148148148148145,0.48148148148148145,0.4435660957400088,0.4425793089239144,"[[18, 1, 1, 0], [13, 2, 0, 5], [6, 0, 13, 1], [12, 1, 2, 6]]",0.5217391304347826,0.9,0.3673469387755102,0.16666666666666669,0.1,0.5,0.7222222222222223,0.65,0.8125,0.36363636363636365,0.2857142857142857,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,0,0.637426299191005,0.634156209319608,0.5011904761904762,0.5061728395061729,0.5061728395061729,0.49039244805373844,0.4908539953342821,"[[19, 2, 0, 0], [10, 9, 0, 1], [9, 1, 9, 1], [13, 1, 2, 4]]",0.5277777777777779,0.9047619047619048,0.37254901960784315,0.5454545454545455,0.45,0.6923076923076923,0.5806451612903226,0.45,0.8181818181818182,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,3,0.5925324675324676,0.5925324675324676,0.5125,0.5125,0.5125,0.4998467377025252,0.4998467377025252,"[[18, 1, 0, 1], [11, 8, 1, 0], [8, 0, 9, 3], [8, 2, 4, 6]]",0.5538461538461539,0.9,0.4,0.5161290322580645,0.4,0.7272727272727273,0.5294117647058824,0.45,0.6428571428571429,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,2,0.6269382791121921,0.6269382791121921,0.5875,0.5875,0.5875,0.5888686845624449,0.588868684562445,"[[12, 1, 4, 3], [4, 10, 2, 4], [2, 0, 15, 3], [5, 0, 5, 10]]",0.5581395348837209,0.6,0.5217391304347826,0.6451612903225806,0.5,0.9090909090909091,0.6521739130434783,0.75,0.5769230769230769,0.5,0.5,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,2,0.6568530701754386,0.6568530701754385,0.525,0.525,0.525,0.4964091790562379,0.4964091790562379,"[[19, 0, 0, 1], [9, 8, 2, 1], [8, 0, 12, 0], [12, 0, 5, 3]]",0.5588235294117647,0.95,0.3958333333333333,0.5714285714285715,0.4,1.0,0.6153846153846154,0.6,0.631578947368421,0.24,0.15,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,4,0.6368055555555556,0.6368055555555555,0.5249999999999999,0.525,0.525,0.5084223646723646,0.5084223646723647,"[[19, 0, 1, 0], [11, 7, 1, 1], [5, 0, 10, 5], [10, 0, 4, 6]]",0.5846153846153845,0.95,0.4222222222222222,0.5185185185185185,0.35,1.0,0.5555555555555556,0.5,0.625,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,1,0.6417220587701136,0.6406582747798104,0.6440476190476191,0.6419753086419753,0.6419753086419753,0.6411565367889815,0.6395721414313461,"[[13, 4, 2, 1], [3, 13, 0, 4], [1, 0, 16, 3], [6, 2, 3, 10]]",0.6046511627906976,0.65,0.5652173913043478,0.6666666666666667,0.65,0.6842105263157895,0.7804878048780488,0.8,0.7619047619047619,0.5128205128205129,0.47619047619047616,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,1,0.6023391812865497,0.6003898635477584,0.5702380952380952,0.5679012345679012,0.5679012345679012,0.5665064102564102,0.5645773979107311,"[[16, 1, 2, 1], [5, 10, 0, 5], [4, 0, 12, 4], [7, 1, 5, 8]]",0.6153846153846154,0.8,0.5,0.625,0.5,0.8333333333333334,0.6153846153846154,0.6,0.631578947368421,0.41025641025641024,0.38095238095238093,0.4444444444444444,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,3,0.6431324523429787,0.6431324523429787,0.6375000000000001,0.6375,0.6375,0.6392094213018475,0.6392094213018475,"[[13, 1, 2, 4], [2, 16, 1, 1], [2, 0, 13, 5], [5, 1, 5, 9]]",0.6190476190476191,0.65,0.5909090909090909,0.8421052631578948,0.8,0.8888888888888888,0.6341463414634146,0.65,0.6190476190476191,0.46153846153846156,0.45,0.47368421052631576,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
0,0,0.6016392578536791,0.6009818237662781,0.5898809523809524,0.5925925925925926,0.5925925925925926,0.5854184577868788,0.586263244157981,"[[17, 2, 1, 1], [6, 11, 1, 2], [3, 3, 11, 3], [5, 2, 4, 9]]",0.6538461538461537,0.8095238095238095,0.5483870967741935,0.5789473684210527,0.55,0.6111111111111112,0.5945945945945946,0.55,0.6470588235294118,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""async-http-client"", ""checkstyle"", ""grpc-java"", ""jetty.project"", ""junit5"", ""karate"", ""n4js"", ""pinpoint"", ""spring-framework""]"
