,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.6451668386652907,0.6451668386652907,0.625,0.625,0.625,0.6300850768935875,0.6300850768935875,"[[12, 3, 1, 4], [6, 12, 0, 2], [1, 2, 16, 1], [8, 0, 2, 10]]",0.5106382978723405,0.6,0.4444444444444444,0.6486486486486486,0.6,0.7058823529411765,0.8205128205128205,0.8,0.8421052631578947,0.5405405405405405,0.5,0.5882352941176471,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,4,0.7630896226415094,0.7630896226415095,0.55,0.55,0.55,0.5504920484962998,0.5504920484962998,"[[20, 0, 0, 0], [10, 9, 1, 0], [11, 0, 8, 1], [12, 0, 1, 7]]",0.5479452054794521,1.0,0.37735849056603776,0.6206896551724138,0.45,1.0,0.5333333333333333,0.4,0.8,0.4999999999999999,0.35,0.875,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,2,0.7150297619047619,0.7150297619047619,0.5875,0.5875,0.5875,0.5928624137827174,0.5928624137827174,"[[17, 0, 0, 3], [10, 8, 0, 2], [7, 0, 13, 0], [8, 0, 3, 9]]",0.5483870967741935,0.85,0.40476190476190477,0.5714285714285715,0.4,1.0,0.7222222222222223,0.65,0.8125,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,0,0.7257936507936509,0.7216343327454439,0.5125,0.5185185185185185,0.5185185185185185,0.4856095481670929,0.48652794880700534,"[[21, 0, 0, 0], [15, 3, 2, 0], [8, 0, 10, 2], [10, 0, 2, 8]]",0.56,1.0,0.3888888888888889,0.2608695652173913,0.15,1.0,0.588235294117647,0.5,0.7142857142857143,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,2,0.6042899602830164,0.6042899602830163,0.575,0.575,0.575,0.5665200877710902,0.5665200877710901,"[[14, 5, 0, 1], [7, 11, 1, 1], [1, 3, 15, 1], [7, 4, 3, 6]]",0.5714285714285714,0.7,0.4827586206896552,0.5116279069767442,0.55,0.4782608695652174,0.7692307692307692,0.75,0.7894736842105263,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,1,0.7746212121212122,0.774934530490086,0.6452380952380952,0.6419753086419753,0.6419753086419753,0.6506840437788018,0.6490228707970643,"[[19, 0, 1, 0], [8, 12, 0, 0], [5, 0, 13, 2], [12, 0, 1, 8]]",0.59375,0.95,0.4318181818181818,0.7499999999999999,0.6,1.0,0.7428571428571429,0.65,0.8666666666666667,0.5161290322580645,0.38095238095238093,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,2,0.6270832747814845,0.6270832747814845,0.6124999999999999,0.6125,0.6125,0.6096545305193375,0.6096545305193375,"[[13, 0, 2, 5], [6, 12, 0, 2], [1, 1, 16, 2], [3, 1, 8, 8]]",0.6046511627906976,0.65,0.5652173913043478,0.7058823529411764,0.6,0.8571428571428571,0.6956521739130435,0.8,0.6153846153846154,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,1,0.6488397696476964,0.6490598547960789,0.5976190476190477,0.5925925925925926,0.5925925925925926,0.5668000830856741,0.5634605301623484,"[[11, 6, 3, 0], [0, 19, 0, 1], [2, 3, 14, 1], [3, 13, 1, 4]]",0.6111111111111112,0.55,0.6875,0.6229508196721312,0.95,0.4634146341463415,0.7368421052631577,0.7,0.7777777777777778,0.2962962962962963,0.19047619047619047,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,4,0.6995867036189616,0.6995867036189617,0.6625000000000001,0.6625,0.6625,0.6606187929717341,0.6606187929717342,"[[16, 2, 0, 2], [7, 11, 2, 0], [2, 1, 16, 1], [6, 0, 4, 10]]",0.6274509803921569,0.8,0.5161290322580645,0.6470588235294117,0.55,0.7857142857142857,0.761904761904762,0.8,0.7272727272727273,0.6060606060606061,0.5,0.7692307692307693,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
0,3,0.7089937363834422,0.7089937363834423,0.7,0.7,0.7,0.6976527058973867,0.6976527058973867,"[[12, 2, 4, 2], [2, 17, 0, 1], [1, 1, 16, 2], [2, 0, 7, 11]]",0.6486486486486486,0.6,0.7058823529411765,0.85,0.85,0.85,0.6808510638297872,0.8,0.5925925925925926,0.6111111111111112,0.55,0.6875,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""buck"", ""elasticsearch"", ""hazelcast"", ""idea-gitignore"", ""javacv"", ""okhttp"", ""spring-session""]"
