,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.6302910052910053,0.6319402585225369,0.6078947368421053,0.6075949367088608,0.6075949367088608,0.6038652967372006,0.6044441038492699,"[[12, 4, 2, 1], [3, 16, 0, 1], [2, 2, 12, 4], [7, 5, 0, 8]]",0.5581395348837209,0.631578947368421,0.5,0.6808510638297872,0.8,0.5925925925925926,0.7058823529411764,0.6,0.8571428571428571,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,0,0.715625,0.715625,0.5499999999999999,0.55,0.55,0.545525988173047,0.545525988173047,"[[19, 0, 1, 0], [11, 7, 0, 2], [10, 0, 10, 0], [8, 0, 4, 8]]",0.5588235294117647,0.95,0.3958333333333333,0.5185185185185185,0.35,1.0,0.5714285714285715,0.5,0.6666666666666666,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,1,0.6112789384528515,0.6124123537442194,0.4953947368421053,0.4936708860759494,0.4936708860759494,0.45607473544973554,0.45461456031076286,"[[18, 0, 2, 0], [13, 4, 2, 1], [6, 0, 12, 1], [7, 1, 7, 5]]",0.5625000000000001,0.9,0.4090909090909091,0.32000000000000006,0.2,0.8,0.5714285714285715,0.631578947368421,0.5217391304347826,0.37037037037037035,0.25,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,4,0.681848508634223,0.6807424040697098,0.544078947368421,0.5443037974683544,0.5443037974683544,0.5218025362318841,0.520496239222161,"[[20, 0, 0, 0], [9, 10, 0, 0], [10, 0, 9, 1], [10, 3, 3, 4]]",0.5797101449275363,1.0,0.40816326530612246,0.625,0.5263157894736842,0.7692307692307693,0.5625000000000001,0.45,0.75,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,4,0.6216386554621849,0.6186575896181257,0.5953947368421053,0.5949367088607594,0.5949367088607594,0.5992731367731368,0.5976528887921293,"[[14, 1, 3, 2], [6, 12, 0, 1], [3, 0, 12, 5], [5, 1, 5, 9]]",0.5833333333333334,0.7,0.5,0.7272727272727273,0.631578947368421,0.8571428571428571,0.6,0.6,0.6,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,2,0.7121843434343434,0.7101233857562972,0.5796052631578947,0.5822784810126582,0.5822784810126582,0.5780876232489136,0.5788416625492983,"[[19, 1, 0, 0], [10, 9, 1, 0], [7, 1, 11, 1], [9, 0, 3, 7]]",0.5846153846153845,0.95,0.4222222222222222,0.5806451612903226,0.45,0.8181818181818182,0.6285714285714286,0.55,0.7333333333333333,0.5185185185185185,0.3684210526315789,0.875,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,3,0.7094907407407408,0.7119081106422879,0.6842105263157894,0.6835443037974683,0.6835443037974683,0.6887236206458174,0.6897366329049553,"[[14, 0, 1, 4], [4, 15, 0, 1], [2, 2, 14, 2], [7, 1, 1, 11]]",0.6086956521739131,0.7368421052631579,0.5185185185185185,0.7894736842105262,0.75,0.8333333333333334,0.7777777777777777,0.7,0.875,0.5789473684210527,0.55,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,3,0.7565611471861472,0.7604115293988711,0.65,0.6455696202531646,0.6455696202531646,0.6436409307244844,0.6439028308643877,"[[19, 0, 0, 0], [5, 15, 0, 0], [5, 1, 10, 4], [13, 0, 0, 7]]",0.6229508196721312,1.0,0.4523809523809524,0.8333333333333334,0.75,0.9375,0.6666666666666666,0.5,1.0,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,3,0.6461038961038961,0.6468025645240836,0.6210526315789474,0.620253164556962,0.620253164556962,0.6261358201817312,0.6260344211781655,"[[13, 0, 2, 4], [2, 13, 0, 5], [3, 0, 14, 3], [4, 1, 6, 9]]",0.6341463414634148,0.6842105263157895,0.5909090909090909,0.7647058823529412,0.65,0.9285714285714286,0.6666666666666666,0.7,0.6363636363636364,0.4390243902439024,0.45,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,2,0.6240079365079365,0.6255776572232269,0.6046052631578946,0.6075949367088608,0.6075949367088608,0.6011965714719156,0.6034364973862131,"[[15, 1, 3, 1], [4, 12, 2, 2], [2, 0, 14, 4], [6, 1, 5, 7]]",0.6382978723404256,0.75,0.5555555555555556,0.7058823529411764,0.6,0.8571428571428571,0.6363636363636365,0.7,0.5833333333333334,0.4242424242424242,0.3684210526315789,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,1,0.5970632815460402,0.5985101759872602,0.5592105263157894,0.5569620253164557,0.5569620253164557,0.54711210571185,0.5466536091596792,"[[15, 0, 4, 1], [6, 9, 2, 3], [1, 0, 14, 4], [4, 1, 9, 6]]",0.6521739130434783,0.75,0.5769230769230769,0.6,0.45,0.9,0.5833333333333334,0.7368421052631579,0.4827586206896552,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
