,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.5907061688311688,0.5895863395863395,0.5089285714285714,0.5061728395061729,0.5061728395061729,0.5098159009449332,0.5080112152991484,"[[15, 1, 0, 4], [10, 9, 1, 0], [6, 1, 11, 2], [11, 0, 4, 6]]",0.48387096774193544,0.75,0.35714285714285715,0.5806451612903226,0.45,0.8181818181818182,0.6111111111111112,0.55,0.6875,0.36363636363636365,0.2857142857142857,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,0,0.6111549165120593,0.614264220100457,0.5023809523809524,0.5,0.5,0.491798418972332,0.4925527812590379,"[[18, 0, 1, 1], [11, 8, 0, 2], [11, 0, 9, 1], [9, 3, 2, 6]]",0.5217391304347826,0.9,0.3673469387755102,0.5,0.38095238095238093,0.7272727272727273,0.5454545454545454,0.42857142857142855,0.75,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,4,0.575717787114846,0.5763262094961441,0.48154761904761906,0.48148148148148145,0.48148148148148145,0.44264687222433696,0.44385543603070987,"[[20, 0, 0, 0], [10, 5, 2, 3], [10, 1, 10, 0], [11, 1, 4, 4]]",0.5633802816901409,1.0,0.39215686274509803,0.37037037037037035,0.25,0.7142857142857143,0.5405405405405405,0.47619047619047616,0.625,0.29629629629629634,0.2,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,0,0.6019003893423398,0.6030643118491416,0.6071428571428572,0.6097560975609756,0.6097560975609756,0.602698942233826,0.6045868548421016,"[[11, 2, 4, 3], [3, 17, 0, 1], [3, 1, 13, 4], [2, 4, 5, 9]]",0.5641025641025641,0.55,0.5789473684210527,0.7555555555555556,0.8095238095238095,0.7083333333333334,0.6046511627906977,0.6190476190476191,0.5909090909090909,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,0,0.5581472620946305,0.5590111642743221,0.5589285714285714,0.5609756097560976,0.5609756097560976,0.552048319327731,0.5535227505636401,"[[12, 1, 5, 2], [6, 12, 0, 3], [3, 1, 15, 2], [1, 5, 7, 7]]",0.5714285714285713,0.6,0.5454545454545454,0.6,0.5714285714285714,0.631578947368421,0.6250000000000001,0.7142857142857143,0.5555555555555556,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,2,0.7075963718820861,0.7038996668626298,0.5630952380952381,0.5679012345679012,0.5679012345679012,0.5576354679802955,0.5578057532080521,"[[20, 0, 0, 1], [11, 8, 0, 1], [5, 0, 13, 2], [13, 0, 2, 5]]",0.5714285714285714,0.9523809523809523,0.40816326530612246,0.5714285714285715,0.4,1.0,0.7428571428571429,0.65,0.8666666666666667,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,0,0.5390909090909091,0.541019955654102,0.5470238095238095,0.5487804878048781,0.5487804878048781,0.539290891247783,0.5412170724899859,"[[13, 3, 3, 1], [4, 14, 0, 3], [4, 0, 12, 5], [4, 5, 5, 6]]",0.5777777777777778,0.65,0.52,0.6511627906976744,0.6666666666666666,0.6363636363636364,0.5853658536585366,0.5714285714285714,0.6,0.34285714285714286,0.3,0.4,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,1,0.6642676767676767,0.6661678513530366,0.5696428571428571,0.5679012345679012,0.5679012345679012,0.5568937886825818,0.5569630011679819,"[[19, 0, 1, 0], [10, 9, 1, 1], [6, 0, 12, 2], [10, 2, 2, 6]]",0.5846153846153845,0.95,0.4222222222222222,0.5625,0.42857142857142855,0.8181818181818182,0.6666666666666665,0.6,0.75,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,3,0.6322247927511085,0.6310039105360743,0.6452380952380953,0.6419753086419753,0.6419753086419753,0.6319665370566749,0.629651449493561,"[[13, 3, 1, 3], [0, 18, 1, 1], [3, 1, 13, 3], [5, 4, 4, 8]]",0.6341463414634146,0.65,0.6190476190476191,0.7826086956521738,0.9,0.6923076923076923,0.6666666666666667,0.65,0.6842105263157895,0.4444444444444444,0.38095238095238093,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
0,1,0.6749999999999999,0.6762688614540465,0.6541666666666667,0.654320987654321,0.654320987654321,0.6533969539232698,0.6541938892816086,"[[16, 2, 1, 1], [5, 14, 1, 1], [4, 0, 13, 3], [5, 2, 3, 10]]",0.64,0.8,0.5333333333333333,0.717948717948718,0.6666666666666666,0.7777777777777778,0.6842105263157895,0.65,0.7222222222222222,0.5714285714285715,0.5,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""elasticsearch"", ""grpc-java"", ""guava"", ""idea-gitignore"", ""n4js"", ""pulsar"", ""spring-framework""]"
