,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.5687893081761006,0.5710264772109636,0.46785714285714286,0.4691358024691358,0.4691358024691358,0.4269145330789166,0.42965199129582693,"[[19, 0, 0, 1], [13, 5, 2, 0], [6, 0, 12, 3], [15, 1, 2, 2]]",0.5205479452054794,0.95,0.3584905660377358,0.3846153846153846,0.25,0.8333333333333334,0.6486486486486486,0.5714285714285714,0.75,0.15384615384615383,0.1,0.3333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,2,0.551923076923077,0.551923076923077,0.5,0.5,0.5,0.4938502673796792,0.49385026737967924,"[[16, 1, 1, 2], [8, 9, 1, 2], [8, 1, 8, 3], [8, 2, 3, 7]]",0.5333333333333333,0.8,0.4,0.5454545454545455,0.45,0.6923076923076923,0.4848484848484849,0.4,0.6153846153846154,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,2,0.6086956521739131,0.6086956521739131,0.6,0.6,0.6,0.6034585569469291,0.6034585569469291,"[[11, 2, 4, 3], [3, 14, 0, 3], [0, 0, 13, 7], [5, 3, 2, 10]]",0.5641025641025641,0.55,0.5789473684210527,0.717948717948718,0.7,0.7368421052631579,0.6666666666666667,0.65,0.6842105263157895,0.46511627906976744,0.5,0.43478260869565216,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,4,0.6331923890063424,0.6331923890063426,0.5375,0.5375,0.5375,0.5051576775714707,0.5051576775714707,"[[19, 0, 1, 0], [14, 5, 1, 0], [4, 0, 13, 3], [6, 1, 7, 6]]",0.6031746031746031,0.95,0.4418604651162791,0.3846153846153846,0.25,0.8333333333333334,0.6190476190476191,0.65,0.5909090909090909,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,0,0.7242521367521367,0.7245700116070487,0.6214285714285714,0.6172839506172839,0.6172839506172839,0.6088095812233743,0.6064019703866448,"[[20, 0, 0, 0], [6, 14, 0, 0], [7, 1, 10, 2], [12, 0, 3, 6]]",0.6153846153846153,1.0,0.4444444444444444,0.8,0.7,0.9333333333333333,0.6060606060606061,0.5,0.7692307692307693,0.4137931034482759,0.2857142857142857,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,3,0.7531357531357531,0.7531357531357532,0.6375000000000001,0.6375,0.6375,0.6352284252258898,0.6352284252258897,"[[20, 0, 0, 0], [6, 12, 2, 0], [5, 1, 12, 2], [13, 0, 0, 7]]",0.625,1.0,0.45454545454545453,0.7272727272727274,0.6,0.9230769230769231,0.7058823529411764,0.6,0.8571428571428571,0.48275862068965514,0.35,0.7777777777777778,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,4,0.5847222222222223,0.5847222222222223,0.5875,0.5875,0.5875,0.5855423620025674,0.5855423620025674,"[[13, 4, 0, 3], [6, 10, 0, 4], [1, 0, 15, 4], [1, 4, 6, 9]]",0.6341463414634146,0.65,0.6190476190476191,0.5263157894736842,0.5,0.5555555555555556,0.7317073170731706,0.75,0.7142857142857143,0.45,0.45,0.45,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,2,0.6451190476190476,0.6451190476190476,0.65,0.65,0.65,0.6414614219671608,0.6414614219671609,"[[13, 4, 2, 1], [2, 16, 1, 1], [1, 0, 15, 4], [5, 5, 2, 8]]",0.6341463414634146,0.65,0.6190476190476191,0.7111111111111111,0.8,0.64,0.75,0.75,0.75,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,3,0.6148931623931624,0.6148931623931624,0.6124999999999999,0.6125,0.6125,0.6049175970228602,0.6049175970228602,"[[14, 1, 3, 2], [3, 14, 2, 1], [1, 2, 14, 3], [6, 1, 6, 7]]",0.6363636363636365,0.7,0.5833333333333334,0.7368421052631577,0.7,0.7777777777777778,0.6222222222222222,0.7,0.56,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,4,0.5866883116883117,0.5866883116883116,0.5625,0.5625,0.5625,0.5500632511068944,0.5500632511068944,"[[15, 1, 2, 2], [6, 9, 2, 3], [2, 0, 15, 3], [2, 1, 11, 6]]",0.6666666666666665,0.75,0.6,0.5806451612903226,0.45,0.8181818181818182,0.6,0.75,0.5,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
