,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6128787878787879,0.6128787878787879,0.46249999999999997,0.4625,0.4625,0.4434495786108689,0.4434495786108689,"[[18, 2, 0, 0], [11, 7, 0, 2], [11, 0, 9, 0], [14, 1, 2, 3]]",0.48648648648648646,0.9,0.3333333333333333,0.4666666666666667,0.35,0.7,0.5806451612903226,0.45,0.8181818181818182,0.24,0.15,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,2,0.6204816017316017,0.6204816017316018,0.55,0.55,0.55,0.5531241528869613,0.5531241528869613,"[[15, 2, 1, 2], [6, 13, 0, 1], [6, 0, 11, 3], [13, 0, 2, 5]]",0.5,0.75,0.375,0.7428571428571429,0.65,0.8666666666666667,0.6470588235294117,0.55,0.7857142857142857,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,0,0.7294871794871796,0.732826843937955,0.5446428571428572,0.5432098765432098,0.5432098765432098,0.5260317460317461,0.5269449343523417,"[[20, 0, 0, 0], [12, 9, 0, 0], [8, 0, 11, 1], [12, 0, 4, 4]]",0.5555555555555556,1.0,0.38461538461538464,0.6,0.42857142857142855,1.0,0.6285714285714286,0.55,0.7333333333333333,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,1,0.733816425120773,0.7336732868133834,0.5797619047619047,0.5802469135802469,0.5802469135802469,0.5735690235690235,0.574718377187513,"[[19, 0, 0, 1], [10, 7, 2, 1], [8, 0, 13, 0], [9, 0, 3, 8]]",0.5757575757575758,0.95,0.41304347826086957,0.5185185185185185,0.35,1.0,0.6666666666666666,0.6190476190476191,0.7222222222222222,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,3,0.5569852941176471,0.5569852941176471,0.5625,0.5625,0.5625,0.5574347979675321,0.5574347979675321,"[[13, 1, 4, 2], [3, 14, 0, 3], [1, 1, 12, 6], [7, 5, 2, 6]]",0.5909090909090908,0.65,0.5416666666666666,0.6829268292682926,0.7,0.6666666666666666,0.631578947368421,0.6,0.6666666666666666,0.3243243243243243,0.3,0.35294117647058826,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,3,0.6826298701298701,0.6826298701298701,0.6,0.6,0.6,0.600365952832746,0.600365952832746,"[[18, 1, 0, 1], [8, 12, 0, 0], [4, 1, 10, 5], [10, 1, 1, 8]]",0.6,0.9,0.45,0.6857142857142857,0.6,0.8,0.6451612903225806,0.5,0.9090909090909091,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,4,0.6403450655624568,0.640345065562457,0.6375,0.6375,0.6375,0.6318317453460373,0.6318317453460373,"[[14, 1, 2, 3], [4, 14, 0, 2], [3, 1, 15, 1], [4, 2, 6, 8]]",0.6222222222222222,0.7,0.56,0.7368421052631577,0.7,0.7777777777777778,0.6976744186046512,0.75,0.6521739130434783,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,0,0.6490510366826157,0.6525606946659578,0.6291666666666667,0.6296296296296297,0.6296296296296297,0.6311355311355311,0.6329459292422255,"[[14, 0, 0, 6], [4, 14, 0, 3], [2, 1, 15, 2], [5, 0, 7, 8]]",0.6222222222222222,0.7,0.56,0.7777777777777778,0.6666666666666666,0.9333333333333333,0.7142857142857143,0.75,0.6818181818181818,0.41025641025641024,0.4,0.42105263157894735,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,2,0.610702614379085,0.610702614379085,0.5875,0.5875,0.5875,0.5830234852841236,0.5830234852841236,"[[14, 2, 1, 3], [4, 10, 4, 2], [1, 0, 15, 4], [5, 0, 7, 8]]",0.6363636363636365,0.7,0.5833333333333334,0.625,0.5,0.8333333333333334,0.6382978723404256,0.75,0.5555555555555556,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
0,1,0.6462121212121212,0.6468761690983913,0.6041666666666666,0.6049382716049383,0.6049382716049383,0.5913179606863455,0.5924489343725422,"[[13, 6, 1, 0], [2, 16, 2, 0], [1, 4, 14, 2], [4, 7, 3, 6]]",0.65,0.65,0.65,0.6037735849056605,0.8,0.48484848484848486,0.6829268292682926,0.6666666666666666,0.7,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""azure-tools-for-java"", ""druid"", ""elasticsearch"", ""hazelcast"", ""jadx"", ""jsoup"", ""okhttp"", ""spring-session""]"
