,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.6432065217391304,0.6432065217391305,0.525,0.525,0.525,0.5026681651681651,0.5026681651681651,"[[16, 0, 0, 4], [13, 6, 0, 1], [3, 0, 17, 0], [14, 0, 3, 3]]",0.48484848484848486,0.8,0.34782608695652173,0.4615384615384615,0.3,1.0,0.85,0.85,0.85,0.21428571428571425,0.15,0.375,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,2,0.6496561986863711,0.649656198686371,0.6625,0.6625,0.6625,0.6438416830146694,0.6438416830146693,"[[9, 6, 2, 3], [1, 19, 0, 0], [0, 0, 17, 3], [6, 4, 2, 8]]",0.5,0.45,0.5625,0.7755102040816326,0.95,0.6551724137931034,0.8292682926829269,0.85,0.8095238095238095,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,4,0.6925925925925926,0.6912330051570558,0.5026315789473684,0.5063291139240507,0.5063291139240507,0.4698970398970399,0.4716256944105045,"[[20, 0, 0, 0], [13, 4, 1, 1], [7, 1, 12, 0], [14, 0, 2, 4]]",0.5405405405405406,1.0,0.37037037037037035,0.3333333333333333,0.21052631578947367,0.8,0.6857142857142857,0.6,0.8,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,0,0.6621967654986523,0.6621967654986524,0.5125000000000001,0.5125,0.5125,0.4943937087772704,0.4943937087772704,"[[20, 0, 0, 0], [8, 9, 0, 3], [11, 1, 8, 0], [14, 0, 2, 4]]",0.5479452054794521,1.0,0.37735849056603776,0.6,0.45,0.9,0.5333333333333333,0.4,0.8,0.29629629629629634,0.2,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,3,0.6449123792873792,0.6476508723344166,0.5394736842105263,0.5443037974683544,0.5443037974683544,0.5253551792925607,0.529084115349818,"[[19, 0, 0, 1], [9, 11, 0, 0], [6, 1, 10, 3], [14, 1, 1, 3]]",0.5588235294117647,0.95,0.3958333333333333,0.6666666666666667,0.55,0.8461538461538461,0.6451612903225806,0.5,0.9090909090909091,0.23076923076923078,0.15789473684210525,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,1,0.7373249299719888,0.7373249299719887,0.5625,0.5625,0.5625,0.5473156586578294,0.5473156586578293,"[[20, 0, 0, 0], [11, 9, 0, 0], [7, 0, 12, 1], [13, 1, 2, 4]]",0.5633802816901409,1.0,0.39215686274509803,0.6,0.45,0.9,0.7058823529411764,0.6,0.8571428571428571,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,3,0.6480477137804724,0.6484611707221921,0.6177631578947368,0.620253164556962,0.620253164556962,0.6208381726674409,0.6223677697898136,"[[14, 0, 4, 2], [5, 14, 1, 0], [3, 1, 13, 3], [7, 1, 3, 8]]",0.5714285714285714,0.7,0.4827586206896552,0.7777777777777777,0.7,0.875,0.6341463414634146,0.65,0.6190476190476191,0.5,0.42105263157894735,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,2,0.6695707070707071,0.6695707070707071,0.675,0.675,0.675,0.6714598997493735,0.6714598997493735,"[[12, 4, 1, 3], [2, 15, 1, 2], [0, 0, 17, 3], [6, 1, 3, 10]]",0.6,0.6,0.6,0.75,0.75,0.75,0.8095238095238095,0.85,0.7727272727272727,0.5263157894736842,0.5,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,0,0.59998334998335,0.5999833499833499,0.5750000000000001,0.575,0.575,0.5789762129107936,0.5789762129107936,"[[14, 2, 0, 4], [3, 11, 0, 6], [4, 1, 12, 3], [5, 0, 6, 9]]",0.608695652173913,0.7,0.5384615384615384,0.6470588235294117,0.55,0.7857142857142857,0.631578947368421,0.6,0.6666666666666666,0.4285714285714286,0.45,0.4090909090909091,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
0,2,0.6408904314076728,0.6408904314076728,0.625,0.625,0.625,0.6195878351340537,0.6195878351340537,"[[15, 1, 2, 2], [7, 11, 1, 1], [0, 0, 16, 4], [7, 2, 3, 8]]",0.6122448979591838,0.75,0.5172413793103449,0.6470588235294117,0.55,0.7857142857142857,0.761904761904762,0.8,0.7272727272727273,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""OpenRefine"", ""buck"", ""che"", ""junit5"", ""pinpoint"", ""realm-java"", ""redisson"", ""spring-boot"", ""spring-framework""]"
