,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.5227272727272727,0.52450430228208,0.38273809523809527,0.38271604938271603,0.38271604938271603,0.3422961084251407,0.3440560143069104,"[[18, 0, 0, 2], [13, 4, 1, 2], [7, 0, 8, 6], [16, 0, 3, 1]]",0.48648648648648646,0.9,0.3333333333333333,0.33333333333333337,0.2,1.0,0.4848484848484849,0.38095238095238093,0.6666666666666666,0.06451612903225806,0.05,0.09090909090909091,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,4,0.6692945795339412,0.6692945795339412,0.5375,0.5375,0.5375,0.5246309180912481,0.524630918091248,"[[17, 2, 1, 0], [14, 5, 0, 1], [5, 0, 15, 0], [11, 1, 2, 6]]",0.5074626865671642,0.85,0.3617021276595745,0.35714285714285715,0.25,0.625,0.7894736842105262,0.75,0.8333333333333334,0.4444444444444444,0.3,0.8571428571428571,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,3,0.5692307692307692,0.5692307692307692,0.575,0.575,0.575,0.5627458592132505,0.5627458592132506,"[[11, 4, 3, 2], [2, 14, 3, 1], [1, 1, 15, 3], [8, 1, 5, 6]]",0.5238095238095238,0.55,0.5,0.7,0.7,0.7,0.6521739130434783,0.75,0.5769230769230769,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,2,0.6864583333333333,0.6864583333333333,0.5499999999999999,0.55,0.55,0.5469975490196078,0.5469975490196078,"[[19, 1, 0, 0], [11, 7, 2, 0], [10, 0, 9, 1], [8, 2, 1, 9]]",0.5588235294117647,0.95,0.3958333333333333,0.4666666666666667,0.35,0.7,0.5625000000000001,0.45,0.75,0.6,0.45,0.9,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,1,0.5525219298245614,0.5534167208143818,0.5160714285714286,0.5185185185185185,0.5185185185185185,0.5035531135531135,0.5055668611224168,"[[14, 2, 0, 4], [6, 6, 3, 5], [3, 0, 15, 3], [7, 0, 6, 7]]",0.56,0.7,0.4666666666666667,0.4285714285714285,0.3,0.75,0.6666666666666666,0.7142857142857143,0.625,0.358974358974359,0.35,0.3684210526315789,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,2,0.6208397832817337,0.6208397832817337,0.625,0.625,0.625,0.6206018081018081,0.6206018081018081,"[[11, 2, 4, 3], [2, 15, 0, 3], [2, 1, 15, 2], [4, 2, 5, 9]]",0.5641025641025641,0.55,0.5789473684210527,0.75,0.75,0.75,0.6818181818181818,0.75,0.625,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,4,0.7143892339544513,0.7143892339544513,0.675,0.675,0.675,0.6801991726923328,0.6801991726923327,"[[14, 1, 3, 2], [6, 13, 0, 1], [3, 0, 16, 1], [5, 0, 4, 11]]",0.5833333333333334,0.7,0.5,0.7647058823529412,0.65,0.9285714285714286,0.7441860465116279,0.8,0.6956521739130435,0.6285714285714286,0.55,0.7333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,3,0.7477831196581197,0.7477831196581197,0.6124999999999999,0.6125,0.6125,0.6046814296814297,0.6046814296814297,"[[19, 1, 0, 0], [6, 12, 1, 1], [7, 0, 13, 0], [13, 0, 2, 5]]",0.5846153846153845,0.95,0.4222222222222222,0.7272727272727274,0.6,0.9230769230769231,0.7222222222222223,0.65,0.8125,0.3846153846153846,0.25,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,0,0.6915584415584415,0.6919993586660254,0.5952380952380951,0.5925925925925926,0.5925925925925926,0.5905330882352942,0.5894153957879448,"[[19, 0, 0, 1], [7, 12, 0, 1], [9, 1, 9, 1], [9, 1, 3, 8]]",0.59375,0.95,0.4318181818181818,0.7058823529411764,0.6,0.8571428571428571,0.5625000000000001,0.45,0.75,0.5,0.38095238095238093,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,3,0.6693376068376068,0.6693376068376068,0.65,0.65,0.65,0.6467911379238611,0.6467911379238611,"[[14, 1, 3, 2], [2, 16, 2, 0], [3, 1, 14, 2], [7, 0, 5, 8]]",0.608695652173913,0.7,0.5384615384615384,0.8421052631578948,0.8,0.8888888888888888,0.6363636363636365,0.7,0.5833333333333334,0.5,0.4,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
