,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.6537037037037037,0.6555098308184729,0.46785714285714286,0.4691358024691358,0.4691358024691358,0.45117438867438864,0.45383478716812053,"[[17, 1, 2, 0], [16, 3, 0, 1], [8, 0, 12, 1], [13, 0, 1, 6]]",0.4594594594594595,0.85,0.3148148148148148,0.24999999999999997,0.15,0.75,0.6666666666666666,0.5714285714285714,0.8,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,2,0.6440058479532164,0.6440058479532164,0.525,0.525,0.525,0.5115384615384615,0.5115384615384615,"[[17, 1, 1, 1], [9, 9, 1, 1], [8, 0, 12, 0], [11, 0, 5, 4]]",0.523076923076923,0.85,0.37777777777777777,0.6,0.45,0.9,0.6153846153846154,0.6,0.631578947368421,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,2,0.5724666014988595,0.5724666014988595,0.5375,0.5375,0.5375,0.533602982789041,0.5336029827890408,"[[10, 2, 4, 4], [3, 9, 2, 6], [2, 0, 16, 2], [3, 0, 9, 8]]",0.5263157894736842,0.5,0.5555555555555556,0.5806451612903226,0.45,0.8181818181818182,0.6274509803921569,0.8,0.5161290322580645,0.4000000000000001,0.4,0.4,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,3,0.6278280542986425,0.6278280542986426,0.5875,0.5875,0.5875,0.591953316953317,0.5919533169533169,"[[10, 1, 5, 4], [2, 12, 4, 2], [1, 0, 15, 4], [4, 0, 6, 10]]",0.5405405405405405,0.5,0.5882352941176471,0.7272727272727274,0.6,0.9230769230769231,0.6,0.75,0.5,0.5,0.5,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,0,0.6663919413919415,0.662913218468774,0.513095238095238,0.5185185185185185,0.5185185185185185,0.5045788939624556,0.5051142805243938,"[[20, 1, 0, 0], [11, 8, 0, 1], [9, 1, 9, 1], [12, 2, 1, 5]]",0.547945205479452,0.9523809523809523,0.38461538461538464,0.5,0.4,0.6666666666666666,0.6,0.45,0.9,0.37037037037037035,0.25,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,2,0.5951341215357234,0.5951341215357234,0.6,0.6,0.6,0.5963315601167498,0.5963315601167498,"[[11, 2, 1, 6], [3, 15, 0, 2], [1, 1, 15, 3], [5, 1, 7, 7]]",0.55,0.55,0.55,0.7692307692307692,0.75,0.7894736842105263,0.6976744186046512,0.75,0.6521739130434783,0.36842105263157887,0.35,0.3888888888888889,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,4,0.6722222222222223,0.6722222222222222,0.525,0.525,0.525,0.5015915119363396,0.5015915119363396,"[[20, 0, 0, 0], [10, 6, 2, 2], [7, 0, 11, 2], [13, 0, 2, 5]]",0.5714285714285715,1.0,0.4,0.4615384615384615,0.3,1.0,0.6285714285714286,0.55,0.7333333333333333,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,3,0.6785714285714286,0.6785714285714286,0.5875,0.5875,0.5875,0.5807355200144573,0.5807355200144573,"[[18, 1, 0, 1], [8, 11, 1, 0], [6, 1, 12, 1], [10, 1, 3, 6]]",0.5806451612903225,0.9,0.42857142857142855,0.6470588235294117,0.55,0.7857142857142857,0.6666666666666665,0.6,0.75,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,2,0.6044488916256158,0.6044488916256158,0.6,0.6,0.6,0.5904731811423756,0.5904731811423756,"[[10, 6, 1, 3], [1, 16, 0, 3], [1, 1, 15, 3], [2, 6, 5, 7]]",0.588235294117647,0.5,0.7142857142857143,0.6530612244897959,0.8,0.5517241379310345,0.7317073170731706,0.75,0.7142857142857143,0.38888888888888884,0.35,0.4375,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
0,1,0.6183823529411765,0.6209150326797386,0.6041666666666666,0.6049382716049383,0.6049382716049383,0.5996517027863777,0.6013454114589305,"[[15, 1, 2, 2], [4, 13, 0, 3], [4, 1, 14, 2], [7, 5, 1, 7]]",0.6,0.75,0.5,0.65,0.65,0.65,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""junit5"", ""mapsforge"", ""okhttp"", ""redisson""]"
