,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.4962121212121212,0.4931724653946876,0.4988095238095238,0.49382716049382713,0.49382716049382713,0.45371822126924655,0.4498196140249689,"[[7, 8, 3, 2], [0, 19, 0, 1], [0, 5, 12, 3], [4, 12, 3, 2]]",0.45161290322580644,0.35,0.6363636363636364,0.59375,0.95,0.4318181818181818,0.631578947368421,0.6,0.6666666666666666,0.13793103448275862,0.09523809523809523,0.25,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,4,0.5340544871794872,0.5336340614118392,0.4601190476190476,0.4567901234567901,0.4567901234567901,0.44017763845350055,0.4381490511758711,"[[17, 1, 0, 2], [11, 8, 1, 0], [9, 1, 8, 2], [11, 3, 3, 4]]",0.5,0.85,0.3541666666666667,0.4848484848484849,0.4,0.6153846153846154,0.5,0.4,0.6666666666666666,0.27586206896551724,0.19047619047619047,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,3,0.6433653303218521,0.6428299558734341,0.5339285714285714,0.5308641975308642,0.5308641975308642,0.5324880685411995,0.5306931142899938,"[[17, 1, 0, 2], [9, 9, 1, 1], [8, 0, 11, 1], [12, 1, 2, 6]]",0.5151515151515151,0.85,0.3695652173913043,0.5806451612903226,0.45,0.8181818181818182,0.6470588235294117,0.55,0.7857142857142857,0.3870967741935483,0.2857142857142857,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,0,0.6210526315789473,0.627043217800599,0.4654761904761905,0.4634146341463415,0.4634146341463415,0.4188017538017538,0.4207300829252049,"[[20, 0, 0, 0], [14, 5, 0, 2], [9, 0, 11, 1], [14, 0, 4, 2]]",0.5194805194805194,1.0,0.3508771929824561,0.3846153846153846,0.23809523809523808,1.0,0.611111111111111,0.5238095238095238,0.7333333333333333,0.16000000000000003,0.1,0.4,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,1,0.5961538461538461,0.5933048433048433,0.4636904761904762,0.4691358024691358,0.4691358024691358,0.4379021378165214,0.4389224564262616,"[[19, 0, 1, 1], [13, 3, 1, 3], [7, 1, 10, 2], [13, 0, 1, 6]]",0.5205479452054794,0.9047619047619048,0.36538461538461536,0.24999999999999997,0.15,0.75,0.6060606060606061,0.5,0.7692307692307693,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,3,0.6643577188940093,0.6649741138988451,0.6440476190476191,0.6419753086419753,0.6419753086419753,0.6373832866479925,0.636569030904543,"[[11, 2, 4, 3], [2, 13, 4, 1], [2, 0, 18, 0], [5, 1, 5, 10]]",0.55,0.55,0.55,0.7222222222222223,0.65,0.8125,0.7058823529411764,0.9,0.5806451612903226,0.5714285714285714,0.47619047619047616,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,2,0.7373774509803921,0.7331154684095861,0.5630952380952381,0.5679012345679012,0.5679012345679012,0.5465915915915915,0.5467022578133689,"[[20, 0, 0, 1], [12, 7, 1, 0], [4, 1, 15, 0], [15, 0, 1, 4]]",0.5555555555555556,0.9523809523809523,0.39215686274509803,0.4999999999999999,0.35,0.875,0.8108108108108107,0.75,0.8823529411764706,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,3,0.5780967117174014,0.5766577209744516,0.5964285714285714,0.5925925925925926,0.5925925925925926,0.575182190976519,0.5724384747480508,"[[11, 4, 2, 3], [0, 18, 1, 1], [2, 2, 13, 3], [5, 5, 5, 6]]",0.5789473684210527,0.55,0.6111111111111112,0.7346938775510204,0.9,0.6206896551724138,0.6341463414634146,0.65,0.6190476190476191,0.35294117647058826,0.2857142857142857,0.46153846153846156,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,1,0.6317595459236326,0.630132884862847,0.6160714285714285,0.6172839506172839,0.6172839506172839,0.6157351922057804,0.6153956872911122,"[[15, 1, 2, 3], [2, 14, 2, 2], [3, 0, 14, 3], [10, 2, 1, 7]]",0.588235294117647,0.7142857142857143,0.5,0.7567567567567567,0.7,0.8235294117647058,0.717948717948718,0.7,0.7368421052631579,0.4,0.35,0.4666666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
0,2,0.6046296296296296,0.6033379058070416,0.5660714285714286,0.5679012345679012,0.5679012345679012,0.5565861267471038,0.5569768572084686,"[[15, 2, 3, 1], [4, 11, 4, 1], [3, 2, 14, 1], [8, 0, 6, 6]]",0.588235294117647,0.7142857142857143,0.5,0.6285714285714286,0.55,0.7333333333333333,0.5957446808510639,0.7,0.5185185185185185,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""hazelcast"", ""junit5"", ""n4js"", ""realm-java"", ""redisson"", ""speedment"", ""spring-framework""]"
