,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.4777568922305765,0.4759684020177025,0.48355263157894735,0.4810126582278481,0.4810126582278481,0.479795349066851,0.4776408598145327,"[[10, 3, 3, 4], [1, 13, 1, 4], [4, 2, 9, 5], [6, 3, 5, 6]]",0.4878048780487805,0.5,0.47619047619047616,0.6500000000000001,0.6842105263157895,0.6190476190476191,0.4736842105263158,0.45,0.5,0.3076923076923077,0.3,0.3157894736842105,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,3,0.6279255319148936,0.6263802854834365,0.5059210526315789,0.5063291139240507,0.5063291139240507,0.5053602952977051,0.5044073223104567,"[[17, 0, 1, 2], [11, 9, 0, 0], [7, 0, 9, 3], [12, 1, 2, 5]]",0.5074626865671642,0.85,0.3617021276595745,0.6,0.45,0.9,0.5806451612903226,0.47368421052631576,0.75,0.3333333333333333,0.25,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,1,0.5967654986522911,0.5967654986522911,0.475,0.475,0.475,0.43712111328549685,0.43712111328549685,"[[19, 1, 0, 0], [13, 4, 1, 2], [6, 0, 12, 2], [15, 0, 2, 3]]",0.5205479452054794,0.95,0.3584905660377358,0.32000000000000006,0.2,0.8,0.6857142857142857,0.6,0.8,0.2222222222222222,0.15,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,4,0.5624735729386893,0.5594669093050018,0.49276315789473685,0.4936708860759494,0.4936708860759494,0.4820682592651447,0.4811865392820322,"[[17, 1, 1, 1], [7, 8, 3, 1], [7, 0, 9, 4], [12, 1, 2, 5]]",0.5396825396825397,0.85,0.3953488372093023,0.5517241379310345,0.42105263157894735,0.8,0.5142857142857143,0.45,0.6,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,4,0.5377450980392157,0.537379002233805,0.5486842105263158,0.5443037974683544,0.5443037974683544,0.5302261445118588,0.5281546077206113,"[[10, 3, 3, 4], [0, 17, 1, 1], [3, 5, 9, 3], [4, 5, 4, 7]]",0.5405405405405405,0.5,0.5882352941176471,0.6938775510204083,0.8947368421052632,0.5666666666666667,0.48648648648648646,0.45,0.5294117647058824,0.4,0.35,0.4666666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,0,0.7274943310657597,0.7274943310657597,0.5625,0.5625,0.5625,0.5651955272363819,0.5651955272363818,"[[19, 1, 0, 0], [12, 8, 0, 0], [8, 1, 10, 1], [10, 0, 2, 8]]",0.5507246376811594,0.95,0.3877551020408163,0.5333333333333333,0.4,0.8,0.625,0.5,0.8333333333333334,0.5517241379310346,0.4,0.8888888888888888,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,2,0.634090909090909,0.634090909090909,0.55,0.55,0.55,0.5256562622436985,0.5256562622436985,"[[18, 1, 0, 1], [13, 4, 1, 2], [4, 0, 15, 1], [10, 1, 2, 7]]",0.5538461538461539,0.9,0.4,0.30769230769230765,0.2,0.6666666666666666,0.7894736842105262,0.75,0.8333333333333334,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,4,0.643852828487717,0.6418762820128779,0.6203947368421052,0.620253164556962,0.620253164556962,0.622917303479002,0.6218671129794807,"[[11, 1, 5, 3], [3, 12, 3, 1], [2, 1, 15, 2], [2, 1, 6, 11]]",0.5789473684210527,0.55,0.6111111111111112,0.7058823529411765,0.631578947368421,0.8,0.6122448979591838,0.75,0.5172413793103449,0.5945945945945946,0.55,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,0,0.5902777777777778,0.5902777777777779,0.5875,0.5875,0.5875,0.5741118421052632,0.5741118421052632,"[[11, 8, 1, 0], [3, 17, 0, 0], [1, 2, 12, 5], [3, 3, 7, 7]]",0.5789473684210527,0.55,0.6111111111111112,0.68,0.85,0.5666666666666667,0.6,0.6,0.6,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
0,1,0.6229636591478697,0.6229636591478697,0.625,0.625,0.625,0.6130393996247654,0.6130393996247655,"[[15, 2, 2, 1], [3, 15, 1, 1], [2, 0, 14, 4], [8, 2, 4, 6]]",0.6250000000000001,0.75,0.5357142857142857,0.7692307692307692,0.75,0.7894736842105263,0.6829268292682926,0.7,0.6666666666666666,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""che"", ""grpc-java"", ""jadx"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-framework"", ""spring-security""]"
