,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.6540138782785841,0.6537959740574119,0.5083333333333333,0.5061728395061729,0.5061728395061729,0.4949139280125196,0.4942051140864391,"[[19, 0, 0, 1], [12, 6, 1, 1], [9, 0, 9, 2], [11, 1, 2, 7]]",0.5352112676056339,0.95,0.37254901960784315,0.4444444444444444,0.3,0.8571428571428571,0.5625000000000001,0.45,0.75,0.43749999999999994,0.3333333333333333,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,0,0.6868055555555556,0.6832647462277092,0.5642857142857143,0.5679012345679012,0.5679012345679012,0.5633686488949647,0.5631474871240953,"[[18, 0, 2, 1], [10, 10, 0, 0], [5, 0, 13, 2], [12, 0, 3, 5]]",0.5454545454545455,0.8571428571428571,0.4,0.6666666666666666,0.5,1.0,0.6842105263157895,0.65,0.7222222222222222,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,2,0.6337131006248653,0.6337131006248653,0.5499999999999999,0.55,0.55,0.5411274282242025,0.5411274282242025,"[[17, 1, 0, 2], [11, 6, 1, 2], [6, 0, 13, 1], [8, 1, 3, 8]]",0.5483870967741935,0.85,0.40476190476190477,0.4285714285714285,0.3,0.75,0.7027027027027027,0.65,0.7647058823529411,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,2,0.6128515733778892,0.6128515733778891,0.5875,0.5875,0.5875,0.5917292448894451,0.5917292448894451,"[[13, 2, 2, 3], [5, 11, 0, 4], [3, 1, 13, 3], [6, 0, 4, 10]]",0.553191489361702,0.65,0.48148148148148145,0.6470588235294117,0.55,0.7857142857142857,0.6666666666666667,0.65,0.6842105263157895,0.5,0.5,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,4,0.695827633378933,0.695827633378933,0.5875,0.5875,0.5875,0.5851994851994852,0.5851994851994852,"[[18, 1, 1, 0], [11, 8, 1, 0], [4, 1, 13, 2], [10, 0, 2, 8]]",0.5714285714285715,0.9,0.4186046511627907,0.5333333333333333,0.4,0.8,0.7027027027027027,0.65,0.7647058823529411,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,2,0.5976328138092843,0.5976328138092843,0.5499999999999999,0.55,0.55,0.5485798934920119,0.5485798934920119,"[[14, 0, 4, 2], [6, 9, 2, 3], [2, 1, 13, 4], [4, 0, 8, 8]]",0.608695652173913,0.7,0.5384615384615384,0.6,0.45,0.9,0.553191489361702,0.65,0.48148148148148145,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,4,0.6754385964912281,0.6754385964912281,0.6625,0.6625,0.6625,0.6670653907496013,0.6670653907496013,"[[12, 6, 1, 1], [4, 12, 1, 3], [1, 3, 15, 1], [2, 3, 1, 14]]",0.6153846153846154,0.6,0.631578947368421,0.5454545454545454,0.6,0.5,0.7894736842105262,0.75,0.8333333333333334,0.717948717948718,0.7,0.7368421052631579,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,1,0.6127480158730159,0.6105844601214971,0.5708333333333333,0.5679012345679012,0.5679012345679012,0.5657518912453123,0.5634386380000415,"[[17, 0, 1, 2], [5, 11, 1, 3], [5, 0, 11, 4], [8, 1, 5, 7]]",0.6181818181818183,0.85,0.4857142857142857,0.6874999999999999,0.55,0.9166666666666666,0.5789473684210527,0.55,0.6111111111111112,0.37837837837837834,0.3333333333333333,0.4375,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,1,0.665900944933203,0.6652245272316957,0.618452380952381,0.6172839506172839,0.6172839506172839,0.614555052790347,0.6139321825596334,"[[16, 1, 0, 3], [6, 9, 3, 2], [4, 0, 14, 2], [5, 0, 5, 11]]",0.6274509803921569,0.8,0.5161290322580645,0.6,0.45,0.9,0.6666666666666666,0.7,0.6363636363636364,0.5641025641025642,0.5238095238095238,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
0,3,0.7468253968253968,0.7468253968253968,0.65,0.65,0.65,0.6255008488964346,0.6255008488964345,"[[20, 0, 0, 0], [6, 14, 0, 0], [5, 0, 14, 1], [11, 1, 4, 4]]",0.6451612903225806,1.0,0.47619047619047616,0.8,0.7,0.9333333333333333,0.7368421052631577,0.7,0.7777777777777778,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""ice"", ""spring-session""]"
