,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.6469367588932806,0.6508917381663936,0.5375,0.5365853658536586,0.5365853658536586,0.5360795454545454,0.5379942719881744,"[[17, 2, 0, 1], [10, 9, 1, 1], [7, 0, 12, 2], [12, 0, 2, 6]]",0.5151515151515151,0.85,0.3695652173913043,0.5625,0.42857142857142855,0.8181818181818182,0.6666666666666666,0.5714285714285714,0.8,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,4,0.6196678321678322,0.6210711099599988,0.530952380952381,0.5308641975308642,0.5308641975308642,0.5254021900034831,0.5264603248319724,"[[17, 1, 1, 1], [12, 6, 1, 1], [7, 1, 11, 2], [8, 1, 2, 9]]",0.53125,0.85,0.38636363636363635,0.41379310344827586,0.3,0.6666666666666666,0.611111111111111,0.5238095238095238,0.7333333333333333,0.5454545454545455,0.45,0.6923076923076923,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,2,0.6290584415584416,0.6263427930094596,0.5267857142857142,0.5308641975308642,0.5308641975308642,0.5120726495726495,0.5125883718476311,"[[18, 0, 1, 2], [12, 6, 0, 2], [6, 1, 13, 0], [8, 0, 6, 6]]",0.5538461538461539,0.8571428571428571,0.4090909090909091,0.4444444444444444,0.3,0.8571428571428571,0.65,0.65,0.65,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,3,0.679974376114082,0.6814561739398342,0.5476190476190477,0.5432098765432098,0.5432098765432098,0.523952411760761,0.5212825339327554,"[[19, 1, 0, 0], [9, 9, 2, 0], [7, 0, 12, 1], [13, 1, 3, 4]]",0.5588235294117647,0.95,0.3958333333333333,0.5806451612903226,0.45,0.8181818181818182,0.6486486486486486,0.6,0.7058823529411765,0.3076923076923077,0.19047619047619047,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,4,0.6464755639097745,0.6482409728023762,0.6410714285714286,0.6419753086419753,0.6419753086419753,0.6393970189701896,0.6407624878717922,"[[12, 4, 2, 2], [5, 10, 1, 4], [1, 1, 15, 4], [3, 1, 1, 15]]",0.5853658536585366,0.6,0.5714285714285714,0.5555555555555556,0.5,0.625,0.7500000000000001,0.7142857142857143,0.7894736842105263,0.6666666666666665,0.75,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,3,0.6285557644110276,0.6294377920108915,0.6083333333333333,0.6049382716049383,0.6049382716049383,0.5963676780209038,0.5945805820357792,"[[13, 4, 1, 2], [4, 15, 1, 0], [3, 2, 14, 1], [4, 7, 3, 7]]",0.5909090909090908,0.65,0.5416666666666666,0.6250000000000001,0.75,0.5357142857142857,0.717948717948718,0.7,0.7368421052631579,0.45161290322580644,0.3333333333333333,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,1,0.7824050949050949,0.7850914517581185,0.644047619047619,0.6419753086419753,0.6419753086419753,0.6524194446840319,0.6523298378400635,"[[19, 0, 1, 0], [9, 10, 0, 2], [6, 0, 13, 1], [10, 0, 0, 10]]",0.59375,0.95,0.4318181818181818,0.6451612903225806,0.47619047619047616,1.0,0.7647058823529412,0.65,0.9285714285714286,0.6060606060606061,0.5,0.7692307692307693,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,3,0.6510186413203654,0.6506974235262869,0.6345238095238095,0.6296296296296297,0.6296296296296297,0.612172431507125,0.6088718778614433,"[[14, 1, 3, 2], [3, 16, 1, 0], [3, 0, 16, 1], [6, 1, 9, 5]]",0.608695652173913,0.7,0.5384615384615384,0.8421052631578948,0.8,0.8888888888888888,0.6530612244897959,0.8,0.5517241379310345,0.3448275862068965,0.23809523809523808,0.625,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,4,0.7180555555555556,0.7152052337237522,0.6261904761904762,0.6296296296296297,0.6296296296296297,0.6254310344827587,0.6255285937278274,"[[13, 0, 7, 0], [4, 11, 4, 1], [2, 0, 19, 0], [1, 2, 9, 8]]",0.65,0.65,0.65,0.6666666666666667,0.55,0.8461538461538461,0.6333333333333333,0.9047619047619048,0.48717948717948717,0.5517241379310346,0.4,0.8888888888888888,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
0,0,0.5590034965034965,0.5606131673204843,0.55,0.5487804878048781,0.5487804878048781,0.5477331129505043,0.547912635929603,"[[15, 3, 0, 2], [6, 9, 1, 5], [0, 3, 12, 6], [5, 3, 3, 9]]",0.6521739130434783,0.75,0.5769230769230769,0.4615384615384615,0.42857142857142855,0.5,0.6486486486486486,0.5714285714285714,0.75,0.4285714285714286,0.45,0.4090909090909091,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""junit5"", ""simplenote-android""]"
