,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.5874735729386892,0.5851016626210426,0.5023809523809524,0.5061728395061729,0.5061728395061729,0.48034321476124187,0.48097169359135006,"[[17, 0, 1, 3], [13, 5, 1, 1], [4, 0, 14, 2], [9, 1, 5, 5]]",0.53125,0.8095238095238095,0.3953488372093023,0.3846153846153846,0.25,0.8333333333333334,0.6829268292682926,0.7,0.6666666666666666,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,3,0.606448698360463,0.6042526826840552,0.5482142857142857,0.5432098765432098,0.5432098765432098,0.528726270913771,0.5248442887331777,"[[17, 2, 0, 1], [9, 11, 0, 0], [4, 0, 13, 3], [14, 0, 4, 3]]",0.53125,0.85,0.38636363636363635,0.6666666666666667,0.55,0.8461538461538461,0.7027027027027027,0.65,0.7647058823529411,0.21428571428571427,0.14285714285714285,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,0,0.7151348039215686,0.7192132950741271,0.5630952380952381,0.5609756097560976,0.5609756097560976,0.5524251805985553,0.5533929874902465,"[[19, 0, 1, 0], [11, 7, 1, 2], [7, 0, 13, 1], [11, 0, 2, 7]]",0.5588235294117647,0.95,0.3958333333333333,0.5,0.3333333333333333,1.0,0.6842105263157895,0.6190476190476191,0.7647058823529411,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,1,0.7862448009506833,0.782025043462952,0.6380952380952382,0.6419753086419753,0.6419753086419753,0.6422362873975778,0.6417896740477386,"[[20, 0, 1, 0], [10, 8, 0, 2], [5, 0, 15, 0], [10, 0, 1, 9]]",0.6060606060606061,0.9523809523809523,0.4444444444444444,0.5714285714285715,0.4,1.0,0.8108108108108107,0.75,0.8823529411764706,0.5806451612903226,0.45,0.8181818181818182,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,4,0.6775474525474525,0.678236167125056,0.593452380952381,0.5925925925925926,0.5925925925925926,0.588506028022157,0.5887851031220206,"[[19, 0, 0, 1], [7, 10, 1, 2], [7, 1, 11, 2], [9, 0, 3, 8]]",0.6129032258064516,0.95,0.4523809523809524,0.6451612903225806,0.5,0.9090909090909091,0.611111111111111,0.5238095238095238,0.7333333333333333,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,3,0.6421296296296297,0.6414037494284408,0.6333333333333334,0.6296296296296297,0.6296296296296297,0.6179147094040711,0.615523693537878,"[[15, 2, 2, 1], [5, 12, 1, 2], [1, 0, 17, 2], [6, 1, 7, 7]]",0.6382978723404256,0.75,0.5555555555555556,0.6857142857142857,0.6,0.8,0.723404255319149,0.85,0.6296296296296297,0.4242424242424242,0.3333333333333333,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,4,0.6881114130434782,0.6861748523886205,0.6398809523809524,0.6419753086419753,0.6419753086419753,0.6370569450538734,0.6371119140527425,"[[14, 0, 5, 1], [4, 13, 2, 1], [3, 1, 17, 0], [2, 2, 8, 8]]",0.6511627906976744,0.7,0.6086956521739131,0.7222222222222223,0.65,0.8125,0.6415094339622642,0.8095238095238095,0.53125,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,1,0.6704481792717086,0.669225714977349,0.6529761904761905,0.654320987654321,0.654320987654321,0.6535280427266489,0.6535222795385397,"[[16, 0, 3, 2], [3, 13, 0, 4], [2, 1, 15, 2], [7, 1, 3, 9]]",0.6530612244897959,0.7619047619047619,0.5714285714285714,0.7428571428571429,0.65,0.8666666666666667,0.7317073170731706,0.75,0.7142857142857143,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,1,0.6965811965811965,0.6955787696528437,0.6904761904761905,0.691358024691358,0.691358024691358,0.6837693847772235,0.6837333561235515,"[[16, 2, 2, 1], [2, 16, 0, 2], [1, 1, 16, 2], [7, 5, 0, 8]]",0.6808510638297872,0.7619047619047619,0.6153846153846154,0.7272727272727272,0.8,0.6666666666666666,0.8421052631578948,0.8,0.8888888888888888,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
0,2,0.6430769230769231,0.6437796771130105,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6386061034523389,0.6391532729068568,"[[14, 3, 1, 3], [1, 18, 1, 0], [1, 0, 17, 2], [4, 5, 6, 5]]",0.6829268292682926,0.6666666666666666,0.7,0.7826086956521738,0.9,0.6923076923076923,0.7555555555555556,0.85,0.68,0.3333333333333333,0.25,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""elasticsearch"", ""hazelcast"", ""jetty.project"", ""spring-session""]"
