,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.5342294900221729,0.5342294900221729,0.4875,0.4875,0.4875,0.4704568633376142,0.4704568633376143,"[[14, 3, 0, 3], [13, 4, 2, 1], [4, 0, 15, 1], [10, 1, 3, 6]]",0.4590163934426229,0.7,0.34146341463414637,0.28571428571428575,0.2,0.5,0.75,0.75,0.75,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,0,0.5922348484848485,0.5945255019329093,0.4458333333333333,0.4444444444444444,0.4444444444444444,0.4281691297208538,0.4286444079547528,"[[18, 1, 0, 1], [13, 7, 0, 1], [9, 0, 8, 3], [15, 1, 1, 3]]",0.48,0.9,0.32727272727272727,0.4666666666666666,0.3333333333333333,0.7777777777777778,0.5517241379310346,0.4,0.8888888888888888,0.21428571428571425,0.15,0.375,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,3,0.6034632034632035,0.6034632034632035,0.6,0.6,0.6,0.5833585072559312,0.5833585072559312,"[[9, 6, 2, 3], [0, 19, 0, 1], [2, 4, 12, 2], [4, 4, 4, 8]]",0.5142857142857143,0.45,0.6,0.7169811320754716,0.95,0.5757575757575758,0.631578947368421,0.6,0.6666666666666666,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,4,0.5598760716407775,0.5598760716407776,0.5,0.5,0.5,0.4775192065514646,0.4775192065514645,"[[17, 1, 0, 2], [9, 8, 1, 2], [7, 1, 12, 0], [12, 1, 4, 3]]",0.523076923076923,0.85,0.37777777777777777,0.5161290322580645,0.4,0.7272727272727273,0.6486486486486486,0.6,0.7058823529411765,0.2222222222222222,0.15,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,3,0.5736874236874236,0.5736874236874238,0.575,0.575,0.575,0.5682097608815251,0.5682097608815251,"[[11, 5, 2, 2], [1, 16, 1, 2], [5, 2, 9, 4], [4, 3, 3, 10]]",0.5365853658536585,0.55,0.5238095238095238,0.6956521739130435,0.8,0.6153846153846154,0.5142857142857143,0.45,0.6,0.5263157894736842,0.5,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,1,0.7586253369272238,0.7539183388239992,0.5380952380952381,0.5432098765432098,0.5432098765432098,0.5282723900370959,0.5284238486852866,"[[20, 0, 1, 0], [14, 4, 0, 2], [8, 0, 12, 0], [11, 0, 1, 8]]",0.5405405405405405,0.9523809523809523,0.37735849056603776,0.33333333333333337,0.2,1.0,0.7058823529411764,0.6,0.8571428571428571,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,2,0.5968379446640316,0.5968379446640316,0.5625,0.5625,0.5625,0.5641938081923078,0.5641938081923078,"[[12, 2, 1, 5], [5, 9, 3, 3], [3, 0, 13, 4], [4, 0, 5, 11]]",0.5454545454545454,0.6,0.5,0.5806451612903226,0.45,0.8181818181818182,0.6190476190476191,0.65,0.5909090909090909,0.5116279069767442,0.55,0.4782608695652174,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,3,0.6104166666666666,0.6104166666666666,0.5375000000000001,0.5375,0.5375,0.5196875921013852,0.5196875921013852,"[[18, 1, 0, 1], [4, 14, 0, 2], [12, 0, 6, 2], [11, 1, 3, 5]]",0.5538461538461539,0.9,0.4,0.7777777777777777,0.7,0.875,0.41379310344827586,0.3,0.6666666666666666,0.3333333333333333,0.25,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,3,0.5840569561157796,0.5840569561157796,0.5625,0.5625,0.5625,0.549556015345489,0.549556015345489,"[[16, 2, 1, 1], [3, 14, 0, 3], [9, 0, 10, 1], [7, 1, 7, 5]]",0.5818181818181818,0.8,0.45714285714285713,0.7567567567567567,0.7,0.8235294117647058,0.5263157894736842,0.5,0.5555555555555556,0.3333333333333333,0.25,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
0,4,0.6324353448275862,0.6324353448275862,0.6125,0.6125,0.6125,0.6121882086167801,0.6121882086167801,"[[12, 1, 5, 2], [3, 13, 2, 2], [2, 1, 15, 2], [3, 1, 7, 9]]",0.6,0.6,0.6,0.7222222222222223,0.65,0.8125,0.6122448979591838,0.75,0.5172413793103449,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-iot-sdk-java"", ""elasticsearch"", ""orientdb"", ""redisson"", ""spring-security""]"
