,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.6751834381551363,0.6751834381551364,0.48749999999999993,0.4875,0.4875,0.4807561725591367,0.4807561725591366,"[[18, 1, 0, 1], [15, 5, 0, 0], [10, 0, 9, 1], [10, 0, 3, 7]]",0.4931506849315068,0.9,0.33962264150943394,0.3846153846153846,0.25,0.8333333333333334,0.5625000000000001,0.45,0.75,0.48275862068965514,0.35,0.7777777777777778,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,1,0.6668367346938775,0.6631393298059964,0.5142857142857142,0.5185185185185185,0.5185185185185185,0.512962962962963,0.5129792932262068,"[[18, 0, 1, 2], [10, 7, 1, 2], [7, 0, 12, 1], [14, 0, 1, 5]]",0.5142857142857143,0.8571428571428571,0.3673469387755102,0.5185185185185185,0.35,1.0,0.6857142857142857,0.6,0.8,0.3333333333333333,0.25,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,2,0.7316586921850079,0.731658692185008,0.4875,0.4875,0.4875,0.45982611961719183,0.4598261196171919,"[[20, 0, 0, 0], [10, 10, 0, 0], [14, 0, 6, 0], [13, 1, 3, 3]]",0.5194805194805194,1.0,0.3508771929824561,0.6451612903225806,0.5,0.9090909090909091,0.41379310344827586,0.3,0.6666666666666666,0.2608695652173913,0.15,1.0,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,4,0.6380633255633256,0.6380633255633256,0.49999999999999994,0.5,0.5,0.4853529936260748,0.4853529936260748,"[[19, 0, 1, 0], [9, 10, 1, 0], [8, 1, 7, 4], [16, 0, 0, 4]]",0.5277777777777778,0.95,0.36538461538461536,0.6451612903225806,0.5,0.9090909090909091,0.48275862068965514,0.35,0.7777777777777778,0.28571428571428575,0.2,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,1,0.6161764705882353,0.6147421931735657,0.6053571428571429,0.6049382716049383,0.6049382716049383,0.609009009009009,0.6080747414080747,"[[12, 2, 2, 5], [3, 15, 0, 2], [3, 0, 13, 4], [6, 3, 2, 9]]",0.5333333333333333,0.5714285714285714,0.5,0.75,0.75,0.75,0.7027027027027027,0.65,0.7647058823529411,0.45,0.45,0.45,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,0,0.6284305317324186,0.6307731402071025,0.5071428571428571,0.5061728395061729,0.5061728395061729,0.48046489938475134,0.48147767840469263,"[[20, 0, 0, 0], [10, 9, 1, 1], [8, 1, 9, 2], [15, 1, 1, 3]]",0.5479452054794521,1.0,0.37735849056603776,0.5625,0.42857142857142855,0.8181818181818182,0.5806451612903226,0.45,0.8181818181818182,0.23076923076923075,0.15,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,1,0.5950892857142858,0.5935038212815991,0.5666666666666667,0.5679012345679012,0.5679012345679012,0.5694842977841543,0.5692316472910554,"[[14, 0, 3, 4], [5, 12, 1, 2], [4, 0, 13, 3], [7, 2, 4, 7]]",0.5490196078431373,0.6666666666666666,0.4666666666666667,0.7058823529411764,0.6,0.8571428571428571,0.6341463414634146,0.65,0.6190476190476191,0.38888888888888884,0.35,0.4375,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,3,0.6151270053475936,0.6151270053475936,0.6125,0.6125,0.6125,0.6089446589446589,0.6089446589446589,"[[13, 4, 1, 2], [5, 10, 1, 4], [3, 0, 16, 1], [4, 2, 4, 10]]",0.5777777777777778,0.65,0.52,0.5555555555555556,0.5,0.625,0.761904761904762,0.8,0.7272727272727273,0.5405405405405405,0.5,0.5882352941176471,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,4,0.5832166199813259,0.5832166199813258,0.5750000000000001,0.575,0.575,0.5764462093088537,0.5764462093088536,"[[12, 5, 0, 3], [5, 10, 1, 4], [1, 2, 12, 5], [3, 1, 4, 12]]",0.5853658536585366,0.6,0.5714285714285714,0.5263157894736842,0.5,0.5555555555555556,0.6486486486486486,0.6,0.7058823529411765,0.5454545454545454,0.6,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
0,1,0.5723931623931624,0.5719742534557348,0.5916666666666668,0.5925925925925926,0.5925925925925926,0.5734244743063333,0.5737000324118237,"[[14, 2, 2, 3], [3, 16, 0, 1], [2, 0, 14, 4], [7, 7, 2, 4]]",0.5957446808510638,0.6666666666666666,0.5384615384615384,0.7111111111111111,0.8,0.64,0.7368421052631577,0.7,0.7777777777777778,0.25,0.2,0.3333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ceylon-ide-eclipse"", ""checkstyle"", ""graphhopper"", ""hazelcast"", ""idea-gitignore"", ""okhttp"", ""redisson"", ""spring-security"", ""spring-security-oauth""]"
