,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.5093749999999999,0.509375,0.4375,0.4375,0.4375,0.41770833333333335,0.4177083333333333,"[[17, 3, 0, 0], [14, 4, 1, 1], [10, 1, 7, 2], [7, 2, 4, 7]]",0.5,0.85,0.3541666666666667,0.26666666666666666,0.2,0.4,0.4375,0.35,0.5833333333333334,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,4,0.5919566544566545,0.5919566544566544,0.5875,0.5875,0.5875,0.5677184074790458,0.5677184074790457,"[[8, 7, 3, 2], [0, 17, 2, 1], [2, 0, 15, 3], [2, 4, 7, 7]]",0.5,0.4,0.6666666666666666,0.7083333333333333,0.85,0.6071428571428571,0.6382978723404256,0.75,0.5555555555555556,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,3,0.5708668730650155,0.5708668730650155,0.5874999999999999,0.5875,0.5875,0.5759528759528759,0.5759528759528759,"[[10, 3, 1, 6], [0, 18, 1, 1], [2, 1, 13, 4], [7, 3, 4, 6]]",0.5128205128205129,0.5,0.5263157894736842,0.7999999999999999,0.9,0.72,0.6666666666666667,0.65,0.6842105263157895,0.3243243243243243,0.3,0.35294117647058826,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,2,0.6319444444444444,0.6319444444444444,0.5125,0.5125,0.5125,0.5088942307692308,0.5088942307692308,"[[17, 0, 1, 2], [10, 8, 1, 1], [5, 0, 11, 4], [13, 0, 2, 5]]",0.523076923076923,0.85,0.37777777777777777,0.5714285714285715,0.4,1.0,0.6285714285714286,0.55,0.7333333333333333,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,3,0.5879549300601933,0.5879549300601933,0.5999999999999999,0.6,0.6,0.5853936756894723,0.5853936756894723,"[[11, 4, 1, 4], [0, 17, 2, 1], [1, 3, 14, 2], [9, 3, 2, 6]]",0.5365853658536585,0.55,0.5238095238095238,0.723404255319149,0.85,0.6296296296296297,0.717948717948718,0.7,0.7368421052631579,0.3636363636363637,0.3,0.46153846153846156,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,4,0.6101998491704375,0.6101998491704375,0.575,0.575,0.575,0.5598183900985625,0.5598183900985625,"[[10, 2, 6, 2], [5, 10, 2, 3], [1, 0, 19, 0], [1, 1, 11, 7]]",0.5405405405405405,0.5,0.5882352941176471,0.6060606060606061,0.5,0.7692307692307693,0.6551724137931034,0.95,0.5,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,0,0.6699999999999999,0.6716049382716048,0.5202380952380952,0.5185185185185185,0.5185185185185185,0.5082105960663835,0.5083083545378857,"[[19, 1, 0, 0], [13, 6, 1, 0], [9, 0, 9, 2], [9, 0, 4, 8]]",0.5428571428571428,0.95,0.38,0.4444444444444444,0.3,0.8571428571428571,0.5294117647058824,0.45,0.6428571428571429,0.5161290322580645,0.38095238095238093,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,3,0.7666666666666667,0.7666666666666666,0.5875,0.5875,0.5875,0.5827609890109889,0.582760989010989,"[[20, 0, 0, 0], [7, 11, 1, 1], [9, 0, 11, 0], [14, 1, 0, 5]]",0.5714285714285715,1.0,0.4,0.6874999999999999,0.55,0.9166666666666666,0.6874999999999999,0.55,0.9166666666666666,0.3846153846153846,0.25,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,4,0.5792270531400966,0.5792270531400966,0.5875,0.5875,0.5875,0.5787748970735507,0.5787748970735507,"[[11, 3, 3, 3], [0, 17, 1, 2], [4, 1, 12, 3], [3, 2, 8, 7]]",0.5789473684210527,0.55,0.6111111111111112,0.7906976744186046,0.85,0.7391304347826086,0.5454545454545454,0.6,0.5,0.4,0.35,0.4666666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,1,0.7459802102659245,0.7491162570527649,0.5928571428571427,0.5925925925925926,0.5925925925925926,0.59148431649278,0.5931607166258658,"[[20, 0, 0, 0], [10, 10, 0, 0], [6, 0, 12, 3], [13, 1, 0, 6]]",0.5797101449275363,1.0,0.40816326530612246,0.6451612903225806,0.5,0.9090909090909091,0.7272727272727273,0.5714285714285714,1.0,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
