,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.6284722222222222,0.6284722222222222,0.4375,0.4375,0.4375,0.4131983535040811,0.4131983535040811,"[[14, 0, 2, 4], [18, 2, 0, 0], [5, 0, 13, 2], [11, 0, 3, 6]]",0.4117647058823529,0.7,0.2916666666666667,0.18181818181818182,0.1,1.0,0.6842105263157895,0.65,0.7222222222222222,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,4,0.4995879120879121,0.49958791208791203,0.4125,0.4125,0.4125,0.3773692810457517,0.3773692810457517,"[[17, 3, 0, 0], [11, 6, 1, 2], [11, 1, 8, 0], [13, 0, 5, 2]]",0.4722222222222222,0.85,0.3269230769230769,0.4,0.3,0.6,0.47058823529411764,0.4,0.5714285714285714,0.16666666666666669,0.1,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,1,0.5908333333333333,0.5866255144032921,0.4607142857142857,0.4567901234567901,0.4567901234567901,0.42164502164502166,0.41868419646197425,"[[19, 0, 0, 1], [13, 4, 1, 2], [3, 0, 11, 6], [15, 0, 3, 3]]",0.5428571428571428,0.95,0.38,0.33333333333333337,0.2,1.0,0.6285714285714286,0.55,0.7333333333333333,0.18181818181818182,0.14285714285714285,0.25,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,2,0.662037037037037,0.662037037037037,0.6375000000000001,0.6375,0.6375,0.6405065863780304,0.6405065863780303,"[[13, 1, 1, 5], [5, 12, 0, 3], [2, 0, 17, 1], [7, 1, 3, 9]]",0.553191489361702,0.65,0.48148148148148145,0.7058823529411764,0.6,0.8571428571428571,0.8292682926829269,0.85,0.8095238095238095,0.4736842105263158,0.45,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,0,0.7980392156862746,0.8005325587024934,0.5922619047619048,0.5925925925925926,0.5925925925925926,0.5949845039737335,0.5970798296327361,"[[20, 0, 0, 0], [8, 13, 0, 0], [12, 0, 8, 0], [11, 0, 2, 7]]",0.5633802816901409,1.0,0.39215686274509803,0.7647058823529412,0.6190476190476191,1.0,0.5333333333333333,0.4,0.8,0.5185185185185185,0.35,1.0,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,2,0.6586363636363637,0.6586363636363636,0.6125,0.6125,0.6125,0.6163082437275986,0.6163082437275985,"[[12, 0, 3, 5], [3, 11, 1, 5], [0, 0, 17, 3], [7, 0, 4, 9]]",0.5714285714285713,0.6,0.5454545454545454,0.7096774193548387,0.55,1.0,0.7555555555555556,0.85,0.68,0.4285714285714286,0.45,0.4090909090909091,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,2,0.6081954887218045,0.6081954887218045,0.6125,0.6125,0.6125,0.6062330623306232,0.6062330623306234,"[[13, 1, 1, 5], [4, 13, 1, 2], [2, 1, 16, 1], [6, 4, 3, 7]]",0.5777777777777778,0.65,0.52,0.6666666666666667,0.65,0.6842105263157895,0.7804878048780488,0.8,0.7619047619047619,0.4,0.35,0.4666666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,3,0.5984189723320158,0.5984189723320158,0.6,0.6,0.6,0.5952934662236988,0.5952934662236988,"[[12, 2, 3, 3], [1, 17, 1, 1], [2, 1, 9, 8], [5, 3, 2, 10]]",0.6,0.6,0.6,0.7906976744186046,0.85,0.7391304347826086,0.5142857142857143,0.45,0.6,0.47619047619047616,0.5,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,3,0.662408424908425,0.662408424908425,0.6,0.6,0.6,0.5965287174191711,0.5965287174191711,"[[18, 0, 1, 1], [4, 13, 1, 2], [7, 1, 9, 3], [10, 1, 1, 8]]",0.6101694915254238,0.9,0.46153846153846156,0.7428571428571429,0.65,0.8666666666666667,0.5625000000000001,0.45,0.75,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,3,0.6160714285714285,0.6160714285714286,0.5875,0.5875,0.5875,0.5949850006521455,0.5949850006521455,"[[13, 0, 5, 2], [2, 12, 1, 5], [1, 0, 12, 7], [5, 2, 3, 10]]",0.6341463414634146,0.65,0.6190476190476191,0.7058823529411764,0.6,0.8571428571428571,0.5853658536585366,0.6,0.5714285714285714,0.45454545454545453,0.5,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
