,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.7532051282051282,0.7532051282051283,0.5375000000000001,0.5375,0.5375,0.5335714285714286,0.5335714285714286,"[[18, 0, 1, 1], [12, 8, 0, 0], [7, 0, 13, 0], [15, 0, 1, 4]]",0.5,0.9,0.34615384615384615,0.5714285714285715,0.4,1.0,0.7428571428571429,0.65,0.8666666666666667,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.50792589763178,0.50792589763178,0.4875,0.4875,0.4875,0.4584897397397397,0.4584897397397397,"[[16, 2, 0, 2], [15, 2, 0, 3], [3, 1, 15, 1], [10, 2, 2, 6]]",0.5000000000000001,0.8,0.36363636363636365,0.14814814814814817,0.1,0.2857142857142857,0.8108108108108107,0.75,0.8823529411764706,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.7200226244343891,0.7234791352438411,0.5327380952380952,0.5308641975308642,0.5308641975308642,0.5080511546028788,0.5085903272365597,"[[19, 0, 1, 0], [13, 8, 0, 0], [6, 0, 13, 1], [14, 0, 3, 3]]",0.5277777777777778,0.95,0.36538461538461536,0.5517241379310345,0.38095238095238093,1.0,0.7027027027027027,0.65,0.7647058823529411,0.24999999999999997,0.15,0.75,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.7921052631578946,0.7868745938921378,0.5375000000000001,0.5432098765432098,0.5432098765432098,0.5317450142450142,0.53182793429707,"[[21, 0, 0, 0], [13, 7, 0, 0], [7, 0, 12, 1], [16, 0, 0, 4]]",0.5384615384615384,1.0,0.3684210526315789,0.5185185185185185,0.35,1.0,0.7499999999999999,0.6,1.0,0.32000000000000006,0.2,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6733629938277614,0.6718612795574315,0.6279761904761905,0.6296296296296297,0.6296296296296297,0.6116426725729052,0.611992763034968,"[[12, 6, 2, 0], [4, 16, 0, 1], [1, 2, 17, 0], [5, 5, 4, 6]]",0.5714285714285713,0.6,0.5454545454545454,0.64,0.7619047619047619,0.5517241379310345,0.7906976744186046,0.85,0.7391304347826086,0.4444444444444444,0.3,0.8571428571428571,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.629181674741808,0.6273877153961306,0.5910714285714286,0.5925925925925926,0.5925925925925926,0.5888106642045127,0.5886639038677048,"[[15, 0, 3, 3], [7, 9, 2, 2], [3, 0, 15, 2], [6, 2, 3, 9]]",0.5769230769230769,0.7142857142857143,0.4838709677419355,0.5806451612903226,0.45,0.8181818181818182,0.6976744186046512,0.75,0.6521739130434783,0.5,0.45,0.5625,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,3,0.6661172161172162,0.6661172161172162,0.5874999999999999,0.5875,0.5875,0.5823907275520178,0.5823907275520179,"[[18, 1, 0, 1], [4, 13, 2, 1], [7, 1, 10, 2], [13, 0, 1, 6]]",0.5806451612903225,0.9,0.42857142857142855,0.7428571428571429,0.65,0.8666666666666667,0.6060606060606061,0.5,0.7692307692307693,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6338950904168295,0.6330472175882803,0.6422619047619047,0.6419753086419753,0.6419753086419753,0.6257315829246525,0.6253016756158184,"[[13, 4, 3, 1], [2, 16, 0, 2], [1, 0, 17, 2], [7, 6, 1, 6]]",0.5909090909090909,0.6190476190476191,0.5652173913043478,0.6956521739130435,0.8,0.6153846153846154,0.8292682926829269,0.85,0.8095238095238095,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.5953731467599533,0.5944085570383533,0.5910714285714285,0.5925925925925926,0.5925925925925926,0.5739975942261427,0.5743186115813755,"[[15, 3, 3, 0], [4, 14, 1, 1], [2, 1, 14, 3], [8, 5, 2, 5]]",0.6000000000000001,0.7142857142857143,0.5172413793103449,0.6511627906976744,0.7,0.6086956521739131,0.7,0.7,0.7,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,3,0.6988440303657695,0.6988440303657695,0.6875,0.6875,0.6875,0.6912783234319491,0.6912783234319492,"[[13, 4, 0, 3], [4, 13, 2, 1], [1, 2, 16, 1], [5, 2, 0, 13]]",0.6046511627906976,0.65,0.5652173913043478,0.6341463414634146,0.65,0.6190476190476191,0.8421052631578948,0.8,0.8888888888888888,0.6842105263157895,0.65,0.7222222222222222,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6213578088578089,0.6232265676710121,0.6273809523809525,0.6296296296296297,0.6296296296296297,0.6175878385180712,0.6197249969859788,"[[13, 3, 2, 2], [1, 17, 1, 2], [3, 1, 14, 2], [5, 1, 7, 7]]",0.6190476190476191,0.65,0.5909090909090909,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.6363636363636365,0.7,0.5833333333333334,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.6483333333333333,0.6483333333333333,0.6,0.6,0.6,0.6031746031746033,0.6031746031746033,"[[14, 0, 4, 2], [3, 12, 4, 1], [2, 0, 14, 4], [6, 0, 6, 8]]",0.6222222222222222,0.7,0.56,0.7499999999999999,0.6,1.0,0.5833333333333334,0.7,0.5,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.7353553921568627,0.7353553921568627,0.7000000000000001,0.7,0.7,0.7061711711711712,0.7061711711711711,"[[16, 1, 0, 3], [6, 13, 0, 1], [2, 2, 15, 1], [6, 1, 1, 12]]",0.64,0.8,0.5333333333333333,0.7027027027027027,0.65,0.7647058823529411,0.8333333333333334,0.75,0.9375,0.6486486486486486,0.6,0.7058823529411765,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6683687363834423,0.6683687363834423,0.6625,0.6625,0.6625,0.6587638170084977,0.658763817008498,"[[12, 5, 0, 3], [2, 16, 1, 1], [1, 2, 15, 2], [2, 4, 4, 10]]",0.6486486486486486,0.6,0.7058823529411765,0.6808510638297872,0.8,0.5925925925925926,0.75,0.75,0.75,0.5555555555555556,0.5,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6243171683389074,0.6243171683389074,0.625,0.625,0.625,0.6166930937279775,0.6166930937279774,"[[13, 1, 3, 3], [4, 8, 2, 6], [2, 1, 16, 1], [1, 3, 3, 13]]",0.65,0.65,0.65,0.4848484848484849,0.4,0.6153846153846154,0.7272727272727272,0.8,0.6666666666666666,0.6046511627906976,0.65,0.5652173913043478,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6735353535353535,0.6735353535353535,0.6499999999999999,0.65,0.65,0.6556390977443609,0.6556390977443608,"[[12, 3, 1, 4], [1, 14, 0, 5], [1, 1, 14, 4], [1, 4, 3, 12]]",0.6857142857142857,0.6,0.8,0.6666666666666666,0.7,0.6363636363636364,0.7368421052631577,0.7,0.7777777777777778,0.5333333333333332,0.6,0.48,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6696998722860792,0.6713085158381029,0.6428571428571429,0.6419753086419753,0.6419753086419753,0.6270154870458822,0.6275050077819413,"[[17, 1, 2, 0], [7, 12, 1, 1], [1, 1, 16, 2], [4, 1, 8, 7]]",0.6938775510204082,0.85,0.5862068965517241,0.6666666666666666,0.5714285714285714,0.8,0.6808510638297872,0.8,0.5925925925925926,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,3,0.6915678524374176,0.6915678524374177,0.6749999999999999,0.675,0.675,0.6782668881506091,0.6782668881506091,"[[14, 2, 1, 3], [3, 13, 2, 2], [2, 0, 14, 4], [1, 0, 6, 13]]",0.7,0.7,0.7,0.7428571428571429,0.65,0.8666666666666667,0.6511627906976744,0.7,0.6086956521739131,0.6190476190476191,0.65,0.5909090909090909,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,3,0.6966503267973856,0.6966503267973856,0.6624999999999999,0.6625,0.6625,0.6422793093845724,0.6422793093845724,"[[14, 5, 1, 0], [0, 19, 1, 0], [1, 3, 14, 2], [5, 7, 2, 6]]",0.7,0.7,0.7,0.7037037037037037,0.95,0.5588235294117647,0.7368421052631577,0.7,0.7777777777777778,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.7270769809900244,0.7270769809900244,0.725,0.725,0.725,0.7107175167775684,0.7107175167775683,"[[17, 2, 0, 1], [2, 17, 0, 1], [0, 3, 16, 1], [4, 3, 5, 8]]",0.7906976744186046,0.85,0.7391304347826086,0.7555555555555556,0.85,0.68,0.7804878048780488,0.8,0.7619047619047619,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.5520833333333334,0.5545267489711934,0.45892857142857146,0.4567901234567901,0.4567901234567901,0.4119521121792045,0.411974840466477,"[[6, 12, 3, 0], [1, 19, 0, 0], [0, 7, 11, 2], [1, 18, 0, 1]]",0.4137931034482759,0.2857142857142857,0.75,0.5000000000000001,0.95,0.3392857142857143,0.6470588235294117,0.55,0.7857142857142857,0.08695652173913045,0.05,0.3333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={1: 4}, random_state=42)",memory,"[""cyclops"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
