,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.7503434065934066,0.7503434065934066,0.5,0.5,0.5,0.4733114901879204,0.4733114901879204,"[[20, 0, 0, 0], [16, 3, 1, 0], [9, 0, 10, 1], [11, 0, 2, 7]]",0.5263157894736842,1.0,0.35714285714285715,0.2608695652173913,0.15,1.0,0.6060606060606061,0.5,0.7692307692307693,0.4999999999999999,0.35,0.875,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.5625,0.5625,0.525,0.525,0.525,0.5088267543859649,0.5088267543859649,"[[16, 2, 0, 2], [13, 5, 1, 1], [3, 1, 15, 1], [8, 4, 2, 6]]",0.5333333333333333,0.8,0.4,0.3125,0.25,0.4166666666666667,0.7894736842105262,0.75,0.8333333333333334,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.698070448070448,0.6940247680988421,0.5255952380952381,0.5308641975308642,0.5308641975308642,0.5047685834502104,0.5051212346833354,"[[20, 0, 1, 0], [8, 11, 0, 1], [9, 1, 10, 0], [17, 1, 0, 2]]",0.5333333333333333,0.9523809523809523,0.37037037037037035,0.6666666666666667,0.55,0.8461538461538461,0.6451612903225806,0.5,0.9090909090909091,0.1739130434782609,0.1,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.610854570960954,0.6094859960108188,0.5083333333333333,0.5061728395061729,0.5061728395061729,0.49358761746821445,0.4924322147834217,"[[18, 0, 1, 1], [12, 5, 1, 2], [5, 0, 11, 4], [12, 2, 0, 7]]",0.5373134328358209,0.9,0.3829787234042553,0.37037037037037035,0.25,0.7142857142857143,0.6666666666666667,0.55,0.8461538461538461,0.4,0.3333333333333333,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.5627117447769622,0.5619375257056416,0.5726190476190476,0.5679012345679012,0.5679012345679012,0.5451906002978577,0.5418655567011622,"[[13, 2, 4, 1], [4, 16, 0, 0], [3, 1, 13, 3], [8, 4, 5, 4]]",0.5416666666666667,0.65,0.4642857142857143,0.7441860465116279,0.8,0.6956521739130435,0.6190476190476191,0.65,0.5909090909090909,0.27586206896551724,0.19047619047619047,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,3,0.6598214285714286,0.6598214285714286,0.6,0.6,0.6,0.5915032679738562,0.5915032679738561,"[[18, 1, 0, 1], [4, 14, 1, 1], [7, 1, 10, 2], [11, 0, 3, 6]]",0.6,0.9,0.45,0.7777777777777777,0.7,0.875,0.588235294117647,0.5,0.7142857142857143,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6837412587412588,0.6847966847966848,0.6690476190476191,0.6666666666666666,0.6666666666666666,0.6647089270490805,0.6637648081240011,"[[14, 3, 3, 0], [2, 14, 2, 2], [2, 1, 16, 1], [8, 2, 1, 10]]",0.608695652173913,0.7,0.5384615384615384,0.7,0.7,0.7,0.761904761904762,0.8,0.7272727272727273,0.588235294117647,0.47619047619047616,0.7692307692307693,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6086773532425707,0.608021528579768,0.6220238095238095,0.6172839506172839,0.6172839506172839,0.5943545156805918,0.5911320319479098,"[[13, 4, 3, 0], [2, 16, 1, 1], [1, 0, 16, 3], [6, 7, 3, 5]]",0.6190476190476191,0.65,0.5909090909090909,0.6808510638297872,0.8,0.5925925925925926,0.7441860465116279,0.8,0.6956521739130435,0.33333333333333326,0.23809523809523808,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6330128205128205,0.6330128205128205,0.6125,0.6125,0.6125,0.6087964166840025,0.6087964166840025,"[[12, 2, 4, 2], [4, 9, 1, 6], [0, 0, 16, 4], [2, 1, 5, 12]]",0.631578947368421,0.6,0.6666666666666666,0.5625000000000001,0.45,0.75,0.6956521739130435,0.8,0.6153846153846154,0.5454545454545454,0.6,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6602206273258905,0.6599260965732701,0.6541666666666667,0.654320987654321,0.654320987654321,0.6561876515976882,0.656125616277935,"[[14, 2, 2, 3], [2, 13, 1, 4], [2, 1, 14, 3], [4, 2, 2, 12]]",0.6511627906976744,0.6666666666666666,0.6363636363636364,0.6842105263157895,0.65,0.7222222222222222,0.717948717948718,0.7,0.7368421052631579,0.5714285714285713,0.6,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""deeplearning4j"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
