,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.4552083333333333,0.45717299578059073,0.4144736842105263,0.4177215189873418,0.4177215189873418,0.39131510252199914,0.39364951455741504,"[[15, 4, 1, 0], [13, 3, 1, 2], [6, 1, 11, 2], [11, 2, 3, 4]]",0.46153846153846156,0.75,0.3333333333333333,0.20689655172413793,0.15789473684210525,0.3,0.6111111111111112,0.55,0.6875,0.28571428571428575,0.2,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,1,0.5555555555555556,0.5555555555555556,0.5125000000000001,0.5125,0.5125,0.5080746300981649,0.5080746300981648,"[[12, 0, 5, 3], [7, 7, 4, 2], [2, 1, 13, 4], [6, 1, 4, 9]]",0.5106382978723405,0.6,0.4444444444444444,0.48275862068965514,0.35,0.7777777777777778,0.5652173913043479,0.65,0.5,0.4736842105263158,0.45,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,1,0.6222985347985347,0.6222985347985347,0.49999999999999994,0.5,0.5,0.47186330854180747,0.47186330854180747,"[[19, 1, 0, 0], [14, 3, 1, 2], [6, 1, 12, 1], [13, 0, 1, 6]]",0.5277777777777778,0.95,0.36538461538461536,0.24,0.15,0.6,0.7058823529411764,0.6,0.8571428571428571,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,2,0.6142533936651584,0.6142533936651583,0.5875,0.5875,0.5875,0.5897072962290354,0.5897072962290354,"[[13, 2, 2, 3], [7, 9, 0, 4], [2, 0, 13, 5], [4, 2, 2, 12]]",0.5652173913043479,0.65,0.5,0.5454545454545455,0.45,0.6923076923076923,0.7027027027027027,0.65,0.7647058823529411,0.5454545454545454,0.6,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,2,0.7314659977703456,0.7314659977703455,0.5875,0.5875,0.5875,0.5907784743991641,0.5907784743991641,"[[19, 0, 0, 1], [10, 9, 0, 1], [7, 0, 11, 2], [10, 0, 2, 8]]",0.5757575757575758,0.95,0.41304347826086957,0.6206896551724138,0.45,1.0,0.6666666666666667,0.55,0.8461538461538461,0.5,0.4,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,3,0.6501358695652174,0.653137039075399,0.5625,0.5569620253164557,0.5569620253164557,0.5340432864626413,0.5334031333214674,"[[19, 0, 0, 0], [8, 11, 1, 0], [6, 0, 11, 3], [13, 0, 4, 3]]",0.5846153846153846,1.0,0.41304347826086957,0.7096774193548387,0.55,1.0,0.6111111111111112,0.55,0.6875,0.23076923076923075,0.15,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,4,0.6546092796092796,0.6537534195762044,0.6335526315789474,0.6329113924050633,0.6329113924050633,0.6331067586905678,0.6322257973739585,"[[12, 3, 5, 0], [3, 13, 1, 2], [3, 1, 15, 1], [3, 1, 6, 10]]",0.5853658536585366,0.6,0.5714285714285714,0.7027027027027027,0.6842105263157895,0.7222222222222222,0.6382978723404256,0.75,0.5555555555555556,0.6060606060606061,0.5,0.7692307692307693,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,3,0.6501554001554002,0.6506496316622898,0.6572368421052631,0.6582278481012658,0.6582278481012658,0.644084372345242,0.6447108252281615,"[[11, 4, 3, 1], [0, 18, 1, 1], [1, 1, 15, 3], [6, 3, 3, 8]]",0.5945945945945946,0.5789473684210527,0.6111111111111112,0.7826086956521738,0.9,0.6923076923076923,0.7142857142857143,0.75,0.6818181818181818,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,0,0.5937984496124031,0.5937984496124031,0.5375,0.5375,0.5375,0.5183531746031745,0.5183531746031746,"[[19, 0, 0, 1], [10, 7, 0, 3], [6, 1, 11, 2], [8, 2, 4, 6]]",0.6031746031746031,0.95,0.4418604651162791,0.4666666666666667,0.35,0.7,0.6285714285714286,0.55,0.7333333333333333,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,3,0.6956318681318682,0.6973487272221449,0.6967105263157894,0.6962025316455697,0.6962025316455697,0.6873152254249815,0.6879601822485428,"[[14, 1, 2, 2], [1, 18, 1, 0], [2, 0, 15, 3], [8, 2, 2, 8]]",0.6363636363636364,0.7368421052631579,0.56,0.8780487804878048,0.9,0.8571428571428571,0.75,0.75,0.75,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,1,0.6484010270774977,0.6484010270774977,0.65,0.65,0.65,0.6465314947343188,0.6465314947343188,"[[14, 2, 0, 4], [2, 16, 1, 1], [1, 1, 14, 4], [7, 2, 3, 8]]",0.6363636363636365,0.7,0.5833333333333334,0.7804878048780488,0.8,0.7619047619047619,0.7368421052631577,0.7,0.7777777777777778,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,2,0.6318952429149797,0.6318952429149798,0.625,0.625,0.625,0.623513563730955,0.623513563730955,"[[15, 0, 1, 4], [4, 14, 0, 2], [4, 2, 11, 3], [3, 3, 4, 10]]",0.6521739130434783,0.75,0.5769230769230769,0.717948717948718,0.7,0.7368421052631579,0.6111111111111112,0.55,0.6875,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,2,0.6911163455281103,0.6911163455281102,0.6875,0.6875,0.6875,0.679355871158124,0.679355871158124,"[[13, 4, 2, 1], [1, 17, 0, 2], [1, 1, 16, 2], [2, 5, 4, 9]]",0.7027027027027027,0.65,0.7647058823529411,0.723404255319149,0.85,0.6296296296296297,0.761904761904762,0.8,0.7272727272727273,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,4,0.6820868871784203,0.6819151746881086,0.6855263157894737,0.6835443037974683,0.6835443037974683,0.6785714285714287,0.6775165762507536,"[[15, 2, 2, 1], [2, 16, 0, 1], [3, 1, 13, 3], [2, 4, 4, 10]]",0.7142857142857143,0.75,0.6818181818181818,0.761904761904762,0.8421052631578947,0.6956521739130435,0.6666666666666667,0.65,0.6842105263157895,0.5714285714285715,0.5,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,4,0.6501488095238095,0.6511452682338759,0.6355263157894737,0.6329113924050633,0.6329113924050633,0.6311254643701453,0.6304960264023016,"[[13, 4, 3, 0], [1, 16, 1, 1], [2, 3, 11, 4], [0, 5, 5, 10]]",0.7222222222222223,0.65,0.8125,0.6808510638297872,0.8421052631578947,0.5714285714285714,0.55,0.55,0.55,0.5714285714285715,0.5,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,1,0.680633794517642,0.6806337945176419,0.6875,0.6875,0.6875,0.66850269733264,0.66850269733264,"[[15, 2, 1, 2], [2, 18, 0, 0], [0, 1, 16, 3], [4, 8, 2, 6]]",0.7317073170731706,0.75,0.7142857142857143,0.7346938775510204,0.9,0.6206896551724138,0.8205128205128205,0.8,0.8421052631578947,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,0,0.6258234519104084,0.6258234519104084,0.6000000000000001,0.6,0.6,0.6006021594684385,0.6006021594684385,"[[16, 0, 0, 4], [7, 10, 0, 3], [0, 1, 13, 6], [0, 1, 10, 9]]",0.7441860465116279,0.8,0.6956521739130435,0.625,0.5,0.8333333333333334,0.6046511627906976,0.65,0.5652173913043478,0.4285714285714286,0.45,0.4090909090909091,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
0,3,0.7115013469502633,0.7114661017941184,0.7098684210526316,0.7088607594936709,0.7088607594936709,0.7086365211365211,0.708112932796477,"[[15, 2, 2, 0], [2, 15, 2, 1], [2, 0, 14, 4], [2, 2, 4, 12]]",0.7500000000000001,0.7894736842105263,0.7142857142857143,0.7692307692307692,0.75,0.7894736842105263,0.6666666666666666,0.7,0.6363636363636364,0.6486486486486486,0.6,0.7058823529411765,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""kapua"", ""okhttp"", ""pmd"", ""redisson"", ""spring-security-oauth"", ""spring-session""]"
