,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.5532910628019323,0.5532623983366967,0.4407894736842105,0.4430379746835443,0.4430379746835443,0.4437229437229437,0.4448188941859828,"[[13, 4, 2, 1], [12, 5, 0, 2], [8, 0, 12, 0], [13, 0, 2, 5]]",0.3939393939393939,0.65,0.2826086956521739,0.35714285714285715,0.2631578947368421,0.5555555555555556,0.6666666666666665,0.6,0.75,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,1,0.6370980643097104,0.6370980643097104,0.525,0.525,0.525,0.4990007228813199,0.4990007228813199,"[[18, 0, 0, 2], [10, 6, 3, 1], [6, 0, 14, 0], [13, 1, 2, 4]]",0.5373134328358209,0.9,0.3829787234042553,0.4444444444444444,0.3,0.8571428571428571,0.717948717948718,0.7,0.7368421052631579,0.29629629629629634,0.2,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,0,0.6557765151515151,0.6557765151515151,0.5375,0.5375,0.5375,0.5230954388924028,0.5230954388924027,"[[19, 0, 0, 1], [13, 5, 0, 2], [9, 0, 11, 0], [7, 2, 3, 8]]",0.5588235294117647,0.95,0.3958333333333333,0.37037037037037035,0.25,0.7142857142857143,0.6470588235294117,0.55,0.7857142857142857,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,3,0.6403266503000545,0.6406423722610094,0.5427631578947368,0.5443037974683544,0.5443037974683544,0.504713750090129,0.504773417812789,"[[19, 0, 1, 0], [6, 14, 0, 0], [9, 1, 8, 1], [13, 1, 4, 2]]",0.5671641791044776,0.95,0.40425531914893614,0.7777777777777777,0.7,0.875,0.5,0.42105263157894735,0.6153846153846154,0.1739130434782609,0.1,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,2,0.7078282828282828,0.7078282828282828,0.6,0.6,0.6,0.59117432746465,0.5911743274646499,"[[19, 0, 0, 1], [9, 10, 1, 0], [4, 0, 14, 2], [13, 1, 1, 5]]",0.5846153846153845,0.95,0.4222222222222222,0.6451612903225806,0.5,0.9090909090909091,0.7777777777777777,0.7,0.875,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,3,0.6199368264585656,0.618642074613456,0.6335526315789474,0.6329113924050633,0.6329113924050633,0.6162406402863936,0.6151461838001112,"[[13, 3, 2, 2], [1, 18, 0, 1], [2, 1, 13, 3], [7, 4, 3, 6]]",0.6046511627906976,0.65,0.5652173913043478,0.7826086956521738,0.9,0.6923076923076923,0.7027027027027027,0.6842105263157895,0.7222222222222222,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,2,0.5843310722458319,0.5843310722458319,0.6,0.6,0.6,0.5869545980695091,0.5869545980695092,"[[12, 2, 3, 3], [1, 15, 2, 2], [0, 2, 15, 3], [6, 5, 3, 6]]",0.6153846153846154,0.6,0.631578947368421,0.6818181818181818,0.75,0.625,0.6976744186046512,0.75,0.6521739130434783,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,3,0.6009170653907496,0.5998627177841035,0.6210526315789473,0.620253164556962,0.620253164556962,0.5955439467154238,0.5944215849483306,"[[12, 5, 2, 1], [0, 19, 0, 1], [1, 1, 13, 4], [6, 5, 4, 5]]",0.6153846153846154,0.6,0.631578947368421,0.7599999999999999,0.95,0.6333333333333333,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,4,0.5870301573426573,0.5849672479419314,0.555921052631579,0.5569620253164557,0.5569620253164557,0.5502145703758606,0.5498293730225131,"[[13, 2, 4, 1], [4, 9, 4, 2], [2, 0, 15, 3], [3, 1, 9, 7]]",0.6190476190476191,0.65,0.5909090909090909,0.5806451612903226,0.47368421052631576,0.75,0.5769230769230769,0.75,0.46875,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
0,4,0.653888888888889,0.6526722925457104,0.6453947368421052,0.6455696202531646,0.6455696202531646,0.646063074352548,0.645561160284678,"[[14, 2, 2, 2], [3, 12, 0, 4], [3, 0, 15, 2], [5, 2, 3, 10]]",0.6222222222222222,0.7,0.56,0.6857142857142857,0.631578947368421,0.75,0.75,0.75,0.75,0.5263157894736842,0.5,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""graphhopper"", ""karate"", ""realm-java"", ""redisson"", ""spring-security""]"
