,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.7053571428571429,0.7102169981916818,0.4868421052631579,0.4810126582278481,0.4810126582278481,0.47049627791563275,0.4703759776360838,"[[18, 0, 1, 0], [8, 11, 1, 0], [15, 0, 4, 1], [15, 0, 0, 5]]",0.48,0.9473684210526315,0.32142857142857145,0.7096774193548387,0.55,1.0,0.30769230769230765,0.2,0.6666666666666666,0.3846153846153846,0.25,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,1,0.6591750841750842,0.6571623407066445,0.4809210526315789,0.4810126582278481,0.4810126582278481,0.46182665424044733,0.46007762454728846,"[[19, 0, 1, 0], [13, 4, 1, 2], [9, 0, 9, 1], [13, 1, 0, 6]]",0.5135135135135135,0.95,0.35185185185185186,0.32000000000000006,0.2,0.8,0.6,0.47368421052631576,0.8181818181818182,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,4,0.43434343434343436,0.4328091036951796,0.44078947368421056,0.4430379746835443,0.4430379746835443,0.3857886904761904,0.3861512959614225,"[[17, 2, 0, 1], [10, 5, 2, 2], [7, 1, 12, 0], [10, 1, 8, 1]]",0.53125,0.85,0.38636363636363635,0.35714285714285715,0.2631578947368421,0.5555555555555556,0.5714285714285713,0.6,0.5454545454545454,0.08333333333333334,0.05,0.25,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,3,0.6229166666666667,0.6244725738396625,0.6078947368421052,0.6075949367088608,0.6075949367088608,0.6073559515419981,0.6079789441579256,"[[12, 1, 4, 2], [2, 14, 1, 3], [4, 0, 14, 2], [6, 1, 5, 8]]",0.5581395348837209,0.631578947368421,0.5,0.7777777777777777,0.7,0.875,0.6363636363636365,0.7,0.5833333333333334,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,0,0.6241477272727273,0.6241477272727273,0.5375,0.5375,0.5375,0.5267361111111112,0.5267361111111112,"[[18, 0, 1, 1], [11, 8, 0, 1], [6, 1, 11, 2], [9, 1, 4, 6]]",0.5625000000000001,0.9,0.4090909090909091,0.5333333333333333,0.4,0.8,0.6111111111111112,0.55,0.6875,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,2,0.6852941176470588,0.6876396128071482,0.6671052631578946,0.6708860759493671,0.6708860759493671,0.6681101556101556,0.671197088918608,"[[14, 1, 2, 3], [2, 16, 1, 1], [1, 0, 16, 3], [11, 0, 1, 7]]",0.5833333333333334,0.7,0.5,0.8648648648648648,0.8,0.9411764705882353,0.8000000000000002,0.8,0.8,0.4242424242424242,0.3684210526315789,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,2,0.7716420807453417,0.7723681107005268,0.6282894736842105,0.6329113924050633,0.6329113924050633,0.6226689976689976,0.6256823345430941,"[[20, 0, 0, 0], [10, 10, 0, 0], [3, 0, 15, 2], [13, 0, 1, 5]]",0.6060606060606061,1.0,0.43478260869565216,0.6666666666666666,0.5,1.0,0.8333333333333334,0.75,0.9375,0.3846153846153846,0.2631578947368421,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,0,0.6856390977443609,0.6856390977443609,0.6625,0.6625,0.6625,0.6681824950117634,0.6681824950117633,"[[13, 1, 2, 4], [4, 13, 0, 3], [1, 0, 14, 5], [3, 1, 3, 13]]",0.6341463414634146,0.65,0.6190476190476191,0.7428571428571429,0.65,0.8666666666666667,0.717948717948718,0.7,0.7368421052631579,0.5777777777777778,0.65,0.52,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,4,0.5292277167277167,0.5271634132393626,0.530921052631579,0.5316455696202531,0.5316455696202531,0.5026714375826025,0.5019141140076987,"[[13, 2, 4, 1], [4, 9, 2, 4], [2, 0, 17, 1], [2, 2, 13, 3]]",0.6341463414634146,0.65,0.6190476190476191,0.5625,0.47368421052631576,0.6923076923076923,0.6071428571428571,0.85,0.4722222222222222,0.20689655172413793,0.15,0.3333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,0,0.6725442834138485,0.6725442834138488,0.625,0.625,0.625,0.6260885700148441,0.6260885700148441,"[[14, 0, 1, 5], [6, 9, 0, 5], [2, 0, 14, 4], [1, 1, 5, 13]]",0.6511627906976744,0.7,0.6086956521739131,0.6,0.45,0.9,0.7,0.7,0.7,0.553191489361702,0.65,0.48148148148148145,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,1,0.611492673992674,0.6113970417767886,0.6210526315789473,0.620253164556962,0.620253164556962,0.6067934782608696,0.6062465602641718,"[[15, 2, 2, 1], [3, 15, 0, 2], [3, 0, 13, 3], [5, 3, 6, 6]]",0.6521739130434783,0.75,0.5769230769230769,0.75,0.75,0.75,0.6500000000000001,0.6842105263157895,0.6190476190476191,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
