,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.4897342995169082,0.4896043539411728,0.42697368421052634,0.43037974683544306,0.43037974683544306,0.39899796513226643,0.4010105976022951,"[[16, 3, 1, 0], [12, 3, 1, 3], [9, 0, 10, 1], [9, 0, 6, 5]]",0.48484848484848486,0.8,0.34782608695652173,0.23999999999999996,0.15789473684210525,0.5,0.5263157894736842,0.5,0.5555555555555556,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,2,0.5905038759689922,0.5916494946521441,0.5164473684210527,0.5189873417721519,0.5189873417721519,0.5065716757596624,0.5080840162858158,"[[17, 1, 1, 1], [12, 6, 1, 1], [3, 1, 12, 4], [11, 1, 1, 6]]",0.5396825396825397,0.85,0.3953488372093023,0.41379310344827586,0.3,0.6666666666666666,0.6857142857142857,0.6,0.8,0.3870967741935484,0.3157894736842105,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,3,0.6600761826825656,0.6635837454582404,0.5493421052631579,0.5443037974683544,0.5443037974683544,0.5338278619528619,0.5336806887439799,"[[18, 1, 0, 0], [10, 10, 0, 0], [5, 1, 11, 3], [14, 1, 1, 4]]",0.5454545454545454,0.9473684210526315,0.3829787234042553,0.6060606060606061,0.5,0.7692307692307693,0.6874999999999999,0.55,0.9166666666666666,0.29629629629629634,0.2,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,1,0.685038188761593,0.6839724598948945,0.556578947368421,0.5569620253164557,0.5569620253164557,0.5514893206381883,0.5505588057095578,"[[19, 0, 0, 1], [9, 9, 2, 0], [7, 0, 10, 2], [12, 1, 1, 6]]",0.5671641791044776,0.95,0.40425531914893614,0.6,0.45,0.9,0.625,0.5263157894736842,0.7692307692307693,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,0,0.7471677258911302,0.7471677258911301,0.5875,0.5875,0.5875,0.5901510339330724,0.5901510339330724,"[[19, 0, 0, 1], [12, 8, 0, 0], [6, 0, 12, 2], [10, 0, 2, 8]]",0.5671641791044776,0.95,0.40425531914893614,0.5714285714285715,0.4,1.0,0.7058823529411764,0.6,0.8571428571428571,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,4,0.6255331957344341,0.6237715161569847,0.6210526315789474,0.620253164556962,0.620253164556962,0.6201641925326136,0.6188723187390742,"[[11, 3, 3, 3], [1, 13, 1, 4], [3, 0, 15, 2], [3, 1, 6, 10]]",0.5789473684210527,0.55,0.6111111111111112,0.7222222222222222,0.6842105263157895,0.7647058823529411,0.6666666666666665,0.75,0.6,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,0,0.61869850579528,0.61869850579528,0.6125,0.6125,0.6125,0.5923178655626473,0.5923178655626473,"[[10, 4, 2, 4], [2, 17, 0, 1], [1, 3, 16, 0], [1, 7, 6, 6]]",0.588235294117647,0.5,0.7142857142857143,0.6666666666666665,0.85,0.5483870967741935,0.7272727272727272,0.8,0.6666666666666666,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,2,0.6592394533571004,0.6595290206608152,0.6421052631578947,0.6455696202531646,0.6455696202531646,0.6287711246499728,0.6308230798143183,"[[11, 5, 3, 1], [1, 19, 0, 0], [1, 2, 14, 3], [4, 7, 1, 7]]",0.5945945945945946,0.55,0.6470588235294118,0.7169811320754716,0.95,0.5757575757575758,0.7368421052631577,0.7,0.7777777777777778,0.4666666666666667,0.3684210526315789,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,0,0.6476437256824926,0.6476437256824926,0.6375,0.6375,0.6375,0.6404719873239443,0.6404719873239442,"[[13, 2, 1, 4], [4, 13, 0, 3], [2, 1, 14, 3], [4, 1, 4, 11]]",0.6046511627906976,0.65,0.5652173913043478,0.7027027027027027,0.65,0.7647058823529411,0.717948717948718,0.7,0.7368421052631579,0.5365853658536585,0.55,0.5238095238095238,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,4,0.6591684614349171,0.6587066422896245,0.6605263157894736,0.6582278481012658,0.6582278481012658,0.6568569943569944,0.6555272757804403,"[[13, 3, 1, 3], [0, 16, 0, 3], [2, 2, 13, 3], [5, 2, 3, 10]]",0.65,0.65,0.65,0.761904761904762,0.8421052631578947,0.6956521739130435,0.7027027027027027,0.65,0.7647058823529411,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
0,2,0.6615384615384615,0.662317429406037,0.6453947368421052,0.6455696202531646,0.6455696202531646,0.643404783622175,0.6437594692960681,"[[15, 0, 3, 2], [6, 10, 2, 2], [1, 1, 14, 4], [4, 2, 1, 12]]",0.6521739130434783,0.75,0.5769230769230769,0.6060606060606061,0.5,0.7692307692307693,0.7,0.7,0.7,0.6153846153846154,0.631578947368421,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""jetty.project"", ""n4js"", ""redisson"", ""simplenote-android"", ""spring-session""]"
