,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.5591787439613526,0.5599278419861798,0.4769736842105264,0.4810126582278481,0.4810126582278481,0.45571302865313756,0.4584435733196329,"[[16, 3, 1, 0], [13, 3, 1, 2], [6, 0, 13, 1], [11, 0, 3, 6]]",0.48484848484848486,0.8,0.34782608695652173,0.23999999999999996,0.15789473684210525,0.5,0.6842105263157895,0.65,0.7222222222222222,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6025,0.6025,0.48750000000000004,0.4875,0.4875,0.46534391534391534,0.46534391534391534,"[[18, 0, 0, 2], [10, 7, 1, 2], [6, 0, 12, 2], [16, 0, 2, 2]]",0.5142857142857143,0.9,0.36,0.5185185185185185,0.35,1.0,0.6857142857142857,0.6,0.8,0.14285714285714288,0.1,0.25,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6460034013605442,0.6460034013605442,0.525,0.525,0.525,0.481055900621118,0.481055900621118,"[[18, 1, 1, 0], [17, 2, 1, 0], [2, 0, 16, 2], [12, 0, 2, 6]]",0.5217391304347826,0.9,0.3673469387755102,0.1739130434782609,0.1,0.6666666666666666,0.8000000000000002,0.8,0.8,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6644351119894598,0.6644351119894598,0.5499999999999999,0.55,0.55,0.5389854768887027,0.5389854768887027,"[[19, 0, 0, 1], [9, 7, 1, 3], [8, 1, 11, 0], [10, 0, 3, 7]]",0.5757575757575758,0.95,0.41304347826086957,0.4999999999999999,0.35,0.875,0.6285714285714286,0.55,0.7333333333333333,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.5889285714285715,0.5864376130198915,0.5697368421052632,0.569620253164557,0.569620253164557,0.5736111111111112,0.5724331926863573,"[[13, 2, 1, 4], [4, 11, 1, 3], [3, 1, 12, 4], [5, 0, 6, 9]]",0.5777777777777778,0.65,0.52,0.6666666666666667,0.5789473684210527,0.7857142857142857,0.6,0.6,0.6,0.45,0.45,0.45,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,3,0.6467086834733893,0.6464560507747402,0.5651315789473683,0.569620253164557,0.569620253164557,0.5490881583670957,0.5519880084730083,"[[18, 1, 0, 1], [7, 12, 1, 0], [6, 2, 11, 1], [11, 2, 2, 4]]",0.5806451612903225,0.9,0.42857142857142855,0.6486486486486486,0.6,0.7058823529411765,0.6470588235294117,0.55,0.7857142857142857,0.32,0.21052631578947367,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6956018518518519,0.6956018518518519,0.65,0.65,0.65,0.6364781634938409,0.6364781634938409,"[[15, 1, 2, 2], [8, 7, 3, 2], [2, 0, 17, 1], [2, 0, 5, 13]]",0.6382978723404256,0.75,0.5555555555555556,0.4999999999999999,0.35,0.875,0.723404255319149,0.85,0.6296296296296297,0.6842105263157895,0.65,0.7222222222222222,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6376518218623481,0.6376518218623481,0.625,0.625,0.625,0.6231196287961306,0.6231196287961305,"[[15, 3, 0, 2], [3, 15, 0, 2], [2, 1, 11, 6], [6, 2, 3, 9]]",0.6521739130434783,0.75,0.5769230769230769,0.7317073170731706,0.75,0.7142857142857143,0.6470588235294117,0.55,0.7857142857142857,0.46153846153846156,0.45,0.47368421052631576,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6949404761904762,0.694940476190476,0.675,0.675,0.675,0.6746999612853272,0.674699961285327,"[[16, 1, 2, 1], [4, 14, 1, 1], [3, 0, 14, 3], [5, 1, 4, 10]]",0.6666666666666666,0.8,0.5714285714285714,0.7777777777777777,0.7,0.875,0.6829268292682926,0.7,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6690844481605351,0.6690844481605351,0.6375,0.6375,0.6375,0.6426797040169133,0.6426797040169134,"[[15, 1, 1, 3], [3, 12, 2, 3], [1, 0, 13, 6], [5, 0, 4, 11]]",0.6818181818181818,0.75,0.625,0.7272727272727274,0.6,0.9230769230769231,0.65,0.65,0.65,0.5116279069767442,0.55,0.4782608695652174,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""karate"", ""n4js"", ""redisson"", ""spring-session""]"
