,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.7009398496240601,0.7020328599275967,0.6535714285714286,0.654320987654321,0.654320987654321,0.6502435064935065,0.6514750681417348,"[[15, 1, 4, 1], [3, 10, 4, 3], [0, 1, 18, 1], [1, 0, 9, 10]]",0.7500000000000001,0.7142857142857143,0.7894736842105263,0.625,0.5,0.8333333333333334,0.6545454545454545,0.9,0.5142857142857142,0.5714285714285715,0.5,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.7453878474466709,0.7456934743878789,0.730952380952381,0.7317073170731707,0.7317073170731707,0.726353482789159,0.7269643679902974,"[[17, 0, 3, 0], [3, 14, 2, 2], [1, 1, 18, 1], [4, 2, 3, 11]]",0.7555555555555556,0.85,0.68,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.7659574468085107,0.8571428571428571,0.6923076923076923,0.6470588235294117,0.55,0.7857142857142857,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.696395173453997,0.6977456498546886,0.694047619047619,0.6951219512195121,0.6951219512195121,0.6816946179256905,0.6830675850500123,"[[18, 0, 2, 0], [2, 14, 2, 3], [1, 1, 17, 2], [6, 2, 4, 8]]",0.7659574468085106,0.9,0.6666666666666666,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.7391304347826089,0.8095238095238095,0.68,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,3,0.6751508295625942,0.6750460868107927,0.6702380952380952,0.6666666666666666,0.6666666666666666,0.65558344906171,0.6534756099973492,"[[18, 0, 2, 0], [4, 13, 2, 1], [0, 2, 15, 3], [4, 2, 7, 8]]",0.7826086956521738,0.9,0.6923076923076923,0.7027027027027027,0.65,0.7647058823529411,0.6521739130434783,0.75,0.5769230769230769,0.4848484848484849,0.38095238095238093,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.7481818181818182,0.7480677858726639,0.743452380952381,0.7439024390243902,0.7439024390243902,0.7380105530584327,0.7383637516265723,"[[18, 0, 2, 0], [0, 17, 2, 2], [3, 2, 15, 1], [4, 3, 2, 11]]",0.7999999999999999,0.9,0.72,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6470588235294117,0.55,0.7857142857142857,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.6919651233699221,0.6920409924968938,0.6934523809523809,0.6951219512195121,0.6951219512195121,0.690750320982879,0.6916250689364699,"[[15, 2, 2, 1], [0, 17, 0, 4], [1, 3, 15, 2], [3, 2, 5, 10]]",0.7692307692307692,0.75,0.7894736842105263,0.7555555555555556,0.8095238095238095,0.7083333333333334,0.6976744186046512,0.7142857142857143,0.6818181818181818,0.5405405405405405,0.5,0.5882352941176471,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,3,0.694736253196931,0.6926004862492501,0.6803571428571429,0.6790123456790124,0.6790123456790124,0.6814837564837565,0.6798043835080873,"[[13, 1, 2, 4], [0, 17, 1, 2], [0, 2, 13, 5], [3, 5, 1, 12]]",0.7222222222222223,0.65,0.8125,0.7555555555555556,0.85,0.68,0.7027027027027027,0.65,0.7647058823529411,0.5454545454545454,0.5714285714285714,0.5217391304347826,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,1,0.6187111801242235,0.6201978375891419,0.6148809523809523,0.6172839506172839,0.6172839506172839,0.5994318181818181,0.6015712682379349,"[[12, 2, 4, 2], [3, 17, 1, 0], [1, 2, 15, 2], [4, 2, 8, 6]]",0.6,0.6,0.6,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.6250000000000001,0.75,0.5357142857142857,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.7883665247795683,0.7872982002091227,0.7791666666666668,0.7804878048780488,0.7804878048780488,0.7741341991341992,0.7744324780910147,"[[18, 0, 2, 0], [0, 17, 2, 2], [1, 2, 18, 0], [3, 4, 2, 11]]",0.8571428571428572,0.9,0.8181818181818182,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.7999999999999999,0.8571428571428571,0.75,0.6666666666666667,0.55,0.8461538461538461,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
0,0,0.7580901856763926,0.7565051433007698,0.7303571428571429,0.7317073170731707,0.7317073170731707,0.731788617886179,0.7317509418996629,"[[16, 0, 3, 1], [2, 16, 2, 1], [1, 3, 17, 0], [1, 1, 7, 11]]",0.8000000000000002,0.8,0.8,0.7804878048780488,0.7619047619047619,0.8,0.68,0.8095238095238095,0.5862068965517241,0.6666666666666667,0.55,0.8461538461538461,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""graphhopper"", ""hono"", ""idea-gitignore"", ""jetty.project"", ""joda-time"", ""kapua"", ""reddeer""]"
