,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.6770562770562771,0.6795988821305279,0.656578947368421,0.6582278481012658,0.6582278481012658,0.6618176538908247,0.6638659786236198,"[[16, 1, 3, 0], [3, 14, 1, 2], [2, 0, 10, 7], [1, 0, 7, 12]]",0.761904761904762,0.8,0.7272727272727273,0.8,0.7,0.9333333333333333,0.5,0.5263157894736842,0.47619047619047616,0.5853658536585366,0.6,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,3,0.7116792929292929,0.7105613092954866,0.7078947368421051,0.7088607594936709,0.7088607594936709,0.704865438998566,0.7048525666701785,"[[16, 2, 1, 1], [2, 17, 1, 0], [0, 1, 12, 6], [4, 4, 1, 11]]",0.761904761904762,0.8,0.7272727272727273,0.7727272727272727,0.85,0.7083333333333334,0.7058823529411765,0.631578947368421,0.8,0.5789473684210527,0.55,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,4,0.7289725672877846,0.7297612495741279,0.7177631578947369,0.7215189873417721,0.7215189873417721,0.7074398808035341,0.7098615371142364,"[[14, 3, 1, 2], [0, 19, 0, 1], [2, 1, 16, 1], [0, 5, 6, 8]]",0.7777777777777777,0.7,0.875,0.7916666666666667,0.95,0.6785714285714286,0.7441860465116279,0.8,0.6956521739130435,0.5161290322580646,0.42105263157894735,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,1,0.6102447552447553,0.6102447552447552,0.6375,0.6375,0.6375,0.6174242424242424,0.6174242424242424,"[[18, 1, 0, 1], [1, 14, 1, 4], [0, 3, 14, 3], [6, 4, 5, 5]]",0.7999999999999999,0.9,0.72,0.6666666666666666,0.7,0.6363636363636364,0.7,0.7,0.7,0.30303030303030304,0.25,0.38461538461538464,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,0,0.6736305361305361,0.673630536130536,0.6749999999999999,0.675,0.675,0.6639298654244307,0.6639298654244306,"[[16, 1, 3, 0], [1, 17, 0, 2], [1, 2, 14, 3], [2, 2, 9, 7]]",0.8000000000000002,0.8,0.8,0.8095238095238095,0.85,0.7727272727272727,0.608695652173913,0.7,0.5384615384615384,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,3,0.7137896825396826,0.7133313240908178,0.7078947368421052,0.7088607594936709,0.7088607594936709,0.7073575012920327,0.7076314660461813,"[[14, 3, 2, 1], [1, 17, 1, 1], [0, 1, 12, 6], [3, 3, 1, 13]]",0.7368421052631577,0.7,0.7777777777777778,0.7727272727272727,0.85,0.7083333333333334,0.6857142857142857,0.631578947368421,0.75,0.6341463414634146,0.65,0.6190476190476191,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,0,0.6611779448621553,0.6611779448621553,0.6625,0.6625,0.6625,0.6572709133684744,0.6572709133684744,"[[15, 1, 3, 1], [1, 16, 0, 3], [1, 2, 14, 3], [2, 2, 8, 8]]",0.7692307692307692,0.75,0.7894736842105263,0.7804878048780488,0.8,0.7619047619047619,0.6222222222222222,0.7,0.56,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,4,0.7219079939668174,0.7226072512744142,0.7177631578947369,0.7215189873417721,0.7215189873417721,0.7065613682023218,0.7089719041003505,"[[14, 3, 1, 2], [0, 19, 0, 1], [3, 0, 16, 1], [0, 4, 7, 8]]",0.7567567567567567,0.7,0.8235294117647058,0.8260869565217392,0.95,0.7307692307692307,0.7272727272727272,0.8,0.6666666666666666,0.5161290322580646,0.42105263157894735,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,2,0.7656521739130435,0.7656521739130435,0.7625000000000001,0.7625,0.7625,0.7513162144702843,0.7513162144702843,"[[17, 0, 1, 2], [1, 18, 0, 1], [2, 1, 17, 0], [5, 4, 2, 9]]",0.7555555555555556,0.85,0.68,0.8372093023255814,0.9,0.782608695652174,0.85,0.85,0.85,0.5625000000000001,0.45,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
0,4,0.6923926767676768,0.693773174785833,0.6546052631578947,0.6582278481012658,0.6582278481012658,0.6549284933778959,0.6575021084431123,"[[13, 1, 5, 1], [1, 16, 2, 1], [1, 0, 16, 3], [1, 1, 10, 7]]",0.7222222222222223,0.65,0.8125,0.8421052631578948,0.8,0.8888888888888888,0.6037735849056605,0.8,0.48484848484848486,0.4516129032258065,0.3684210526315789,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""BroadleafCommerce"", ""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""elk"", ""okhttp"", ""spring-session""]"
