,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6412698412698413,0.6412894375857339,0.6392857142857142,0.6419753086419753,0.6419753086419753,0.5947261009667024,0.5964540982084842,"[[13, 4, 2, 1], [1, 18, 1, 0], [0, 2, 18, 1], [4, 6, 7, 3]]",0.6842105263157895,0.65,0.7222222222222222,0.7200000000000001,0.9,0.6,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.24,0.15,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,4,0.6865842490842491,0.6873671595893818,0.6767857142857143,0.6790123456790124,0.6790123456790124,0.6483238178890351,0.6501963633471952,"[[16, 2, 1, 1], [4, 16, 0, 0], [1, 1, 18, 1], [5, 5, 5, 5]]",0.6956521739130435,0.8,0.6153846153846154,0.7272727272727272,0.8,0.6666666666666666,0.7999999999999999,0.8571428571428571,0.75,0.37037037037037035,0.25,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,4,0.6127645502645502,0.6131360637533477,0.6142857142857142,0.6172839506172839,0.6172839506172839,0.5933848273351895,0.5951293835106934,"[[17, 0, 1, 2], [5, 9, 2, 4], [1, 0, 18, 2], [4, 3, 7, 6]]",0.723404255319149,0.85,0.6296296296296297,0.5625000000000001,0.45,0.75,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,0,0.6132575757575758,0.6129711751662972,0.6190476190476191,0.6219512195121951,0.6219512195121951,0.6002906976744186,0.6017205520892418,"[[15, 4, 1, 0], [3, 17, 0, 1], [1, 2, 14, 4], [1, 7, 7, 5]]",0.75,0.75,0.75,0.6666666666666666,0.8095238095238095,0.5666666666666667,0.6511627906976744,0.6666666666666666,0.6363636363636364,0.3333333333333333,0.25,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,0,0.6078144708175668,0.6090359407206043,0.6226190476190476,0.6219512195121951,0.6219512195121951,0.6092222541690627,0.6096070772381099,"[[19, 0, 1, 0], [4, 15, 0, 2], [1, 2, 10, 8], [3, 2, 8, 7]]",0.8085106382978724,0.95,0.7037037037037037,0.7500000000000001,0.7142857142857143,0.7894736842105263,0.5,0.47619047619047616,0.5263157894736842,0.37837837837837834,0.35,0.4117647058823529,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,3,0.633531746031746,0.6325690770135215,0.5720238095238095,0.5679012345679012,0.5679012345679012,0.5493279569892473,0.546661356697199,"[[8, 1, 9, 2], [2, 15, 1, 2], [0, 2, 18, 0], [0, 2, 14, 5]]",0.5333333333333333,0.4,0.8,0.75,0.75,0.75,0.5806451612903225,0.9,0.42857142857142855,0.33333333333333326,0.23809523809523808,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,0,0.671875,0.671239837398374,0.6690476190476191,0.6707317073170732,0.6707317073170732,0.666812865497076,0.6673513050919982,"[[15, 2, 2, 1], [2, 17, 0, 2], [0, 3, 14, 4], [1, 2, 8, 9]]",0.7894736842105262,0.75,0.8333333333333334,0.7555555555555556,0.8095238095238095,0.7083333333333334,0.6222222222222222,0.6666666666666666,0.5833333333333334,0.5,0.45,0.5625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,4,0.7188144709696433,0.7184872267886316,0.7017857142857142,0.7037037037037037,0.7037037037037037,0.6767202961811823,0.6778219893988038,"[[14, 3, 2, 1], [1, 19, 0, 0], [0, 2, 18, 1], [3, 5, 6, 6]]",0.7368421052631577,0.7,0.7777777777777778,0.7755102040816326,0.95,0.6551724137931034,0.7659574468085107,0.8571428571428571,0.6923076923076923,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,0,0.632094861660079,0.6329306854333365,0.644047619047619,0.6463414634146342,0.6463414634146342,0.6296448432760364,0.6313534242521394,"[[16, 1, 2, 1], [2, 17, 2, 0], [1, 1, 14, 5], [4, 3, 7, 6]]",0.7441860465116279,0.8,0.6956521739130435,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.6086956521739131,0.6666666666666666,0.56,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
0,1,0.6678258145363409,0.6686345493363037,0.643452380952381,0.6419753086419753,0.6419753086419753,0.6471688034188035,0.6467236467236468,"[[11, 1, 2, 7], [1, 16, 2, 1], [1, 0, 12, 7], [2, 2, 3, 13]]",0.611111111111111,0.5238095238095238,0.7333333333333333,0.8205128205128205,0.8,0.8421052631578947,0.6153846153846154,0.6,0.631578947368421,0.5416666666666667,0.65,0.4642857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""HikariCP"", ""checkstyle"", ""guava"", ""hazelcast"", ""orientdb"", ""spring-batch"", ""spring-framework"", ""spring-session"", ""takes""]"
