,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.7148989898989899,0.7148989898989899,0.7125,0.7125,0.7125,0.7127819548872181,0.7127819548872181,"[[15, 3, 1, 1], [1, 14, 0, 5], [2, 0, 16, 2], [4, 1, 3, 12]]",0.7142857142857143,0.75,0.6818181818181818,0.7368421052631577,0.7,0.7777777777777778,0.8000000000000002,0.8,0.8,0.6,0.6,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,0,0.7419662309368191,0.7444256166115281,0.7279761904761906,0.7283950617283951,0.7283950617283951,0.7275260282679096,0.7289405867233415,"[[17, 0, 0, 3], [4, 16, 0, 1], [2, 1, 15, 2], [4, 0, 5, 11]]",0.723404255319149,0.85,0.6296296296296297,0.8421052631578947,0.7619047619047619,0.9411764705882353,0.75,0.75,0.75,0.5945945945945946,0.55,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,1,0.7103466386554622,0.7117439568419961,0.7041666666666666,0.7037037037037037,0.7037037037037037,0.6980994152046782,0.6985777200202152,"[[15, 2, 0, 3], [1, 18, 0, 1], [1, 4, 14, 2], [3, 4, 3, 10]]",0.75,0.75,0.75,0.75,0.9,0.6428571428571429,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.5555555555555556,0.5,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,0,0.6948015873015874,0.6954830491867529,0.7017857142857142,0.7037037037037037,0.7037037037037037,0.6907464740282078,0.6920952829908225,"[[17, 0, 0, 3], [2, 18, 0, 1], [2, 2, 14, 2], [4, 4, 4, 8]]",0.7555555555555556,0.85,0.68,0.7999999999999999,0.8571428571428571,0.75,0.7368421052631577,0.7,0.7777777777777778,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,0,0.7629761904761905,0.7659024103468547,0.7297619047619048,0.7283950617283951,0.7283950617283951,0.724013772175537,0.7245161439061222,"[[19, 0, 1, 0], [5, 13, 1, 2], [2, 0, 16, 2], [2, 0, 7, 11]]",0.7916666666666667,0.95,0.6785714285714286,0.7647058823529412,0.6190476190476191,1.0,0.7111111111111111,0.8,0.64,0.6285714285714286,0.55,0.7333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,0,0.7030787633419212,0.7027938403377,0.7023809523809524,0.7037037037037037,0.7037037037037037,0.6875966483259611,0.6882328679118457,"[[16, 2, 1, 1], [1, 17, 1, 2], [0, 2, 17, 1], [2, 4, 7, 7]]",0.8205128205128205,0.8,0.8421052631578947,0.7391304347826089,0.8095238095238095,0.68,0.7391304347826088,0.85,0.6538461538461539,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,1,0.6680657305657306,0.6671339634302597,0.6654761904761904,0.6666666666666666,0.6666666666666666,0.6583056171470805,0.6584088399806557,"[[15, 0, 2, 3], [2, 15, 3, 0], [1, 2, 16, 2], [3, 3, 6, 8]]",0.7317073170731706,0.75,0.7142857142857143,0.75,0.75,0.75,0.6666666666666666,0.7619047619047619,0.5925925925925926,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,4,0.6582674571805007,0.6582674571805006,0.675,0.675,0.675,0.6618234928685031,0.6618234928685031,"[[14, 3, 1, 2], [1, 16, 0, 3], [1, 0, 17, 2], [5, 3, 5, 7]]",0.6829268292682926,0.7,0.6666666666666666,0.761904761904762,0.8,0.7272727272727273,0.7906976744186046,0.85,0.7391304347826086,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,0,0.679100790513834,0.6798418972332015,0.6898809523809524,0.691358024691358,0.691358024691358,0.6822691197691199,0.6833858870895909,"[[16, 0, 0, 4], [2, 17, 0, 2], [1, 2, 15, 2], [3, 4, 5, 8]]",0.761904761904762,0.8,0.7272727272727273,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.75,0.75,0.75,0.4444444444444445,0.4,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,1,0.7483330288637193,0.749676360077042,0.7517857142857143,0.7530864197530864,0.7530864197530864,0.7481087815390142,0.749454881237827,"[[15, 1, 1, 3], [1, 17, 0, 2], [1, 1, 18, 1], [3, 4, 2, 11]]",0.75,0.75,0.75,0.7906976744186046,0.85,0.7391304347826086,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5945945945945946,0.55,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,4,0.5867063492063491,0.5867063492063492,0.6,0.6,0.6,0.5850554695562435,0.5850554695562435,"[[14, 4, 1, 1], [4, 11, 0, 5], [1, 0, 17, 2], [1, 3, 10, 6]]",0.7,0.7,0.7,0.5789473684210527,0.55,0.6111111111111112,0.7083333333333333,0.85,0.6071428571428571,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,0,0.6451569264069263,0.6465982577093689,0.6654761904761904,0.6666666666666666,0.6666666666666666,0.6504647313470843,0.6518405341934753,"[[17, 0, 0, 3], [3, 16, 0, 2], [0, 2, 15, 3], [4, 3, 7, 6]]",0.7727272727272727,0.85,0.7083333333333334,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.75,0.6818181818181818,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,2,0.6211381051898294,0.6211381051898293,0.625,0.625,0.625,0.6024483931503637,0.6024483931503636,"[[13, 4, 3, 0], [2, 16, 1, 1], [0, 1, 16, 3], [5, 8, 2, 5]]",0.65,0.65,0.65,0.6530612244897959,0.8,0.5517241379310345,0.761904761904762,0.8,0.7272727272727273,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),other,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,0,0.7264542522694697,0.7274798023590293,0.7273809523809525,0.7283950617283951,0.7283950617283951,0.7179729185543139,0.7191031764675175,"[[16, 1, 0, 3], [4, 17, 0, 0], [1, 1, 17, 1], [2, 2, 7, 9]]",0.7441860465116279,0.8,0.6956521739130435,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7727272727272727,0.85,0.7083333333333334,0.5454545454545455,0.45,0.6923076923076923,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,4,0.7053571428571428,0.7053571428571429,0.6875,0.6875,0.6875,0.6800356506238859,0.6800356506238858,"[[12, 6, 0, 2], [1, 16, 1, 2], [0, 1, 18, 1], [1, 5, 5, 9]]",0.7058823529411764,0.6,0.8571428571428571,0.6666666666666666,0.8,0.5714285714285714,0.8181818181818182,0.9,0.75,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
0,3,0.6790196078431372,0.6790196078431372,0.6625,0.6625,0.6625,0.6665275031128689,0.6665275031128689,"[[12, 0, 3, 5], [2, 14, 2, 2], [0, 1, 14, 5], [3, 2, 2, 13]]",0.6486486486486486,0.6,0.7058823529411765,0.7567567567567567,0.7,0.8235294117647058,0.6829268292682926,0.7,0.6666666666666666,0.5777777777777778,0.65,0.52,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={3: 4}, random_state=42)",semantic,"[""ExoPlayer"", ""MapDB"", ""elasticsearch"", ""hazelcast"", ""n4js"", ""pinpoint""]"
