,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.5852881638485353,0.5878089727418931,0.5910714285714286,0.5925925925925926,0.5925925925925926,0.5836478200608636,0.5857015506773963,"[[17, 0, 1, 2], [1, 15, 0, 5], [5, 1, 9, 5], [3, 3, 7, 7]]",0.7391304347826088,0.85,0.6538461538461539,0.7500000000000001,0.7142857142857143,0.7894736842105263,0.48648648648648646,0.45,0.5294117647058824,0.358974358974359,0.35,0.3684210526315789,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,3,0.6240079365079365,0.6231628453850677,0.6160714285714286,0.6172839506172839,0.6172839506172839,0.6001838235294118,0.6004901960784313,"[[18, 1, 0, 1], [3, 10, 4, 3], [5, 0, 15, 1], [2, 3, 8, 7]]",0.75,0.9,0.6428571428571429,0.588235294117647,0.5,0.7142857142857143,0.6250000000000001,0.7142857142857143,0.5555555555555556,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,2,0.7431159420289855,0.7450527822508498,0.7196428571428571,0.7160493827160493,0.7160493827160493,0.7050567779464326,0.7035208320617892,"[[18, 1, 1, 0], [4, 14, 1, 1], [1, 2, 17, 0], [4, 4, 4, 9]]",0.7659574468085106,0.9,0.6666666666666666,0.6829268292682926,0.7,0.6666666666666666,0.7906976744186046,0.85,0.7391304347826086,0.5806451612903225,0.42857142857142855,0.9,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,0,0.6235119047619048,0.6250734861845973,0.6517857142857143,0.654320987654321,0.654320987654321,0.6298434035476719,0.6319441022693055,"[[17, 1, 1, 1], [0, 18, 0, 3], [3, 1, 13, 3], [4, 4, 7, 5]]",0.7727272727272727,0.85,0.7083333333333334,0.7999999999999999,0.8571428571428571,0.75,0.6341463414634146,0.65,0.6190476190476191,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,2,0.7302910052910053,0.7305343262133386,0.6928571428571428,0.691358024691358,0.691358024691358,0.6802915947862757,0.6799009411302556,"[[19, 0, 1, 0], [4, 9, 4, 3], [3, 0, 16, 1], [2, 1, 6, 12]]",0.7916666666666667,0.95,0.6785714285714286,0.6,0.45,0.9,0.6808510638297872,0.8,0.5925925925925926,0.6486486486486486,0.5714285714285714,0.75,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,1,0.6093181818181819,0.6098204264870932,0.6172619047619048,0.6172839506172839,0.6172839506172839,0.6075095078681879,0.6078383576656599,"[[13, 2, 5, 1], [1, 16, 1, 2], [1, 1, 14, 4], [5, 3, 5, 7]]",0.6341463414634146,0.6190476190476191,0.65,0.761904761904762,0.8,0.7272727272727273,0.6222222222222222,0.7,0.56,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,4,0.6928977272727272,0.6928977272727272,0.7000000000000001,0.7,0.7,0.694047619047619,0.694047619047619,"[[14, 0, 2, 4], [3, 16, 0, 1], [0, 1, 17, 2], [5, 3, 3, 9]]",0.6666666666666666,0.7,0.6363636363636364,0.8000000000000002,0.8,0.8,0.8095238095238095,0.85,0.7727272727272727,0.5,0.45,0.5625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,4,0.6682433207201008,0.6682433207201008,0.6625000000000001,0.6625,0.6625,0.6590215420002654,0.6590215420002654,"[[12, 1, 4, 3], [2, 15, 1, 2], [0, 0, 17, 3], [5, 1, 5, 9]]",0.6153846153846154,0.6,0.631578947368421,0.8108108108108107,0.75,0.8823529411764706,0.723404255319149,0.85,0.6296296296296297,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,1,0.6709368530020704,0.6697083556986939,0.6654761904761906,0.6666666666666666,0.6666666666666666,0.6307803492188874,0.6310554217530961,"[[16, 2, 3, 0], [1, 18, 0, 1], [2, 1, 16, 1], [9, 3, 4, 4]]",0.6530612244897959,0.7619047619047619,0.5714285714285714,0.8181818181818182,0.9,0.75,0.7441860465116279,0.8,0.6956521739130435,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
0,4,0.7103840125391848,0.7103840125391849,0.7125,0.7125,0.7125,0.6942807768268597,0.6942807768268597,"[[14, 0, 3, 3], [2, 17, 1, 0], [0, 0, 19, 1], [4, 3, 6, 7]]",0.7,0.7,0.7,0.85,0.85,0.85,0.7755102040816326,0.95,0.6551724137931034,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""fresco"", ""junit5"", ""spring-framework""]"
