,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.6690789473684211,0.6673164392462638,0.6440476190476191,0.6419753086419753,0.6419753086419753,0.63875,0.6370370370370371,"[[15, 1, 2, 2], [2, 10, 4, 4], [0, 0, 17, 3], [3, 1, 7, 10]]",0.75,0.75,0.75,0.625,0.5,0.8333333333333334,0.68,0.85,0.5666666666666667,0.5,0.47619047619047616,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,3,0.7558823529411764,0.7551924473493101,0.7541666666666665,0.7530864197530864,0.7530864197530864,0.7519663510517169,0.7511140112766128,"[[15, 2, 1, 2], [1, 18, 1, 0], [1, 1, 14, 4], [3, 3, 1, 14]]",0.75,0.75,0.75,0.8181818181818182,0.9,0.75,0.7567567567567567,0.7,0.8235294117647058,0.6829268292682926,0.6666666666666666,0.7,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,0,0.7393127705627706,0.7423318551367333,0.7083333333333333,0.7073170731707317,0.7073170731707317,0.6966157532195267,0.697627447972593,"[[20, 0, 0, 0], [6, 11, 0, 4], [2, 0, 17, 2], [5, 1, 4, 10]]",0.7547169811320755,1.0,0.6060606060606061,0.6666666666666667,0.5238095238095238,0.9166666666666666,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.5555555555555556,0.5,0.625,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,2,0.7218181818181819,0.7218855218855219,0.7202380952380952,0.7160493827160493,0.7160493827160493,0.7027777777777778,0.7002743484224966,"[[16, 2, 1, 1], [1, 18, 1, 0], [0, 2, 16, 2], [3, 3, 7, 8]]",0.8000000000000002,0.8,0.8,0.7999999999999999,0.9,0.72,0.7111111111111111,0.8,0.64,0.5,0.38095238095238093,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,0,0.7148809523809524,0.7153310104529617,0.718452380952381,0.7195121951219512,0.7195121951219512,0.7097981247192151,0.7106762060186143,"[[18, 0, 2, 0], [2, 16, 1, 2], [1, 1, 16, 3], [3, 3, 5, 9]]",0.8181818181818182,0.9,0.75,0.7804878048780488,0.7619047619047619,0.8,0.7111111111111111,0.7619047619047619,0.6666666666666666,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,4,0.7204968944099379,0.7195383789586688,0.7142857142857143,0.7160493827160493,0.7160493827160493,0.698014554659073,0.6984673858058872,"[[16, 1, 2, 1], [1, 17, 1, 1], [0, 2, 18, 1], [3, 3, 7, 7]]",0.8000000000000002,0.8,0.8,0.7906976744186046,0.85,0.7391304347826086,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,2,0.7218181818181819,0.7218855218855219,0.7202380952380952,0.7160493827160493,0.7160493827160493,0.7027777777777778,0.7002743484224966,"[[16, 2, 1, 1], [1, 18, 1, 0], [0, 2, 16, 2], [3, 3, 7, 8]]",0.8000000000000002,0.8,0.8,0.7999999999999999,0.9,0.72,0.7111111111111111,0.8,0.64,0.5,0.38095238095238093,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,3,0.6405573593073592,0.6402918069584735,0.6422619047619048,0.6419753086419753,0.6419753086419753,0.6388888888888888,0.6386439349402312,"[[10, 3, 3, 4], [1, 17, 2, 0], [2, 2, 12, 4], [3, 0, 5, 13]]",0.5555555555555556,0.5,0.625,0.8095238095238095,0.85,0.7727272727272727,0.5714285714285713,0.6,0.5454545454545454,0.6190476190476191,0.6190476190476191,0.6190476190476191,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,3,0.7558823529411764,0.7551924473493101,0.7541666666666665,0.7530864197530864,0.7530864197530864,0.7519663510517169,0.7511140112766128,"[[15, 2, 1, 2], [1, 18, 1, 0], [1, 1, 14, 4], [3, 3, 1, 14]]",0.75,0.75,0.75,0.8181818181818182,0.9,0.75,0.7567567567567567,0.7,0.8235294117647058,0.6829268292682926,0.6666666666666666,0.7,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
0,3,0.715,0.7141975308641976,0.7172619047619048,0.7160493827160493,0.7160493827160493,0.7113143631436315,0.7103616715179498,"[[12, 2, 2, 4], [0, 19, 1, 0], [1, 2, 14, 3], [3, 2, 3, 13]]",0.6666666666666665,0.6,0.75,0.8444444444444444,0.95,0.76,0.7,0.7,0.7,0.6341463414634146,0.6190476190476191,0.65,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""grpc-java"", ""javacv"", ""spring-session""]"
