,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.6854967948717948,0.6854967948717949,0.6875,0.6875,0.6875,0.6703653381642513,0.6703653381642513,"[[17, 1, 1, 1], [4, 13, 0, 3], [1, 0, 18, 1], [4, 2, 7, 7]]",0.7391304347826088,0.85,0.6538461538461539,0.7222222222222223,0.65,0.8125,0.7826086956521738,0.9,0.6923076923076923,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,1,0.6871439963545227,0.6871439963545227,0.6875,0.6875,0.6875,0.6861560561817301,0.6861560561817301,"[[16, 0, 0, 4], [2, 15, 1, 2], [1, 0, 15, 4], [3, 3, 5, 9]]",0.761904761904762,0.8,0.7272727272727273,0.7894736842105262,0.75,0.8333333333333334,0.7317073170731706,0.75,0.7142857142857143,0.46153846153846156,0.45,0.47368421052631576,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,2,0.7095959595959596,0.7095959595959596,0.7124999999999999,0.7125,0.7125,0.706757423862687,0.706757423862687,"[[17, 0, 2, 1], [3, 16, 1, 0], [1, 0, 14, 5], [3, 6, 1, 10]]",0.7727272727272727,0.85,0.7083333333333334,0.761904761904762,0.8,0.7272727272727273,0.7368421052631577,0.7,0.7777777777777778,0.5555555555555556,0.5,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,0,0.7351440226440226,0.7351440226440227,0.725,0.725,0.725,0.7064720663861618,0.7064720663861618,"[[19, 0, 0, 1], [3, 14, 1, 2], [1, 0, 18, 1], [5, 1, 7, 7]]",0.7916666666666667,0.95,0.6785714285714286,0.8,0.7,0.9333333333333333,0.7826086956521738,0.9,0.6923076923076923,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,1,0.6525974025974025,0.6525974025974025,0.6749999999999999,0.675,0.675,0.6596638655462186,0.6596638655462185,"[[17, 0, 1, 2], [1, 16, 1, 2], [1, 0, 15, 4], [3, 6, 5, 6]]",0.8095238095238095,0.85,0.7727272727272727,0.761904761904762,0.8,0.7272727272727273,0.7142857142857143,0.75,0.6818181818181818,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,2,0.6703216374269005,0.6703216374269005,0.6749999999999999,0.675,0.675,0.6662981786162077,0.6662981786162077,"[[14, 0, 2, 4], [1, 18, 0, 1], [1, 2, 14, 3], [3, 7, 2, 8]]",0.717948717948718,0.7,0.7368421052631579,0.7659574468085106,0.9,0.6666666666666666,0.7368421052631577,0.7,0.7777777777777778,0.4444444444444445,0.4,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,1,0.6036184210526316,0.6036184210526316,0.5875,0.5875,0.5875,0.5920674853601682,0.5920674853601682,"[[12, 0, 1, 7], [2, 15, 2, 1], [1, 0, 13, 6], [1, 4, 8, 7]]",0.6666666666666665,0.6,0.75,0.7692307692307692,0.75,0.7894736842105263,0.5909090909090908,0.65,0.5416666666666666,0.3414634146341463,0.35,0.3333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,2,0.6442966685106645,0.6442966685106645,0.6625,0.6625,0.6625,0.6397631687810259,0.6397631687810259,"[[15, 0, 2, 3], [1, 19, 0, 0], [1, 1, 14, 4], [5, 9, 1, 5]]",0.7142857142857143,0.75,0.6818181818181818,0.7755102040816326,0.95,0.6551724137931034,0.7567567567567567,0.7,0.8235294117647058,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,2,0.6429291474654377,0.6429291474654378,0.65,0.65,0.65,0.6302730950103619,0.6302730950103619,"[[13, 0, 3, 4], [0, 16, 3, 1], [0, 0, 18, 2], [3, 5, 7, 5]]",0.7222222222222223,0.65,0.8125,0.7804878048780488,0.8,0.7619047619047619,0.7058823529411764,0.9,0.5806451612903226,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,1,0.6716044372294372,0.6716044372294372,0.6875,0.6875,0.6875,0.6776519550909794,0.6776519550909794,"[[16, 0, 0, 4], [1, 17, 1, 1], [1, 0, 15, 4], [3, 5, 5, 7]]",0.7804878048780488,0.8,0.7619047619047619,0.8095238095238095,0.85,0.7727272727272727,0.7317073170731706,0.75,0.7142857142857143,0.38888888888888884,0.35,0.4375,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
