,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6978571428571428,0.697857142857143,0.65,0.65,0.65,0.6530753968253968,0.6530753968253968,"[[16, 1, 3, 0], [4, 13, 2, 1], [5, 1, 13, 1], [3, 0, 7, 10]]",0.6666666666666666,0.8,0.5714285714285714,0.7428571428571429,0.65,0.8666666666666667,0.5777777777777778,0.65,0.52,0.625,0.5,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,4,0.6391618185735832,0.6391618185735833,0.6375000000000001,0.6375,0.6375,0.604532358445402,0.6045323584454019,"[[13, 5, 2, 0], [1, 17, 1, 1], [0, 1, 17, 2], [3, 7, 6, 4]]",0.7027027027027027,0.65,0.7647058823529411,0.68,0.85,0.5666666666666667,0.7391304347826088,0.85,0.6538461538461539,0.29629629629629634,0.2,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,2,0.6761525511525511,0.6761525511525511,0.6749999999999999,0.675,0.675,0.6648451399291265,0.6648451399291264,"[[17, 1, 1, 1], [3, 14, 0, 3], [3, 1, 15, 1], [4, 2, 6, 8]]",0.723404255319149,0.85,0.6296296296296297,0.7368421052631577,0.7,0.7777777777777778,0.7142857142857143,0.75,0.6818181818181818,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,1,0.6609971835944377,0.6585347302357218,0.6839285714285714,0.6790123456790124,0.6790123456790124,0.6630000137256428,0.6591721268459507,"[[17, 1, 1, 1], [1, 17, 0, 2], [1, 0, 15, 4], [7, 5, 3, 6]]",0.7391304347826088,0.85,0.6538461538461539,0.7906976744186046,0.85,0.7391304347826086,0.7692307692307692,0.75,0.7894736842105263,0.35294117647058826,0.2857142857142857,0.46153846153846156,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,0,0.6330549932523617,0.6337865080555138,0.6142857142857143,0.6172839506172839,0.6172839506172839,0.6109605155482816,0.612874057909519,"[[18, 0, 0, 3], [5, 9, 2, 4], [1, 1, 12, 6], [2, 2, 5, 11]]",0.7659574468085107,0.8571428571428571,0.6923076923076923,0.5625000000000001,0.45,0.75,0.6153846153846154,0.6,0.631578947368421,0.5,0.55,0.4583333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,1,0.6299019607843137,0.6286613410796417,0.619642857142857,0.6172839506172839,0.6172839506172839,0.6196462969639283,0.6178442958967972,"[[13, 1, 2, 4], [2, 14, 2, 2], [4, 0, 14, 2], [7, 2, 3, 9]]",0.5652173913043479,0.65,0.5,0.7567567567567567,0.7,0.8235294117647058,0.6829268292682926,0.7,0.6666666666666666,0.4736842105263158,0.42857142857142855,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,2,0.6401894888736994,0.6401894888736994,0.6375,0.6375,0.6375,0.6378575425430367,0.6378575425430368,"[[14, 1, 2, 3], [1, 15, 1, 3], [4, 1, 11, 4], [3, 2, 4, 11]]",0.6666666666666666,0.7,0.6363636363636364,0.7692307692307692,0.75,0.7894736842105263,0.5789473684210527,0.55,0.6111111111111112,0.5365853658536585,0.55,0.5238095238095238,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,3,0.5876026272577995,0.5876026272577997,0.6249999999999999,0.625,0.625,0.5812512883941455,0.5812512883941455,"[[12, 4, 2, 2], [1, 19, 0, 0], [1, 1, 16, 2], [6, 5, 6, 3]]",0.6,0.6,0.6,0.7755102040816326,0.95,0.6551724137931034,0.7272727272727272,0.8,0.6666666666666666,0.2222222222222222,0.15,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,4,0.6651564809459547,0.6651564809459547,0.65,0.65,0.65,0.6466118209761178,0.6466118209761178,"[[10, 3, 4, 3], [1, 17, 1, 1], [0, 0, 15, 5], [2, 1, 7, 10]]",0.6060606060606061,0.5,0.7692307692307693,0.8292682926829269,0.85,0.8095238095238095,0.6382978723404256,0.75,0.5555555555555556,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
0,3,0.7198863636363636,0.7198863636363636,0.7125,0.7125,0.7125,0.6909252038284297,0.6909252038284297,"[[12, 1, 4, 3], [0, 18, 1, 1], [0, 0, 20, 0], [3, 3, 7, 7]]",0.6857142857142857,0.6,0.8,0.8571428571428572,0.9,0.8181818181818182,0.7692307692307693,1.0,0.625,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""checkstyle"", ""hazelcast"", ""jadx"", ""mybatis-3"", ""redisson"", ""spring-security""]"
