,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.722041847041847,0.7215372531828227,0.7230263157894736,0.7215189873417721,0.7215189873417721,0.7206766917293234,0.7196725992195678,"[[13, 2, 3, 2], [1, 16, 1, 1], [2, 1, 15, 2], [2, 2, 3, 13]]",0.6842105263157895,0.65,0.7222222222222222,0.8,0.8421052631578947,0.7619047619047619,0.7142857142857143,0.75,0.6818181818181818,0.6842105263157895,0.65,0.7222222222222222,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,0,0.7140231092436975,0.7140231092436975,0.6875,0.6875,0.6875,0.6786492374727668,0.6786492374727668,"[[20, 0, 0, 0], [3, 15, 0, 2], [6, 0, 11, 3], [5, 1, 5, 9]]",0.7407407407407407,1.0,0.5882352941176471,0.8333333333333334,0.75,0.9375,0.6111111111111112,0.55,0.6875,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,0,0.6305392976588629,0.6305392976588629,0.6375000000000001,0.6375,0.6375,0.62680584918957,0.62680584918957,"[[15, 2, 2, 1], [2, 15, 0, 3], [2, 2, 14, 2], [1, 5, 7, 7]]",0.75,0.75,0.75,0.6818181818181818,0.75,0.625,0.6511627906976744,0.7,0.6086956521739131,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,4,0.6748951048951048,0.6746746923962114,0.655921052631579,0.6582278481012658,0.6582278481012658,0.6385461469534051,0.6395087564085115,"[[17, 2, 1, 0], [5, 9, 3, 2], [1, 0, 18, 1], [2, 2, 8, 8]]",0.7555555555555556,0.85,0.68,0.5625,0.47368421052631576,0.6923076923076923,0.7200000000000001,0.9,0.6,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,0,0.668734335839599,0.6687343358395991,0.6749999999999999,0.675,0.675,0.6636236000128366,0.6636236000128366,"[[18, 0, 1, 1], [3, 14, 0, 3], [3, 1, 14, 2], [3, 5, 4, 8]]",0.7659574468085106,0.9,0.6666666666666666,0.7,0.7,0.7,0.717948717948718,0.7,0.7368421052631579,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,3,0.6747835497835498,0.675845251794619,0.6710526315789473,0.6708860759493671,0.6708860759493671,0.666803306688529,0.6672166859951761,"[[13, 0, 4, 2], [0, 16, 2, 2], [2, 4, 14, 0], [7, 2, 1, 10]]",0.6341463414634148,0.6842105263157895,0.5909090909090909,0.761904761904762,0.8,0.7272727272727273,0.6829268292682926,0.7,0.6666666666666666,0.588235294117647,0.5,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,3,0.6528003246753247,0.6538303468683215,0.6578947368421053,0.6582278481012658,0.6582278481012658,0.6529761904761905,0.6536467751657625,"[[12, 5, 2, 0], [0, 16, 1, 3], [1, 0, 15, 4], [8, 1, 2, 9]]",0.6,0.631578947368421,0.5714285714285714,0.761904761904762,0.8,0.7272727272727273,0.75,0.75,0.75,0.5,0.45,0.5625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,4,0.6974363951266125,0.6975013154154596,0.6993421052631579,0.6962025316455697,0.6962025316455697,0.6858831129350964,0.6844385953773129,"[[11, 5, 2, 2], [0, 18, 0, 1], [2, 1, 16, 1], [3, 2, 5, 10]]",0.6111111111111112,0.55,0.6875,0.7999999999999999,0.9473684210526315,0.6923076923076923,0.7441860465116279,0.8,0.6956521739130435,0.588235294117647,0.5,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,3,0.7032142857142857,0.7038878842676312,0.7085526315789474,0.7088607594936709,0.7088607594936709,0.6990196078431373,0.6994291387441053,"[[13, 3, 3, 0], [0, 18, 0, 2], [0, 1, 16, 3], [7, 3, 1, 9]]",0.6666666666666667,0.6842105263157895,0.65,0.7999999999999999,0.9,0.72,0.8000000000000002,0.8,0.8,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
0,2,0.6520586297760211,0.6520586297760211,0.65,0.65,0.65,0.6464424141749724,0.6464424141749723,"[[11, 2, 2, 5], [0, 17, 2, 1], [0, 0, 15, 5], [4, 3, 4, 9]]",0.6285714285714286,0.55,0.7333333333333333,0.8095238095238095,0.85,0.7727272727272727,0.6976744186046512,0.75,0.6521739130434783,0.45,0.45,0.45,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""ExoPlayer"", ""elasticsearch"", ""joda-time"", ""kapua"", ""n4js"", ""redisson""]"
