,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.668402249923989,0.6684022499239891,0.6125,0.6125,0.6125,0.6101654322340491,0.6101654322340491,"[[17, 0, 1, 2], [6, 9, 1, 4], [1, 0, 13, 6], [2, 0, 8, 10]]",0.7391304347826088,0.85,0.6538461538461539,0.6206896551724138,0.45,1.0,0.6046511627906976,0.65,0.5652173913043478,0.47619047619047616,0.5,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,0,0.6730275443510737,0.6729490149969453,0.6392857142857143,0.6419753086419753,0.6419753086419753,0.6241359894377135,0.6256898661113219,"[[18, 0, 0, 3], [6, 8, 3, 3], [1, 0, 17, 2], [2, 1, 8, 9]]",0.75,0.8571428571428571,0.6666666666666666,0.5517241379310346,0.4,0.8888888888888888,0.7083333333333333,0.85,0.6071428571428571,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,0,0.6781688520818956,0.6789214642140031,0.6648809523809525,0.6666666666666666,0.6666666666666666,0.6378053585500393,0.6394710611942027,"[[17, 3, 1, 0], [2, 16, 1, 1], [1, 2, 16, 1], [3, 6, 6, 5]]",0.7727272727272727,0.8095238095238095,0.7391304347826086,0.6808510638297872,0.8,0.5925925925925926,0.7272727272727272,0.8,0.6666666666666666,0.37037037037037035,0.25,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,0,0.7501271876271877,0.7492437831944007,0.7136904761904762,0.7160493827160493,0.7160493827160493,0.7080619481835287,0.7088946427007893,"[[19, 0, 1, 1], [5, 12, 2, 1], [2, 0, 17, 1], [2, 1, 7, 10]]",0.7755102040816326,0.9047619047619048,0.6785714285714286,0.7272727272727274,0.6,0.9230769230769231,0.723404255319149,0.85,0.6296296296296297,0.6060606060606061,0.5,0.7692307692307693,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,4,0.775523088023088,0.775523088023088,0.7499999999999999,0.75,0.75,0.7333506047498899,0.7333506047498899,"[[17, 3, 0, 0], [3, 16, 0, 1], [0, 1, 19, 0], [2, 1, 9, 8]]",0.8095238095238095,0.85,0.7727272727272727,0.7804878048780488,0.8,0.7619047619047619,0.7916666666666667,0.95,0.6785714285714286,0.5517241379310346,0.4,0.8888888888888888,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,0,0.7564757303887739,0.7577185344227749,0.7392857142857142,0.7407407407407407,0.7407407407407407,0.726144530053486,0.7277617933508856,"[[18, 2, 0, 1], [1, 17, 2, 0], [1, 1, 17, 1], [1, 3, 8, 8]]",0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7906976744186046,0.85,0.7391304347826086,0.723404255319149,0.85,0.6296296296296297,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,2,0.653545628777827,0.6535456287778268,0.6,0.6,0.6,0.616428192898781,0.6164281928987811,"[[13, 0, 1, 6], [0, 15, 0, 5], [0, 1, 10, 9], [6, 1, 3, 10]]",0.6666666666666667,0.65,0.6842105263157895,0.8108108108108107,0.75,0.8823529411764706,0.588235294117647,0.5,0.7142857142857143,0.4,0.5,0.3333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,4,0.7136437908496731,0.7136437908496733,0.6749999999999999,0.675,0.675,0.6600043620234182,0.6600043620234182,"[[14, 1, 3, 2], [3, 15, 2, 0], [0, 0, 19, 1], [1, 1, 12, 6]]",0.7368421052631577,0.7,0.7777777777777778,0.8108108108108107,0.75,0.8823529411764706,0.6785714285714285,0.95,0.5277777777777778,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,3,0.7233333333333333,0.7233333333333334,0.7124999999999999,0.7125,0.7125,0.6911111111111111,0.6911111111111111,"[[18, 2, 0, 0], [0, 19, 0, 1], [3, 0, 14, 3], [9, 4, 1, 6]]",0.7200000000000001,0.9,0.6,0.8444444444444444,0.95,0.76,0.8,0.7,0.9333333333333333,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
0,2,0.6406576266870384,0.6406576266870384,0.65,0.65,0.65,0.6442026085318768,0.6442026085318768,"[[13, 0, 2, 5], [2, 17, 0, 1], [0, 1, 15, 4], [6, 2, 5, 7]]",0.6341463414634146,0.65,0.6190476190476191,0.85,0.85,0.85,0.7142857142857143,0.75,0.6818181818181818,0.37837837837837834,0.35,0.4117647058823529,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""HikariCP"", ""MapDB"", ""checkstyle"", ""elasticsearch"", ""lemminx"", ""realm-java"", ""speedment"", ""spring-session""]"
