,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.7156527682843472,0.715914365037172,0.7166666666666667,0.7160493827160493,0.7160493827160493,0.7150696864111499,0.7148836408999011,"[[15, 1, 2, 2], [5, 14, 0, 2], [0, 2, 16, 2], [1, 2, 4, 13]]",0.7317073170731706,0.75,0.7142857142857143,0.7,0.6666666666666666,0.7368421052631579,0.761904761904762,0.8,0.7272727272727273,0.6666666666666667,0.65,0.6842105263157895,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,3,0.7152083494794492,0.7152083494794492,0.7125,0.7125,0.7125,0.7108043521752212,0.7108043521752212,"[[16, 2, 1, 1], [1, 16, 0, 3], [0, 1, 15, 4], [6, 3, 1, 10]]",0.7441860465116279,0.8,0.6956521739130435,0.761904761904762,0.8,0.7272727272727273,0.8108108108108107,0.75,0.8823529411764706,0.5263157894736842,0.5,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,3,0.6547096908939014,0.6547096908939014,0.6625000000000001,0.6625,0.6625,0.6374161040109316,0.6374161040109315,"[[15, 3, 1, 1], [1, 17, 1, 1], [0, 2, 16, 2], [3, 6, 6, 5]]",0.7692307692307692,0.75,0.7894736842105263,0.7083333333333333,0.85,0.6071428571428571,0.7272727272727272,0.8,0.6666666666666666,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,4,0.6430652680652681,0.643065268065268,0.6375000000000001,0.6375,0.6375,0.6022853957636565,0.6022853957636566,"[[18, 0, 2, 0], [2, 14, 3, 1], [2, 2, 15, 1], [4, 6, 6, 4]]",0.7826086956521738,0.9,0.6923076923076923,0.6666666666666666,0.7,0.6363636363636364,0.6521739130434783,0.75,0.5769230769230769,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,2,0.8158008658008657,0.8158008658008657,0.7625000000000001,0.7625,0.7625,0.7415227771325332,0.7415227771325332,"[[17, 1, 2, 0], [2, 18, 0, 0], [0, 1, 19, 0], [3, 1, 9, 7]]",0.8095238095238095,0.85,0.7727272727272727,0.8780487804878048,0.9,0.8571428571428571,0.7599999999999999,0.95,0.6333333333333333,0.5185185185185185,0.35,1.0,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,0,0.6735761505212305,0.6749222313253163,0.6767857142857143,0.6790123456790124,0.6790123456790124,0.653060043404871,0.655098583834216,"[[15, 2, 3, 0], [1, 18, 0, 2], [0, 1, 17, 2], [3, 2, 10, 5]]",0.7692307692307692,0.75,0.7894736842105263,0.8181818181818182,0.8571428571428571,0.782608695652174,0.68,0.85,0.5666666666666667,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,3,0.7393768512189565,0.7393768512189565,0.7375,0.7375,0.7375,0.7373417126305444,0.7373417126305444,"[[15, 0, 4, 1], [1, 17, 0, 2], [2, 0, 15, 3], [3, 2, 3, 12]]",0.7317073170731706,0.75,0.7142857142857143,0.8717948717948718,0.85,0.8947368421052632,0.7142857142857143,0.75,0.6818181818181818,0.631578947368421,0.6,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,2,0.8373188405797102,0.8373188405797102,0.7875,0.7875,0.7875,0.763931955211025,0.763931955211025,"[[18, 0, 2, 0], [2, 18, 0, 0], [0, 0, 20, 0], [3, 2, 8, 7]]",0.8372093023255814,0.9,0.782608695652174,0.9,0.9,0.9,0.8,1.0,0.6666666666666666,0.5185185185185185,0.35,1.0,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,2,0.7422507591093117,0.7422507591093117,0.7125,0.7125,0.7125,0.7098873348873348,0.7098873348873349,"[[14, 1, 3, 2], [0, 18, 2, 0], [0, 0, 17, 3], [2, 0, 10, 8]]",0.7777777777777777,0.7,0.875,0.9230769230769231,0.9,0.9473684210526315,0.6538461538461537,0.85,0.53125,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
0,2,0.8444548872180451,0.8444548872180452,0.825,0.825,0.825,0.8170438555347092,0.817043855534709,"[[16, 1, 2, 1], [1, 19, 0, 0], [0, 0, 20, 0], [2, 1, 6, 11]]",0.8205128205128205,0.8,0.8421052631578947,0.9268292682926829,0.95,0.9047619047619048,0.8333333333333333,1.0,0.7142857142857143,0.6874999999999999,0.55,0.9166666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""Time4J"", ""elasticsearch"", ""hazelcast"", ""joda-time"", ""mapsforge"", ""okhttp"", ""reactor-core""]"
