,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.7170284780578898,0.7170284780578898,0.7124999999999999,0.7125,0.7125,0.7064515173067805,0.7064515173067805,"[[14, 3, 2, 1], [2, 13, 1, 4], [0, 0, 19, 1], [2, 1, 6, 11]]",0.7368421052631577,0.7,0.7777777777777778,0.7027027027027027,0.65,0.7647058823529411,0.7916666666666667,0.95,0.6785714285714286,0.5945945945945946,0.55,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,2,0.6916396103896103,0.6924831497616307,0.694078947368421,0.6962025316455697,0.6962025316455697,0.6912601626016259,0.6927770181860949,"[[16, 3, 0, 1], [2, 15, 2, 1], [1, 1, 14, 4], [3, 2, 4, 10]]",0.761904761904762,0.8,0.7272727272727273,0.7317073170731706,0.75,0.7142857142857143,0.7,0.7,0.7,0.5714285714285714,0.5263157894736842,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,0,0.6736615245009074,0.6736615245009074,0.6875,0.6875,0.6875,0.6674352433281004,0.6674352433281004,"[[15, 1, 2, 2], [0, 15, 1, 4], [0, 1, 19, 0], [4, 3, 7, 6]]",0.7692307692307692,0.75,0.7894736842105263,0.75,0.75,0.75,0.7755102040816326,0.95,0.6551724137931034,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,1,0.684981684981685,0.6846107479018871,0.6973684210526316,0.6962025316455697,0.6962025316455697,0.665619706380576,0.6645516013980516,"[[18, 0, 2, 0], [2, 17, 0, 1], [2, 0, 15, 2], [4, 7, 4, 5]]",0.7826086956521738,0.9,0.6923076923076923,0.7727272727272727,0.85,0.7083333333333334,0.7500000000000001,0.7894736842105263,0.7142857142857143,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,2,0.7088176964149503,0.7093512537535364,0.7052631578947368,0.7088607594936709,0.7088607594936709,0.6967921467546373,0.6990790216216826,"[[17, 3, 0, 0], [2, 16, 1, 1], [1, 1, 15, 3], [3, 5, 3, 8]]",0.7906976744186046,0.85,0.7391304347826086,0.7111111111111111,0.8,0.64,0.7692307692307692,0.75,0.7894736842105263,0.5161290322580646,0.42105263157894735,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,1,0.6526268115942029,0.65263254448725,0.6848684210526317,0.6835443037974683,0.6835443037974683,0.6477272727272727,0.6468847608088114,"[[18, 0, 2, 0], [2, 17, 0, 1], [1, 0, 15, 3], [3, 7, 6, 4]]",0.8181818181818182,0.9,0.75,0.7727272727272727,0.85,0.7083333333333334,0.7142857142857143,0.7894736842105263,0.6521739130434783,0.28571428571428575,0.2,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,4,0.6728625541125541,0.6703038522658776,0.6592105263157895,0.6582278481012658,0.6582278481012658,0.6641695702671313,0.6624501977388672,"[[16, 1, 1, 2], [0, 14, 1, 4], [2, 0, 12, 6], [3, 1, 6, 10]]",0.7804878048780488,0.8,0.7619047619047619,0.7999999999999999,0.7368421052631579,0.875,0.6,0.6,0.6,0.47619047619047616,0.5,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,3,0.7092857142857143,0.7094032549728752,0.6842105263157895,0.6835443037974683,0.6835443037974683,0.6892911010558069,0.6889283464115928,"[[14, 0, 0, 5], [1, 16, 1, 2], [0, 2, 12, 6], [5, 2, 1, 12]]",0.717948717948718,0.7368421052631579,0.7,0.8000000000000002,0.8,0.8,0.7058823529411764,0.6,0.8571428571428571,0.5333333333333332,0.6,0.48,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,4,0.7087719298245614,0.7076171441261381,0.7105263157894737,0.7088607594936709,0.7088607594936709,0.7091932457786116,0.7077841372376722,"[[14, 1, 3, 2], [2, 16, 0, 1], [2, 0, 14, 4], [3, 3, 2, 12]]",0.6829268292682926,0.7,0.6666666666666666,0.8205128205128205,0.8421052631578947,0.8,0.717948717948718,0.7,0.7368421052631579,0.6153846153846154,0.6,0.631578947368421,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
0,0,0.7207671957671958,0.7207671957671957,0.725,0.725,0.725,0.711599961079398,0.711599961079398,"[[17, 1, 1, 1], [0, 18, 1, 1], [0, 1, 16, 3], [3, 1, 9, 7]]",0.85,0.85,0.85,0.8780487804878048,0.9,0.8571428571428571,0.6808510638297872,0.8,0.5925925925925926,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""HikariCP"", ""deeplearning4j"", ""elasticsearch"", ""grpc-java"", ""hazelcast"", ""jadx"", ""pinpoint"", ""spring-session""]"
