,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.6419154858299594,0.6420627780276904,0.6398809523809523,0.6419753086419753,0.6419753086419753,0.6368339698126932,0.637902738769563,"[[17, 3, 1, 0], [3, 11, 1, 5], [1, 1, 14, 4], [5, 1, 4, 10]]",0.7234042553191489,0.8095238095238095,0.6538461538461539,0.6111111111111112,0.55,0.6875,0.7,0.7,0.7,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,2,0.6333333333333333,0.6333333333333333,0.6125,0.6125,0.6125,0.60100935828877,0.60100935828877,"[[16, 1, 1, 2], [6, 10, 3, 1], [0, 0, 16, 4], [2, 1, 10, 7]]",0.7272727272727272,0.8,0.6666666666666666,0.625,0.5,0.8333333333333334,0.64,0.8,0.5333333333333333,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,2,0.6858164983164983,0.6858164983164984,0.6875,0.6875,0.6875,0.6717304801124293,0.6717304801124293,"[[16, 1, 2, 1], [3, 15, 0, 2], [0, 2, 17, 1], [3, 2, 8, 7]]",0.761904761904762,0.8,0.7272727272727273,0.75,0.75,0.75,0.723404255319149,0.85,0.6296296296296297,0.45161290322580644,0.35,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,4,0.7483357222487657,0.7483357222487658,0.725,0.725,0.725,0.7152145255565228,0.7152145255565229,"[[17, 2, 0, 1], [1, 19, 0, 0], [3, 1, 13, 3], [2, 8, 1, 9]]",0.7906976744186046,0.85,0.7391304347826086,0.7599999999999999,0.95,0.6333333333333333,0.7647058823529412,0.65,0.9285714285714286,0.5454545454545455,0.45,0.6923076923076923,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,0,0.7277324879227053,0.7280073954792151,0.7267857142857141,0.7283950617283951,0.7283950617283951,0.7230348157214742,0.7239850031817029,"[[18, 2, 1, 0], [2, 14, 1, 3], [1, 1, 16, 2], [3, 1, 5, 11]]",0.7999999999999999,0.8571428571428571,0.75,0.7368421052631577,0.7,0.7777777777777778,0.7441860465116279,0.8,0.6956521739130435,0.6111111111111112,0.55,0.6875,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,0,0.7193256090314915,0.7199848888302047,0.7148809523809524,0.7160493827160493,0.7160493827160493,0.7137742504939566,0.7147239223942611,"[[17, 0, 2, 2], [1, 15, 0, 4], [1, 1, 16, 2], [3, 1, 6, 10]]",0.7906976744186046,0.8095238095238095,0.7727272727272727,0.8108108108108107,0.75,0.8823529411764706,0.7272727272727272,0.8,0.6666666666666666,0.5263157894736842,0.5,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,2,0.7258836645025903,0.7258836645025903,0.725,0.725,0.725,0.7130786042216027,0.7130786042216026,"[[17, 1, 1, 1], [3, 15, 0, 2], [0, 0, 18, 2], [3, 1, 8, 8]]",0.7906976744186046,0.85,0.7391304347826086,0.8108108108108107,0.75,0.8823529411764706,0.7659574468085106,0.9,0.6666666666666666,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,3,0.6180555555555556,0.6180555555555556,0.625,0.625,0.625,0.6191878297141454,0.6191878297141455,"[[13, 1, 1, 5], [0, 18, 1, 1], [2, 2, 11, 5], [3, 3, 6, 8]]",0.6842105263157895,0.65,0.7222222222222222,0.8181818181818182,0.9,0.75,0.5641025641025641,0.55,0.5789473684210527,0.41025641025641024,0.4,0.42105263157894735,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,4,0.6497291021671826,0.6497291021671827,0.65,0.65,0.65,0.646887796887797,0.6468877968877969,"[[13, 3, 1, 3], [0, 18, 0, 2], [0, 0, 13, 7], [4, 3, 5, 8]]",0.7027027027027027,0.65,0.7647058823529411,0.8181818181818182,0.9,0.75,0.6666666666666667,0.65,0.6842105263157895,0.4000000000000001,0.4,0.4,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
0,3,0.6990117521367522,0.6990117521367522,0.7000000000000001,0.7,0.7,0.6935100432240021,0.693510043224002,"[[11, 3, 0, 6], [0, 19, 1, 0], [1, 3, 14, 2], [4, 1, 3, 12]]",0.6111111111111112,0.55,0.6875,0.8260869565217392,0.95,0.7307692307692307,0.7368421052631577,0.7,0.7777777777777778,0.6,0.6,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""MapDB"", ""Time4J"", ""async-http-client"", ""elasticsearch"", ""hono"", ""karate"", ""spring-session""]"
