,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6643892339544513,0.6643892339544514,0.6749999999999999,0.675,0.675,0.6672795739585303,0.6672795739585302,"[[16, 1, 0, 3], [1, 16, 0, 3], [4, 0, 14, 2], [2, 4, 6, 8]]",0.7441860465116279,0.8,0.6956521739130435,0.7804878048780488,0.8,0.7619047619047619,0.7,0.7,0.7,0.4444444444444445,0.4,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,0,0.7916213768115942,0.7925478618715334,0.7672619047619048,0.7654320987654321,0.7654320987654321,0.7664247622189235,0.7658790518485938,"[[16, 0, 3, 1], [3, 15, 1, 1], [2, 0, 18, 0], [2, 1, 5, 13]]",0.7441860465116279,0.8,0.6956521739130435,0.8333333333333334,0.75,0.9375,0.7659574468085106,0.9,0.6666666666666666,0.7222222222222222,0.6190476190476191,0.8666666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,0,0.7829365079365079,0.7839702135998433,0.7672619047619048,0.7654320987654321,0.7654320987654321,0.7641081871345029,0.7635910764565734,"[[18, 0, 2, 0], [2, 18, 0, 0], [4, 1, 13, 2], [4, 1, 3, 13]]",0.75,0.9,0.6428571428571429,0.9,0.9,0.9,0.6842105263157895,0.65,0.7222222222222222,0.7222222222222222,0.6190476190476191,0.8666666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,3,0.5563461538461538,0.5563461538461538,0.6375,0.6375,0.6375,0.5725241545893721,0.572524154589372,"[[17, 1, 1, 1], [0, 17, 2, 1], [1, 2, 16, 1], [7, 5, 7, 1]]",0.7555555555555556,0.85,0.68,0.7555555555555556,0.85,0.68,0.6956521739130435,0.8,0.6153846153846154,0.08333333333333334,0.05,0.25,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,1,0.6429770531400967,0.6441641319258066,0.6773809523809524,0.6790123456790124,0.6790123456790124,0.6442180424939047,0.6458045762004894,"[[17, 0, 1, 2], [2, 17, 0, 1], [0, 2, 17, 2], [6, 5, 5, 4]]",0.7555555555555556,0.85,0.68,0.7727272727272727,0.85,0.7083333333333334,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.2758620689655173,0.2,0.4444444444444444,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,3,0.609078884078884,0.6090788840788841,0.6375000000000001,0.6375,0.6375,0.6105728124150542,0.6105728124150542,"[[15, 1, 1, 3], [2, 16, 2, 0], [0, 1, 16, 3], [5, 3, 8, 4]]",0.7142857142857143,0.75,0.6818181818181818,0.7804878048780488,0.8,0.7619047619047619,0.6808510638297872,0.8,0.5925925925925926,0.26666666666666666,0.2,0.4,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,4,0.6643892339544513,0.6643892339544514,0.6749999999999999,0.675,0.675,0.6672795739585303,0.6672795739585302,"[[16, 1, 0, 3], [1, 16, 0, 3], [4, 0, 14, 2], [2, 4, 6, 8]]",0.7441860465116279,0.8,0.6956521739130435,0.7804878048780488,0.8,0.7619047619047619,0.7,0.7,0.7,0.4444444444444445,0.4,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,1,0.7004989495798319,0.6993464052287582,0.6898809523809524,0.691358024691358,0.691358024691358,0.6886720904578048,0.688736355403022,"[[15, 1, 2, 2], [2, 15, 1, 2], [1, 0, 17, 3], [2, 1, 8, 9]]",0.75,0.75,0.75,0.8108108108108107,0.75,0.8823529411764706,0.6938775510204083,0.8095238095238095,0.6071428571428571,0.5,0.45,0.5625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,0,0.7393735697940503,0.7392989989735477,0.743452380952381,0.7407407407407407,0.7407407407407407,0.7342205598019551,0.732700690065031,"[[16, 1, 2, 1], [0, 19, 0, 1], [3, 1, 14, 2], [4, 3, 3, 11]]",0.7441860465116279,0.8,0.6956521739130435,0.8636363636363635,0.95,0.7916666666666666,0.717948717948718,0.7,0.7368421052631579,0.611111111111111,0.5238095238095238,0.7333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
0,0,0.7383603238866397,0.7395328301761049,0.7315476190476191,0.7283950617283951,0.7283950617283951,0.717391304347826,0.7160168512825518,"[[16, 1, 3, 0], [0, 20, 0, 0], [3, 2, 13, 2], [5, 3, 3, 10]]",0.7272727272727272,0.8,0.6666666666666666,0.8695652173913044,1.0,0.7692307692307693,0.6666666666666667,0.65,0.6842105263157895,0.6060606060606061,0.47619047619047616,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""MapDB"", ""async-http-client"", ""elasticsearch"", ""junit5"", ""pinpoint"", ""pmd"", ""spring-framework"", ""vorto""]"
