,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.6089896945160103,0.6090686441563635,0.6154761904761904,0.6172839506172839,0.6172839506172839,0.6064872757613683,0.6074053472190032,"[[16, 3, 2, 0], [4, 13, 1, 2], [0, 1, 14, 5], [6, 2, 5, 7]]",0.6808510638297872,0.7619047619047619,0.6153846153846154,0.6666666666666667,0.65,0.6842105263157895,0.6666666666666666,0.7,0.6363636363636364,0.4117647058823529,0.35,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,0,0.6201079622132254,0.6206827610336383,0.6279761904761905,0.6296296296296297,0.6296296296296297,0.6140584355258268,0.615256616705892,"[[16, 3, 1, 1], [3, 15, 0, 2], [0, 3, 14, 3], [5, 5, 4, 6]]",0.7111111111111111,0.7619047619047619,0.6666666666666666,0.6521739130434783,0.75,0.5769230769230769,0.717948717948718,0.7,0.7368421052631579,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,0,0.5817460317460317,0.5816186556927297,0.5630952380952381,0.5679012345679012,0.5679012345679012,0.5452380952380952,0.5473251028806584,"[[20, 0, 1, 0], [7, 7, 1, 5], [2, 0, 12, 6], [6, 3, 4, 7]]",0.7142857142857142,0.9523809523809523,0.5714285714285714,0.4666666666666667,0.35,0.7,0.631578947368421,0.6,0.6666666666666666,0.36842105263157887,0.35,0.3888888888888889,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.6987545590318507,0.6987545590318508,0.7000000000000001,0.7,0.7,0.6971767788557351,0.697176778855735,"[[16, 1, 1, 2], [2, 16, 1, 1], [2, 2, 12, 4], [3, 2, 3, 12]]",0.7441860465116279,0.8,0.6956521739130435,0.7804878048780488,0.8,0.7619047619047619,0.6486486486486486,0.6,0.7058823529411765,0.6153846153846154,0.6,0.631578947368421,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.7297493734335839,0.7297493734335839,0.7375,0.7375,0.7375,0.7281961940498525,0.7281961940498525,"[[15, 1, 1, 3], [1, 18, 0, 1], [0, 1, 17, 2], [3, 5, 3, 9]]",0.7692307692307692,0.75,0.7894736842105263,0.7999999999999999,0.9,0.72,0.8292682926829269,0.85,0.8095238095238095,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,3,0.6235119047619048,0.6235119047619048,0.625,0.625,0.625,0.6195755464048147,0.6195755464048147,"[[10, 4, 3, 3], [1, 17, 0, 2], [0, 2, 13, 5], [4, 1, 5, 10]]",0.5714285714285715,0.5,0.6666666666666666,0.7727272727272727,0.85,0.7083333333333334,0.6341463414634146,0.65,0.6190476190476191,0.5,0.5,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.7505472788081484,0.7505472788081484,0.75,0.75,0.75,0.733986757558955,0.733986757558955,"[[16, 1, 1, 2], [2, 18, 0, 0], [0, 1, 18, 1], [2, 6, 4, 8]]",0.8000000000000002,0.8,0.8,0.7826086956521738,0.9,0.6923076923076923,0.8372093023255814,0.9,0.782608695652174,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,3,0.6439705882352941,0.6439705882352941,0.65,0.65,0.65,0.6430832147937411,0.6430832147937411,"[[12, 3, 2, 3], [0, 18, 0, 2], [1, 2, 13, 4], [4, 2, 5, 9]]",0.6486486486486486,0.6,0.7058823529411765,0.7999999999999999,0.9,0.72,0.65,0.65,0.65,0.4736842105263158,0.45,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,3,0.6841991341991343,0.6841991341991343,0.6625,0.6625,0.6625,0.6542440680773531,0.6542440680773531,"[[12, 0, 6, 2], [2, 17, 1, 0], [1, 2, 16, 1], [3, 2, 7, 8]]",0.631578947368421,0.6,0.6666666666666666,0.8292682926829269,0.85,0.8095238095238095,0.64,0.8,0.5333333333333333,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.8000172532781228,0.8000172532781228,0.775,0.775,0.775,0.7576500267308207,0.7576500267308207,"[[17, 1, 2, 0], [1, 18, 0, 1], [0, 1, 19, 0], [2, 3, 7, 8]]",0.85,0.85,0.85,0.8372093023255814,0.9,0.782608695652174,0.7916666666666667,0.95,0.6785714285714286,0.5517241379310346,0.4,0.8888888888888888,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,1,0.5761281291172595,0.5757494428992014,0.5839285714285714,0.5802469135802469,0.5802469135802469,0.5670586680761099,0.5646875734085036,"[[13, 2, 4, 1], [4, 13, 2, 1], [1, 1, 15, 3], [6, 7, 2, 6]]",0.5909090909090908,0.65,0.5416666666666666,0.6046511627906976,0.65,0.5652173913043478,0.6976744186046512,0.75,0.6521739130434783,0.37499999999999994,0.2857142857142857,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.681671826625387,0.6816718266253871,0.675,0.675,0.675,0.6746592746592747,0.6746592746592747,"[[14, 1, 2, 3], [1, 14, 1, 4], [1, 1, 16, 2], [1, 3, 6, 10]]",0.7567567567567567,0.7,0.8235294117647058,0.717948717948718,0.7,0.7368421052631579,0.7111111111111111,0.8,0.64,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,2,0.5883391608391608,0.5883391608391608,0.6,0.6,0.6,0.5875360750360751,0.587536075036075,"[[13, 4, 1, 2], [2, 14, 1, 3], [0, 3, 15, 2], [5, 4, 5, 6]]",0.65,0.65,0.65,0.6222222222222222,0.7,0.56,0.7142857142857143,0.75,0.6818181818181818,0.3636363636363637,0.3,0.46153846153846156,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,0,0.6377403846153846,0.6365147198480532,0.6041666666666666,0.6049382716049383,0.6049382716049383,0.5929400016303905,0.5929746272997816,"[[14, 6, 1, 0], [3, 16, 0, 1], [1, 4, 13, 2], [8, 4, 2, 6]]",0.5957446808510638,0.6666666666666666,0.5384615384615384,0.64,0.8,0.5333333333333333,0.7222222222222223,0.65,0.8125,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.6608630952380953,0.6608630952380953,0.6499999999999999,0.65,0.65,0.6354680380595015,0.6354680380595015,"[[15, 2, 0, 3], [2, 18, 0, 0], [0, 4, 13, 3], [4, 8, 2, 6]]",0.7317073170731706,0.75,0.7142857142857143,0.6923076923076923,0.9,0.5625,0.7428571428571429,0.65,0.8666666666666667,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),other,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,2,0.6478632478632479,0.6478632478632479,0.55,0.55,0.55,0.5414189976689976,0.5414189976689976,"[[10, 1, 4, 5], [1, 9, 2, 8], [1, 0, 6, 13], [1, 0, 0, 19]]",0.6060606060606061,0.5,0.7692307692307693,0.6,0.45,0.9,0.37499999999999994,0.3,0.5,0.5846153846153845,0.95,0.4222222222222222,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={3: 4}, random_state=42)",semantic,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.7300939129432777,0.7300939129432777,0.7124999999999999,0.7125,0.7125,0.7098669427285083,0.7098669427285083,"[[16, 4, 0, 0], [1, 17, 1, 1], [0, 3, 14, 3], [2, 5, 3, 10]]",0.8205128205128205,0.8,0.8421052631578947,0.6938775510204082,0.85,0.5862068965517241,0.7368421052631577,0.7,0.7777777777777778,0.588235294117647,0.5,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),semantic,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,4,0.7137548567814223,0.7137548567814223,0.675,0.675,0.675,0.6806752573006443,0.6806752573006442,"[[15, 0, 2, 3], [1, 14, 1, 4], [0, 1, 10, 9], [2, 2, 1, 15]]",0.7894736842105262,0.75,0.8333333333333334,0.7567567567567567,0.7,0.8235294117647058,0.588235294117647,0.5,0.7142857142857143,0.5882352941176471,0.75,0.4838709677419355,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={3: 4}, random_state=42)",semantic,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,3,0.6982468849608808,0.6982468849608809,0.6875,0.6875,0.6875,0.6801255637390091,0.680125563739009,"[[10, 3, 3, 4], [0, 19, 0, 1], [1, 2, 14, 3], [3, 5, 0, 12]]",0.588235294117647,0.5,0.7142857142857143,0.7755102040816326,0.95,0.6551724137931034,0.7567567567567567,0.7,0.8235294117647058,0.6,0.6,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),semantic,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
0,1,0.5995081453634086,0.5990203904823789,0.5916666666666667,0.5925925925925926,0.5925925925925926,0.5925012009317417,0.5927011324285587,"[[10, 3, 3, 4], [5, 10, 1, 4], [3, 0, 14, 3], [3, 3, 1, 14]]",0.4878048780487805,0.5,0.47619047619047616,0.5555555555555556,0.5,0.625,0.717948717948718,0.7,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.56,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={3: 4}, random_state=42)",semantic,"[""Time4J"", ""cyclops"", ""elasticsearch"", ""junit5"", ""reactor-core"", ""redisson"", ""takes""]"
