,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.6200146321070233,0.6200146321070235,0.625,0.625,0.625,0.614601489399265,0.614601489399265,"[[15, 1, 2, 2], [3, 13, 0, 4], [1, 0, 16, 3], [4, 2, 8, 6]]",0.6976744186046512,0.75,0.6521739130434783,0.7222222222222223,0.65,0.8125,0.6956521739130435,0.8,0.6153846153846154,0.34285714285714286,0.3,0.4,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,4,0.6415071770334928,0.6415071770334928,0.65,0.65,0.65,0.6413419913419913,0.6413419913419914,"[[15, 2, 2, 1], [1, 16, 0, 3], [2, 2, 13, 3], [4, 4, 4, 8]]",0.7142857142857143,0.75,0.6818181818181818,0.7272727272727272,0.8,0.6666666666666666,0.6666666666666667,0.65,0.6842105263157895,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,0,0.7110342555994731,0.7108980302217018,0.6708333333333334,0.6666666666666666,0.6666666666666666,0.6593270959249247,0.6567627231755527,"[[16, 0, 2, 2], [4, 14, 2, 0], [2, 0, 17, 1], [1, 1, 12, 7]]",0.7441860465116279,0.8,0.6956521739130435,0.8,0.7,0.9333333333333333,0.6415094339622641,0.85,0.5151515151515151,0.45161290322580644,0.3333333333333333,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,0,0.6456818181818182,0.6438832772166105,0.6583333333333333,0.654320987654321,0.654320987654321,0.645436507936508,0.6424064275916127,"[[15, 1, 1, 3], [2, 17, 0, 1], [2, 1, 14, 3], [1, 3, 10, 7]]",0.75,0.75,0.75,0.8095238095238095,0.85,0.7727272727272727,0.6222222222222222,0.7,0.56,0.4,0.3333333333333333,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,4,0.7090790835785115,0.7090790835785116,0.7125000000000001,0.7125,0.7125,0.7038889632938881,0.7038889632938881,"[[15, 2, 2, 1], [1, 17, 0, 2], [1, 1, 16, 2], [2, 4, 5, 9]]",0.7692307692307692,0.75,0.7894736842105263,0.7727272727272727,0.85,0.7083333333333334,0.7441860465116279,0.8,0.6956521739130435,0.5294117647058824,0.45,0.6428571428571429,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,2,0.7048654244306418,0.7048654244306418,0.7125000000000001,0.7125,0.7125,0.7048618426383599,0.7048618426383599,"[[16, 2, 1, 1], [1, 16, 1, 2], [1, 0, 16, 3], [5, 3, 3, 9]]",0.7441860465116279,0.8,0.6956521739130435,0.7804878048780488,0.8,0.7619047619047619,0.7804878048780488,0.8,0.7619047619047619,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,0,0.680308726361358,0.6790573515719714,0.680952380952381,0.6790123456790124,0.6790123456790124,0.6796915482891094,0.6780904180633178,"[[15, 2, 1, 2], [1, 16, 1, 2], [2, 1, 13, 4], [1, 2, 7, 11]]",0.7692307692307692,0.75,0.7894736842105263,0.7804878048780488,0.8,0.7619047619047619,0.6190476190476191,0.65,0.5909090909090909,0.5500000000000002,0.5238095238095238,0.5789473684210527,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,3,0.6726282051282051,0.672628205128205,0.6749999999999999,0.675,0.675,0.6507308845577211,0.6507308845577211,"[[13, 4, 3, 0], [0, 18, 1, 1], [1, 0, 17, 2], [6, 3, 5, 6]]",0.65,0.65,0.65,0.7999999999999999,0.9,0.72,0.7391304347826088,0.85,0.6538461538461539,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,1,0.6318392255892256,0.6325263956436796,0.643452380952381,0.6419753086419753,0.6419753086419753,0.6291028870816106,0.6286768587793017,"[[17, 2, 0, 1], [3, 17, 0, 0], [1, 1, 11, 8], [6, 2, 5, 7]]",0.723404255319149,0.85,0.6296296296296297,0.8095238095238095,0.85,0.7727272727272727,0.5945945945945946,0.5238095238095238,0.6875,0.38888888888888884,0.35,0.4375,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
0,0,0.6456818181818182,0.6438832772166105,0.6583333333333333,0.654320987654321,0.654320987654321,0.645436507936508,0.6424064275916127,"[[15, 1, 1, 3], [2, 17, 0, 1], [2, 1, 14, 3], [1, 3, 10, 7]]",0.75,0.75,0.75,0.8095238095238095,0.85,0.7727272727272727,0.6222222222222222,0.7,0.56,0.4,0.3333333333333333,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""Time4J"", ""elasticsearch"", ""hono"", ""redisson"", ""spring-session""]"
