,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.7110353535353535,0.7106522010225714,0.7023809523809524,0.7037037037037037,0.7037037037037037,0.702326468344775,0.7027808383007975,"[[17, 2, 1, 1], [3, 14, 1, 2], [4, 1, 14, 1], [1, 1, 6, 12]]",0.7391304347826089,0.8095238095238095,0.68,0.7368421052631577,0.7,0.7777777777777778,0.6666666666666666,0.7,0.6363636363636364,0.6666666666666665,0.6,0.75,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,2,0.6685068523430592,0.6689985372935564,0.6523809523809524,0.654320987654321,0.654320987654321,0.643310657596372,0.6446963970773495,"[[17, 1, 2, 1], [4, 11, 1, 4], [1, 0, 17, 2], [2, 1, 9, 8]]",0.7555555555555556,0.8095238095238095,0.7083333333333334,0.6666666666666667,0.55,0.8461538461538461,0.6938775510204082,0.85,0.5862068965517241,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,0,0.76438127090301,0.7642548331837834,0.7529761904761905,0.7560975609756098,0.7560975609756098,0.738406204549203,0.7402693923705015,"[[17, 1, 2, 0], [1, 19, 0, 1], [1, 1, 18, 1], [4, 2, 6, 8]]",0.7906976744186046,0.85,0.7391304347826086,0.8636363636363636,0.9047619047619048,0.8260869565217391,0.7659574468085107,0.8571428571428571,0.6923076923076923,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,4,0.7737977602108037,0.7745327672863904,0.7690476190476191,0.7654320987654321,0.7654320987654321,0.7561159770462096,0.7542634416019428,"[[18, 1, 0, 1], [2, 17, 1, 0], [1, 1, 17, 1], [3, 4, 4, 10]]",0.8181818181818182,0.9,0.75,0.7906976744186046,0.85,0.7391304347826086,0.8095238095238095,0.85,0.7727272727272727,0.6060606060606061,0.47619047619047616,0.8333333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,2,0.7642628205128205,0.7659385881608104,0.7767857142857143,0.7777777777777778,0.7777777777777778,0.7611788617886178,0.7626217002910769,"[[18, 0, 1, 2], [0, 18, 0, 2], [0, 0, 19, 1], [2, 6, 4, 8]]",0.8780487804878048,0.8571428571428571,0.9,0.8181818181818182,0.9,0.75,0.8636363636363635,0.95,0.7916666666666666,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,4,0.6334210526315789,0.6317738791423002,0.632142857142857,0.6296296296296297,0.6296296296296297,0.6299145299145299,0.6278358130209982,"[[12, 2, 3, 3], [2, 16, 1, 1], [1, 0, 14, 5], [4, 1, 7, 9]]",0.6153846153846154,0.6,0.631578947368421,0.8205128205128205,0.8,0.8421052631578947,0.6222222222222222,0.7,0.56,0.4615384615384615,0.42857142857142855,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,4,0.7111154244306418,0.7100522710426092,0.7190476190476192,0.7160493827160493,0.7160493827160493,0.7114255492020665,0.7093158577371093,"[[15, 2, 1, 2], [2, 17, 0, 1], [1, 0, 16, 3], [3, 2, 6, 10]]",0.7317073170731706,0.75,0.7142857142857143,0.8292682926829269,0.85,0.8095238095238095,0.7441860465116279,0.8,0.6956521739130435,0.5405405405405405,0.47619047619047616,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,0,0.7709020788648738,0.769646802226148,0.7535714285714286,0.7560975609756098,0.7560975609756098,0.7478760435301134,0.7486255217650568,"[[17, 0, 2, 1], [1, 18, 0, 2], [1, 2, 18, 0], [0, 2, 9, 9]]",0.8717948717948718,0.85,0.8947368421052632,0.8372093023255814,0.8571428571428571,0.8181818181818182,0.7200000000000001,0.8571428571428571,0.6206896551724138,0.5625000000000001,0.45,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,2,0.7427536231884058,0.7427088924673465,0.7523809523809524,0.7530864197530864,0.7530864197530864,0.7367864693446089,0.7372301829666171,"[[17, 0, 1, 3], [1, 18, 0, 1], [2, 0, 18, 0], [3, 5, 4, 8]]",0.7727272727272727,0.8095238095238095,0.7391304347826086,0.8372093023255814,0.9,0.782608695652174,0.8372093023255814,0.9,0.782608695652174,0.5,0.4,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
0,0,0.76438127090301,0.7642548331837834,0.7529761904761905,0.7560975609756098,0.7560975609756098,0.738406204549203,0.7402693923705015,"[[17, 1, 2, 0], [1, 19, 0, 1], [1, 1, 18, 1], [4, 2, 6, 8]]",0.7906976744186046,0.85,0.7391304347826086,0.8636363636363636,0.9047619047619048,0.8260869565217391,0.7659574468085107,0.8571428571428571,0.6923076923076923,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""android"", ""async-http-client"", ""elasticsearch"", ""hazelcast"", ""spring-session""]"
