,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.7186656545209177,0.7207938349626412,0.6583333333333332,0.6585365853658537,0.6585365853658537,0.640823571755775,0.6429590548441313,"[[20, 0, 0, 0], [6, 14, 1, 0], [5, 0, 14, 2], [8, 2, 4, 6]]",0.6779661016949152,1.0,0.5128205128205128,0.7567567567567567,0.6666666666666666,0.875,0.7,0.6666666666666666,0.7368421052631579,0.4285714285714285,0.3,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,0,0.6996779388083736,0.699304819135148,0.6797619047619048,0.6829268292682927,0.6829268292682927,0.6653734113387281,0.6672065062580348,"[[15, 3, 2, 0], [4, 17, 0, 0], [1, 1, 17, 2], [3, 6, 4, 7]]",0.6976744186046512,0.75,0.6521739130434783,0.7083333333333334,0.8095238095238095,0.6296296296296297,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.48275862068965514,0.35,0.7777777777777778,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,2,0.6931465919701214,0.6934075687888325,0.6910714285714286,0.691358024691358,0.691358024691358,0.6884971437603017,0.6888155211741956,"[[15, 1, 0, 5], [2, 16, 0, 2], [1, 2, 16, 1], [3, 6, 2, 9]]",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7111111111111111,0.8,0.64,0.8421052631578948,0.8,0.8888888888888888,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,0,0.6991758241758241,0.7014205306888234,0.682142857142857,0.6829268292682927,0.6829268292682927,0.6717124083676024,0.6732104154583474,"[[18, 0, 2, 0], [4, 13, 1, 3], [1, 0, 17, 3], [5, 1, 6, 8]]",0.75,0.9,0.6428571428571429,0.742857142857143,0.6190476190476191,0.9285714285714286,0.7234042553191489,0.8095238095238095,0.6538461538461539,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,2,0.7275575301891091,0.7279815700868333,0.7279761904761906,0.7283950617283951,0.7283950617283951,0.7271062271062271,0.7275358386469498,"[[16, 0, 0, 5], [1, 17, 1, 1], [1, 0, 16, 3], [3, 2, 5, 10]]",0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8717948717948718,0.85,0.8947368421052632,0.761904761904762,0.8,0.7272727272727273,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,4,0.7146020646020645,0.715186048519382,0.7029761904761904,0.7037037037037037,0.7037037037037037,0.699134199134199,0.6999091443535889,"[[15, 3, 0, 2], [2, 16, 1, 1], [4, 1, 16, 0], [4, 2, 4, 10]]",0.6666666666666665,0.75,0.6,0.761904761904762,0.8,0.7272727272727273,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.6060606060606061,0.5,0.7692307692307693,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,0,0.7110097149227584,0.7109744832756497,0.7172619047619048,0.7195121951219512,0.7195121951219512,0.7064936212603233,0.7076993586382408,"[[17, 1, 2, 0], [2, 17, 0, 2], [0, 1, 17, 3], [2, 4, 6, 8]]",0.8292682926829269,0.85,0.8095238095238095,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.7391304347826089,0.8095238095238095,0.68,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,0,0.6759453509453509,0.6764417154661057,0.680952380952381,0.6829268292682927,0.6829268292682927,0.6702301763277373,0.6715313241190695,"[[17, 1, 1, 1], [3, 16, 1, 1], [1, 0, 16, 4], [1, 3, 9, 7]]",0.8095238095238095,0.85,0.7727272727272727,0.7804878048780488,0.7619047619047619,0.8,0.6666666666666666,0.7619047619047619,0.5925925925925926,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,2,0.6387153169411234,0.6403266188212424,0.644047619047619,0.6419753086419753,0.6419753086419753,0.6214285714285714,0.6210187778815229,"[[10, 2, 2, 7], [1, 17, 1, 1], [0, 0, 19, 1], [2, 3, 9, 6]]",0.588235294117647,0.47619047619047616,0.7692307692307693,0.8095238095238095,0.85,0.7727272727272727,0.7450980392156863,0.95,0.6129032258064516,0.34285714285714286,0.3,0.4,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
0,1,0.6967740497488781,0.6969902431382218,0.688095238095238,0.691358024691358,0.691358024691358,0.6753917678791754,0.6771317032215589,"[[14, 2, 2, 2], [1, 20, 0, 0], [1, 4, 14, 1], [7, 2, 3, 8]]",0.6511627906976744,0.7,0.6086956521739131,0.8163265306122449,0.9523809523809523,0.7142857142857143,0.717948717948718,0.7,0.7368421052631579,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""android"", ""exist"", ""guava"", ""idea-gitignore"", ""javacv"", ""junit5"", ""reddeer"", ""redisson"", ""spring-boot""]"
