,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,0,0.6330177965614399,0.6358382384496607,0.6077380952380952,0.6097560975609756,0.6097560975609756,0.5993960993960993,0.6013495403739306,"[[15, 0, 2, 3], [2, 11, 3, 5], [0, 0, 18, 3], [5, 1, 8, 6]]",0.7142857142857143,0.75,0.6818181818181818,0.6666666666666667,0.5238095238095238,0.9166666666666666,0.6923076923076923,0.8571428571428571,0.5806451612903226,0.3243243243243243,0.3,0.35294117647058826,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,1,0.7501509401414524,0.7532354964360024,0.705952380952381,0.7037037037037037,0.7037037037037037,0.6988831005375123,0.698742568432111,"[[15, 0, 4, 1], [4, 11, 3, 3], [0, 0, 19, 1], [3, 0, 5, 12]]",0.7142857142857143,0.75,0.6818181818181818,0.6875000000000001,0.5238095238095238,1.0,0.7450980392156863,0.95,0.6129032258064516,0.6486486486486486,0.6,0.7058823529411765,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,0,0.6763845350052247,0.6779952595764203,0.6809523809523809,0.6829268292682927,0.6829268292682927,0.6596424616358171,0.6618935719494832,"[[18, 2, 0, 0], [1, 18, 1, 1], [3, 1, 14, 3], [7, 1, 6, 6]]",0.7346938775510204,0.9,0.6206896551724138,0.8372093023255814,0.8571428571428571,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,4,0.6781746031746032,0.6796786204193611,0.6678571428571429,0.6666666666666666,0.6666666666666666,0.662828947368421,0.6628763266190166,"[[15, 2, 1, 2], [2, 17, 0, 1], [1, 3, 12, 5], [2, 6, 2, 10]]",0.75,0.75,0.75,0.7083333333333333,0.85,0.6071428571428571,0.6666666666666666,0.5714285714285714,0.8,0.5263157894736842,0.5,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,0,0.6439393939393938,0.6468341956146835,0.6571428571428571,0.6585365853658537,0.6585365853658537,0.6255636653270219,0.6282532785045397,"[[20, 0, 0, 0], [3, 16, 0, 2], [3, 1, 14, 3], [7, 1, 8, 4]]",0.7547169811320755,1.0,0.6060606060606061,0.8205128205128205,0.7619047619047619,0.8888888888888888,0.6511627906976744,0.6666666666666666,0.6363636363636364,0.2758620689655173,0.2,0.4444444444444444,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,4,0.6631166355431062,0.6622459683461862,0.6529761904761905,0.654320987654321,0.654320987654321,0.6521460484875118,0.6523253153786125,"[[15, 0, 3, 2], [2, 14, 0, 4], [2, 0, 16, 3], [2, 2, 8, 8]]",0.7317073170731706,0.75,0.7142857142857143,0.7777777777777777,0.7,0.875,0.6666666666666666,0.7619047619047619,0.5925925925925926,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,0,0.6695291777188329,0.6708821246037393,0.6827380952380953,0.6829268292682927,0.6829268292682927,0.6638007752990331,0.664862148417855,"[[20, 0, 0, 0], [3, 16, 0, 2], [2, 2, 13, 4], [4, 2, 7, 7]]",0.8163265306122449,1.0,0.6896551724137931,0.7804878048780488,0.7619047619047619,0.8,0.6341463414634146,0.6190476190476191,0.65,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,0,0.6648400412796698,0.6670240881975383,0.6696428571428571,0.6707317073170732,0.6707317073170732,0.6636636636636637,0.6653629238995092,"[[17, 1, 1, 1], [2, 16, 1, 2], [0, 1, 14, 6], [6, 1, 5, 8]]",0.7555555555555556,0.85,0.68,0.8,0.7619047619047619,0.8421052631578947,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,3,0.6739532019704433,0.672687465790914,0.6577380952380952,0.654320987654321,0.654320987654321,0.6483629815562588,0.6460022392795501,"[[12, 3, 2, 3], [0, 18, 2, 0], [0, 2, 15, 3], [2, 1, 10, 8]]",0.7058823529411764,0.6,0.8571428571428571,0.8181818181818182,0.9,0.75,0.6122448979591838,0.75,0.5172413793103449,0.4571428571428571,0.38095238095238093,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,0,0.6763845350052247,0.6779952595764203,0.6809523809523809,0.6829268292682927,0.6829268292682927,0.6596424616358171,0.6618935719494832,"[[18, 2, 0, 0], [1, 18, 1, 1], [3, 1, 14, 3], [7, 1, 6, 6]]",0.7346938775510204,0.9,0.6206896551724138,0.8372093023255814,0.8571428571428571,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
0,4,0.60375,0.6041975308641975,0.6029761904761906,0.6049382716049383,0.6049382716049383,0.6003019323671497,0.601479095843025,"[[12, 3, 2, 3], [5, 10, 2, 3], [1, 1, 16, 3], [2, 2, 5, 11]]",0.6,0.6,0.6,0.5555555555555556,0.5,0.625,0.6956521739130435,0.7619047619047619,0.64,0.55,0.55,0.55,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""async-http-client"", ""elasticsearch"", ""fresco"", ""hazelcast"", ""junit5"", ""karate""]"
