,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.701803118908382,0.7031855306338983,0.6980263157894736,0.6962025316455697,0.6962025316455697,0.6913701477774705,0.6913159449149948,"[[16, 1, 0, 2], [2, 17, 0, 1], [2, 0, 14, 4], [7, 0, 5, 8]]",0.6956521739130435,0.8421052631578947,0.5925925925925926,0.8947368421052632,0.85,0.9444444444444444,0.717948717948718,0.7,0.7368421052631579,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,1,0.6870897832817338,0.6870897832817338,0.6875,0.6875,0.6875,0.684014784014784,0.6840147840147839,"[[16, 1, 1, 2], [3, 16, 0, 1], [0, 1, 14, 5], [6, 1, 4, 9]]",0.7111111111111111,0.8,0.64,0.8205128205128205,0.8,0.8421052631578947,0.717948717948718,0.7,0.7368421052631579,0.48648648648648646,0.45,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,0,0.7450980392156862,0.7450980392156861,0.7250000000000001,0.725,0.725,0.7265707265707265,0.7265707265707266,"[[16, 0, 3, 1], [3, 15, 0, 2], [1, 0, 16, 3], [4, 0, 5, 11]]",0.7272727272727272,0.8,0.6666666666666666,0.8571428571428571,0.75,1.0,0.7272727272727272,0.8,0.6666666666666666,0.5945945945945946,0.55,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,0,0.6657925407925408,0.6657925407925409,0.6499999999999999,0.65,0.65,0.6463026521817116,0.6463026521817115,"[[16, 1, 3, 0], [3, 10, 3, 4], [1, 1, 15, 3], [2, 1, 6, 11]]",0.761904761904762,0.8,0.7272727272727273,0.6060606060606061,0.5,0.7692307692307693,0.6382978723404256,0.75,0.5555555555555556,0.5789473684210527,0.55,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,1,0.6681397306397306,0.6681397306397306,0.7,0.7,0.7,0.6713873092133217,0.6713873092133216,"[[16, 1, 1, 2], [0, 20, 0, 0], [0, 1, 15, 4], [6, 5, 4, 5]]",0.761904761904762,0.8,0.7272727272727273,0.851063829787234,1.0,0.7407407407407407,0.75,0.75,0.75,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,3,0.645704334365325,0.6452169142140534,0.6585526315789474,0.6582278481012658,0.6582278481012658,0.6496798602061761,0.6492427631668138,"[[13, 1, 0, 5], [1, 18, 0, 1], [1, 1, 14, 4], [4, 4, 5, 7]]",0.6842105263157895,0.6842105263157895,0.6842105263157895,0.8181818181818182,0.9,0.75,0.717948717948718,0.7,0.7368421052631579,0.37837837837837834,0.35,0.4117647058823529,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,1,0.7014550264550264,0.7014550264550264,0.7,0.7,0.7,0.6881681370005189,0.6881681370005189,"[[14, 1, 3, 2], [1, 17, 2, 0], [0, 1, 17, 2], [5, 2, 5, 8]]",0.7,0.7,0.7,0.8292682926829269,0.85,0.8095238095238095,0.723404255319149,0.85,0.6296296296296297,0.5,0.4,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,3,0.6388888888888888,0.6393811533052038,0.6328947368421053,0.6329113924050633,0.6329113924050633,0.6351041769527007,0.6353537916560942,"[[12, 0, 1, 6], [0, 16, 2, 2], [2, 0, 14, 4], [6, 2, 4, 8]]",0.6153846153846154,0.631578947368421,0.6,0.8421052631578948,0.8,0.8888888888888888,0.6829268292682926,0.7,0.6666666666666666,0.4000000000000001,0.4,0.4,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,1,0.6681397306397306,0.6681397306397306,0.7,0.7,0.7,0.6713873092133217,0.6713873092133216,"[[16, 1, 1, 2], [0, 20, 0, 0], [0, 1, 15, 4], [6, 5, 4, 5]]",0.761904761904762,0.8,0.7272727272727273,0.851063829787234,1.0,0.7407407407407407,0.75,0.75,0.75,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,0,0.6922077922077923,0.6922077922077923,0.7000000000000001,0.7,0.7,0.6924506387921021,0.6924506387921021,"[[14, 1, 3, 2], [2, 18, 0, 0], [1, 0, 15, 4], [5, 3, 3, 9]]",0.6666666666666666,0.7,0.6363636363636364,0.8571428571428572,0.9,0.8181818181818182,0.7317073170731706,0.75,0.7142857142857143,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,0,0.7395239032067676,0.7395239032067676,0.7124999999999999,0.7125,0.7125,0.7144905566959929,0.7144905566959929,"[[16, 0, 3, 1], [3, 14, 1, 2], [1, 0, 16, 3], [3, 0, 6, 11]]",0.7441860465116279,0.8,0.6956521739130435,0.8235294117647058,0.7,1.0,0.6956521739130435,0.8,0.6153846153846154,0.5945945945945946,0.55,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
0,3,0.6194282188399836,0.6204531135283182,0.6342105263157894,0.6329113924050633,0.6329113924050633,0.6118763925215538,0.6117454326519252,"[[14, 2, 0, 3], [1, 18, 1, 0], [3, 1, 13, 3], [8, 4, 3, 5]]",0.6222222222222222,0.7368421052631579,0.5384615384615384,0.7999999999999999,0.9,0.72,0.7027027027027027,0.65,0.7647058823529411,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""async-http-client"", ""junit5"", ""pinpoint"", ""pulsar"", ""redisson"", ""spring-boot""]"
