,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.6399286987522282,0.6399286987522281,0.625,0.625,0.625,0.6284076284076283,0.6284076284076283,"[[16, 0, 0, 4], [1, 14, 1, 4], [2, 0, 12, 6], [5, 3, 4, 8]]",0.7272727272727272,0.8,0.6666666666666666,0.7567567567567567,0.7,0.8235294117647058,0.6486486486486486,0.6,0.7058823529411765,0.380952380952381,0.4,0.36363636363636365,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6935286935286935,0.6935286935286935,0.6875,0.6875,0.6875,0.6839075419194859,0.6839075419194858,"[[14, 3, 3, 0], [2, 15, 1, 2], [1, 0, 16, 3], [1, 3, 6, 10]]",0.7368421052631577,0.7,0.7777777777777778,0.7317073170731706,0.75,0.7142857142857143,0.6956521739130435,0.8,0.6153846153846154,0.5714285714285715,0.5,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.7461513157894737,0.7461513157894737,0.7374999999999999,0.7375,0.7375,0.7370726495726495,0.7370726495726496,"[[17, 2, 1, 0], [3, 13, 0, 4], [1, 0, 16, 3], [4, 1, 2, 13]]",0.7555555555555556,0.85,0.68,0.7222222222222223,0.65,0.8125,0.8205128205128205,0.8,0.8421052631578947,0.65,0.65,0.65,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6707773967118608,0.6690321419957376,0.6571428571428571,0.654320987654321,0.654320987654321,0.6545496066172758,0.6523167004926961,"[[15, 4, 0, 1], [2, 16, 1, 1], [0, 1, 13, 6], [2, 8, 2, 9]]",0.7692307692307692,0.75,0.7894736842105263,0.6530612244897959,0.8,0.5517241379310345,0.7222222222222223,0.65,0.8125,0.4736842105263158,0.42857142857142855,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6762931034482758,0.6747339293316303,0.668452380952381,0.6666666666666666,0.6666666666666666,0.6613572258171562,0.6598168324842735,"[[19, 0, 0, 1], [3, 13, 2, 2], [2, 1, 11, 6], [5, 2, 3, 11]]",0.7755102040816326,0.95,0.6551724137931034,0.7222222222222223,0.65,0.8125,0.6111111111111112,0.55,0.6875,0.5365853658536585,0.5238095238095238,0.55,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.739064558629776,0.7390645586297759,0.7375,0.7375,0.7375,0.7336655592469546,0.7336655592469545,"[[16, 3, 1, 0], [2, 16, 1, 1], [1, 0, 16, 3], [1, 3, 5, 11]]",0.8000000000000002,0.8,0.8,0.761904761904762,0.8,0.7272727272727273,0.7441860465116279,0.8,0.6956521739130435,0.6285714285714286,0.55,0.7333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.5623328877005348,0.5623328877005347,0.5499999999999999,0.55,0.55,0.5221642839567368,0.5221642839567368,"[[11, 3, 6, 0], [3, 17, 0, 0], [2, 2, 13, 3], [1, 2, 14, 3]]",0.5945945945945946,0.55,0.6470588235294118,0.7727272727272727,0.85,0.7083333333333334,0.490566037735849,0.65,0.3939393939393939,0.23076923076923075,0.15,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6860119047619048,0.6868018812463257,0.6892857142857143,0.691358024691358,0.691358024691358,0.6849254742547426,0.6863461474120914,"[[13, 2, 1, 4], [2, 18, 0, 1], [3, 1, 15, 1], [3, 3, 4, 10]]",0.6341463414634146,0.65,0.6190476190476191,0.7999999999999999,0.8571428571428571,0.75,0.75,0.75,0.75,0.5555555555555556,0.5,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.7054195804195804,0.7057325390658724,0.7011904761904761,0.7037037037037037,0.7037037037037037,0.6883027747818414,0.6897868224795701,"[[13, 4, 1, 2], [1, 19, 0, 1], [2, 1, 17, 0], [6, 2, 4, 8]]",0.6190476190476191,0.65,0.5909090909090909,0.8085106382978723,0.9047619047619048,0.7307692307692307,0.8095238095238095,0.85,0.7727272727272727,0.5161290322580645,0.4,0.7272727272727273,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.6041666666666666,0.6041666666666666,0.625,0.625,0.625,0.6098539193948089,0.609853919394809,"[[13, 3, 1, 3], [0, 18, 0, 2], [2, 2, 13, 3], [6, 1, 7, 6]]",0.6341463414634146,0.65,0.6190476190476191,0.8181818181818182,0.9,0.75,0.6341463414634146,0.65,0.6190476190476191,0.3529411764705882,0.3,0.42857142857142855,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6858630952380953,0.684185773074662,0.680952380952381,0.6790123456790124,0.6790123456790124,0.6794469081054446,0.6776831853615954,"[[16, 0, 1, 3], [3, 13, 2, 2], [1, 0, 15, 4], [4, 3, 3, 11]]",0.7272727272727272,0.8,0.6666666666666666,0.7222222222222223,0.65,0.8125,0.7317073170731706,0.75,0.7142857142857143,0.5365853658536585,0.5238095238095238,0.55,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.6838095238095239,0.6824221046443268,0.6952380952380952,0.691358024691358,0.691358024691358,0.6823073945025164,0.6795275853993108,"[[17, 2, 0, 1], [2, 16, 2, 0], [0, 0, 15, 5], [2, 7, 4, 8]]",0.8292682926829269,0.85,0.8095238095238095,0.7111111111111111,0.8,0.64,0.7317073170731706,0.75,0.7142857142857143,0.4571428571428571,0.38095238095238093,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.6576792772444946,0.6590996228677387,0.6648809523809524,0.6666666666666666,0.6666666666666666,0.6561298938179924,0.6577912244426912,"[[13, 3, 1, 3], [3, 17, 0, 1], [2, 0, 16, 2], [4, 2, 6, 8]]",0.6190476190476191,0.65,0.5909090909090909,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7441860465116279,0.8,0.6956521739130435,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.6828102453102454,0.6828102453102453,0.6875000000000001,0.6875,0.6875,0.67156171679198,0.6715617167919798,"[[14, 3, 3, 0], [0, 18, 0, 2], [0, 1, 16, 3], [4, 6, 3, 7]]",0.7368421052631577,0.7,0.7777777777777778,0.75,0.9,0.6428571428571429,0.761904761904762,0.8,0.7272727272727273,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),other,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,0,0.7003205128205129,0.7011712567268122,0.713095238095238,0.7160493827160493,0.7160493827160493,0.6964182700464895,0.6983274744877334,"[[12, 3, 1, 4], [0, 20, 0, 1], [1, 1, 18, 0], [5, 2, 5, 8]]",0.631578947368421,0.6,0.6666666666666666,0.8510638297872339,0.9523809523809523,0.7692307692307693,0.8181818181818182,0.9,0.75,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.6258658008658009,0.6258658008658009,0.5874999999999999,0.5875,0.5875,0.5883518986293428,0.5883518986293429,"[[8, 2, 4, 6], [1, 15, 2, 2], [2, 0, 10, 8], [0, 1, 5, 14]]",0.5161290322580645,0.4,0.7272727272727273,0.7894736842105262,0.75,0.8333333333333334,0.4878048780487805,0.5,0.47619047619047616,0.56,0.7,0.4666666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={3: 4}, random_state=42)",semantic,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,1,0.713475975975976,0.710339969599229,0.6398809523809523,0.6419753086419753,0.6419753086419753,0.6404556650246306,0.6397859271422489,"[[15, 0, 1, 4], [2, 13, 1, 4], [1, 0, 7, 12], [2, 2, 0, 17]]",0.75,0.75,0.75,0.7428571428571429,0.65,0.8666666666666667,0.48275862068965514,0.35,0.7777777777777778,0.5862068965517242,0.8095238095238095,0.4594594594594595,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={3: 4}, random_state=42)",semantic,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,4,0.6519899626517273,0.6519899626517273,0.6375000000000001,0.6375,0.6375,0.6417598161821525,0.6417598161821523,"[[13, 2, 2, 3], [2, 14, 2, 2], [2, 1, 11, 6], [0, 1, 6, 13]]",0.7027027027027027,0.65,0.7647058823529411,0.7368421052631577,0.7,0.7777777777777778,0.5365853658536585,0.55,0.5238095238095238,0.5909090909090908,0.65,0.5416666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={3: 4}, random_state=42)",semantic,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.7240850782871157,0.7240850782871157,0.6875,0.6875,0.6875,0.6866143724696355,0.6866143724696355,"[[14, 0, 4, 2], [3, 10, 1, 6], [0, 0, 14, 6], [1, 2, 0, 17]]",0.7368421052631577,0.7,0.7777777777777778,0.625,0.5,0.8333333333333334,0.717948717948718,0.7,0.7368421052631579,0.6666666666666665,0.85,0.5483870967741935,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={3: 4}, random_state=42)",semantic,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
0,2,0.7916307471264368,0.7916307471264369,0.7625000000000001,0.7625,0.7625,0.7642290249433107,0.7642290249433107,"[[14, 3, 2, 1], [1, 13, 0, 6], [0, 0, 16, 4], [0, 0, 2, 18]]",0.8,0.7,0.9333333333333333,0.7222222222222223,0.65,0.8125,0.8000000000000002,0.8,0.8,0.7346938775510204,0.9,0.6206896551724138,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""3"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={3: 4}, random_state=42)",semantic,"[""azure-tools-for-java"", ""elasticsearch"", ""n4js"", ""redisson"", ""spring-session""]"
