,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.7005889219015281,0.7035137500262005,0.6785714285714286,0.6790123456790124,0.6790123456790124,0.6744113861760921,0.676095329690101,"[[13, 4, 1, 2], [2, 18, 0, 0], [0, 2, 15, 4], [4, 7, 0, 9]]",0.6666666666666667,0.65,0.6842105263157895,0.7058823529411764,0.9,0.5806451612903226,0.8108108108108109,0.7142857142857143,0.9375,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,1,0.6678205128205128,0.6684647040202595,0.6517857142857143,0.654320987654321,0.654320987654321,0.6383794466403162,0.6401600546528083,"[[17, 0, 2, 1], [4, 11, 2, 3], [1, 0, 18, 2], [8, 2, 3, 7]]",0.68,0.85,0.5666666666666667,0.6666666666666667,0.55,0.8461538461538461,0.782608695652174,0.8571428571428571,0.72,0.4242424242424242,0.35,0.5384615384615384,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,2,0.6718630097113069,0.6718630097113069,0.6625,0.6625,0.6625,0.6623599924515255,0.6623599924515255,"[[16, 0, 1, 3], [4, 14, 0, 2], [1, 2, 13, 4], [5, 1, 4, 10]]",0.6956521739130435,0.8,0.6153846153846154,0.7567567567567567,0.7,0.8235294117647058,0.6842105263157895,0.65,0.7222222222222222,0.5128205128205129,0.5,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,0,0.7197115384615385,0.7185422602089269,0.706547619047619,0.7037037037037037,0.7037037037037037,0.701735925648969,0.699745859166149,"[[17, 0, 1, 2], [3, 14, 1, 2], [1, 1, 16, 2], [5, 0, 6, 10]]",0.7391304347826088,0.85,0.6538461538461539,0.8,0.7,0.9333333333333333,0.7272727272727272,0.8,0.6666666666666666,0.5405405405405405,0.47619047619047616,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,0,0.7260374493927125,0.724790073474284,0.7315476190476191,0.7283950617283951,0.7283950617283951,0.7227744885353581,0.7205246867082615,"[[18, 0, 1, 1], [2, 17, 0, 1], [1, 1, 14, 4], [5, 2, 4, 10]]",0.7826086956521738,0.9,0.6923076923076923,0.85,0.85,0.85,0.717948717948718,0.7,0.7368421052631579,0.5405405405405405,0.47619047619047616,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,2,0.6296717171717172,0.6296717171717171,0.625,0.625,0.625,0.6264724310776942,0.6264724310776942,"[[13, 1, 1, 5], [4, 14, 1, 1], [0, 1, 14, 5], [5, 2, 4, 9]]",0.6190476190476191,0.65,0.5909090909090909,0.7368421052631577,0.7,0.7777777777777778,0.7,0.7,0.7,0.45,0.45,0.45,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,2,0.6445374800637959,0.6445374800637959,0.65,0.65,0.65,0.6462956170915093,0.6462956170915093,"[[14, 1, 1, 4], [2, 16, 0, 2], [0, 4, 13, 3], [5, 1, 5, 9]]",0.6829268292682926,0.7,0.6666666666666666,0.761904761904762,0.8,0.7272727272727273,0.6666666666666667,0.65,0.6842105263157895,0.4736842105263158,0.45,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,0,0.7028769841269842,0.7017440721144426,0.7059523809523809,0.7037037037037037,0.7037037037037037,0.7013448147915414,0.6996504660176034,"[[15, 2, 1, 2], [2, 17, 0, 1], [0, 2, 14, 4], [4, 3, 3, 11]]",0.7317073170731706,0.75,0.7142857142857143,0.7727272727272727,0.85,0.7083333333333334,0.7368421052631577,0.7,0.7777777777777778,0.5641025641025642,0.5238095238095238,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,3,0.6390541571319603,0.6390541571319603,0.65,0.65,0.65,0.6402248913876821,0.640224891387682,"[[12, 2, 2, 4], [0, 17, 2, 1], [2, 1, 15, 2], [5, 3, 4, 8]]",0.6153846153846154,0.6,0.631578947368421,0.7906976744186046,0.85,0.7391304347826086,0.6976744186046512,0.75,0.6521739130434783,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
0,0,0.7260374493927125,0.724790073474284,0.7315476190476191,0.7283950617283951,0.7283950617283951,0.7227744885353581,0.7205246867082615,"[[18, 0, 1, 1], [2, 17, 0, 1], [1, 1, 14, 4], [5, 2, 4, 10]]",0.7826086956521738,0.9,0.6923076923076923,0.85,0.85,0.85,0.717948717948718,0.7,0.7368421052631579,0.5405405405405405,0.47619047619047616,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""checkstyle"", ""elasticsearch"", ""ice"", ""junit5"", ""redisson""]"
