,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.6921969696969698,0.6903853348297793,0.6428571428571428,0.6419753086419753,0.6419753086419753,0.6430702372562838,0.6420217100664991,"[[16, 0, 1, 3], [4, 10, 3, 3], [2, 0, 14, 4], [3, 0, 6, 12]]",0.7111111111111111,0.8,0.64,0.6666666666666666,0.5,1.0,0.6363636363636365,0.7,0.5833333333333334,0.5581395348837208,0.5714285714285714,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,3,0.6618715907415598,0.6618715907415597,0.6625,0.6625,0.6625,0.6492964004728711,0.6492964004728711,"[[14, 4, 2, 0], [0, 19, 1, 0], [0, 2, 12, 6], [5, 5, 2, 8]]",0.717948717948718,0.7,0.7368421052631579,0.7599999999999999,0.95,0.6333333333333333,0.6486486486486486,0.6,0.7058823529411765,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,4,0.71558908045977,0.7155890804597702,0.7,0.7,0.7,0.6959750566893423,0.6959750566893425,"[[14, 3, 1, 2], [0, 18, 0, 2], [1, 7, 10, 2], [1, 1, 4, 14]]",0.7777777777777777,0.7,0.875,0.7346938775510204,0.9,0.6206896551724138,0.5714285714285715,0.5,0.6666666666666666,0.7,0.7,0.7,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,4,0.7188520543783702,0.7188520543783701,0.7250000000000001,0.725,0.725,0.7208111742771564,0.7208111742771564,"[[16, 2, 1, 1], [1, 18, 0, 1], [1, 1, 13, 5], [3, 1, 5, 11]]",0.7804878048780488,0.8,0.7619047619047619,0.8571428571428572,0.9,0.8181818181818182,0.6666666666666667,0.65,0.6842105263157895,0.5789473684210527,0.55,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,1,0.7136345136345136,0.7124215519277247,0.7202380952380952,0.7160493827160493,0.7160493827160493,0.7058151958240484,0.7029111592742961,"[[16, 2, 0, 2], [2, 17, 0, 1], [0, 1, 17, 2], [2, 7, 4, 8]]",0.8000000000000002,0.8,0.8,0.723404255319149,0.85,0.6296296296296297,0.8292682926829269,0.85,0.8095238095238095,0.47058823529411764,0.38095238095238093,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,3,0.6618715907415598,0.6618715907415597,0.6625,0.6625,0.6625,0.6492964004728711,0.6492964004728711,"[[14, 4, 2, 0], [0, 19, 1, 0], [0, 2, 12, 6], [5, 5, 2, 8]]",0.717948717948718,0.7,0.7368421052631579,0.7599999999999999,0.95,0.6333333333333333,0.6486486486486486,0.6,0.7058823529411765,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,4,0.7166785742637135,0.7166785742637135,0.7125,0.7125,0.7125,0.7094027666110045,0.7094027666110045,"[[14, 3, 1, 2], [1, 18, 0, 1], [1, 3, 13, 3], [1, 2, 5, 12]]",0.7567567567567567,0.7,0.8235294117647058,0.7826086956521738,0.9,0.6923076923076923,0.6666666666666667,0.65,0.6842105263157895,0.631578947368421,0.6,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,0,0.6583805627923275,0.6592742500513015,0.6636904761904762,0.6666666666666666,0.6666666666666666,0.6447902947559777,0.6468115335651369,"[[13, 4, 2, 1], [0, 19, 1, 1], [0, 1, 16, 3], [4, 2, 8, 6]]",0.7027027027027027,0.65,0.7647058823529411,0.8085106382978723,0.9047619047619048,0.7307692307692307,0.6808510638297872,0.8,0.5925925925925926,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,0,0.6775174101261058,0.679351602056916,0.6886904761904761,0.691358024691358,0.691358024691358,0.6797883011297645,0.6820580302965126,"[[15, 2, 2, 1], [0, 19, 0, 2], [2, 0, 14, 4], [4, 2, 6, 8]]",0.7317073170731706,0.75,0.7142857142857143,0.8636363636363636,0.9047619047619048,0.8260869565217391,0.6666666666666666,0.7,0.6363636363636364,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
0,0,0.7470238095238095,0.7489711934156379,0.7511904761904762,0.7530864197530864,0.7530864197530864,0.7457611832611832,0.7477241551315625,"[[15, 1, 1, 3], [1, 19, 0, 1], [1, 0, 17, 2], [3, 1, 6, 10]]",0.75,0.75,0.75,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.7727272727272727,0.85,0.7083333333333334,0.5555555555555556,0.5,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""closure-compiler"", ""elasticsearch"", ""ice"", ""jadx"", ""pulsar"", ""redisson"", ""spring-session""]"
