,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6257920719127615,0.6257920719127616,0.625,0.625,0.625,0.5995905108670154,0.5995905108670154,"[[12, 4, 2, 2], [0, 18, 1, 1], [3, 1, 15, 1], [1, 6, 8, 5]]",0.6666666666666665,0.6,0.75,0.7346938775510204,0.9,0.6206896551724138,0.6521739130434783,0.75,0.5769230769230769,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,4,0.6314102564102564,0.6314102564102564,0.625,0.625,0.625,0.6129981884057971,0.6129981884057971,"[[12, 4, 3, 1], [1, 16, 1, 2], [1, 2, 15, 2], [2, 4, 7, 7]]",0.6666666666666665,0.6,0.75,0.6956521739130435,0.8,0.6153846153846154,0.6521739130434783,0.75,0.5769230769230769,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,1,0.6563556457065585,0.6548368517266422,0.6577380952380952,0.654320987654321,0.654320987654321,0.6467426610283753,0.6442451521816601,"[[17, 0, 0, 3], [5, 12, 1, 2], [1, 1, 16, 2], [6, 4, 3, 8]]",0.6938775510204082,0.85,0.5862068965517241,0.6486486486486486,0.6,0.7058823529411765,0.8000000000000002,0.8,0.8,0.4444444444444444,0.38095238095238093,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,1,0.6375210437710438,0.6358232531072038,0.6327380952380952,0.6296296296296297,0.6296296296296297,0.6262607592394827,0.6238678169332227,"[[17, 0, 1, 2], [4, 12, 0, 4], [1, 3, 14, 2], [5, 7, 1, 8]]",0.723404255319149,0.85,0.6296296296296297,0.5714285714285713,0.6,0.5454545454545454,0.7777777777777777,0.7,0.875,0.4324324324324324,0.38095238095238093,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,0,0.7518865207373272,0.7541780451726688,0.7160714285714286,0.7160493827160493,0.7160493827160493,0.7154478007419184,0.71662512185388,"[[19, 0, 0, 1], [3, 15, 0, 3], [3, 1, 12, 4], [6, 0, 2, 12]]",0.7450980392156863,0.95,0.6129032258064516,0.8108108108108109,0.7142857142857143,0.9375,0.7058823529411764,0.6,0.8571428571428571,0.6,0.6,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,3,0.5288043478260869,0.5288043478260869,0.55,0.55,0.55,0.5235735049833887,0.5235735049833887,"[[8, 7, 2, 3], [0, 18, 1, 1], [1, 3, 13, 3], [6, 2, 7, 5]]",0.4571428571428572,0.4,0.5333333333333333,0.7200000000000001,0.9,0.6,0.6046511627906976,0.65,0.5652173913043478,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,2,0.6709805427547363,0.6709805427547363,0.6,0.6,0.6,0.6103941705051725,0.6103941705051725,"[[9, 1, 2, 8], [0, 14, 1, 5], [0, 1, 13, 6], [1, 2, 5, 12]]",0.6,0.45,0.9,0.7368421052631577,0.7,0.7777777777777778,0.6341463414634146,0.65,0.6190476190476191,0.47058823529411764,0.6,0.3870967741935484,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,4,0.6614130434782609,0.6614130434782609,0.6375000000000001,0.6375,0.6375,0.6311357973421927,0.6311357973421927,"[[13, 2, 4, 1], [0, 16, 2, 2], [0, 3, 15, 2], [2, 2, 9, 7]]",0.7428571428571429,0.65,0.8666666666666667,0.7441860465116279,0.8,0.6956521739130435,0.6,0.75,0.5,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,1,0.7053030303030303,0.7033295922184811,0.6928571428571428,0.691358024691358,0.691358024691358,0.694296788482835,0.6926158347346978,"[[15, 0, 0, 5], [3, 16, 0, 1], [1, 2, 13, 4], [3, 4, 2, 12]]",0.7142857142857143,0.75,0.6818181818181818,0.761904761904762,0.8,0.7272727272727273,0.7428571428571429,0.65,0.8666666666666667,0.5581395348837208,0.5714285714285714,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,0,0.6946317571317571,0.6955958992996031,0.6773809523809524,0.6790123456790124,0.6790123456790124,0.674498581284077,0.6759331379894414,"[[15, 3, 1, 1], [4, 17, 0, 0], [2, 1, 14, 3], [7, 1, 3, 9]]",0.6250000000000001,0.75,0.5357142857142857,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7368421052631577,0.7,0.7777777777777778,0.5454545454545455,0.45,0.6923076923076923,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,3,0.6298837032532685,0.6298837032532685,0.6375,0.6375,0.6375,0.6209779347010665,0.6209779347010665,"[[14, 3, 1, 2], [1, 15, 2, 2], [2, 1, 16, 1], [6, 1, 7, 6]]",0.6511627906976744,0.7,0.6086956521739131,0.75,0.75,0.75,0.6956521739130435,0.8,0.6153846153846154,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,2,0.6492129460479845,0.6492129460479844,0.6125,0.6125,0.6125,0.6147339199664781,0.6147339199664782,"[[11, 1, 3, 5], [4, 10, 1, 5], [0, 0, 15, 5], [2, 1, 4, 13]]",0.5945945945945946,0.55,0.6470588235294118,0.625,0.5,0.8333333333333334,0.6976744186046512,0.75,0.6521739130434783,0.5416666666666667,0.65,0.4642857142857143,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,0,0.6415071770334928,0.6420343788764842,0.6422619047619047,0.6419753086419753,0.6419753086419753,0.6410714285714286,0.6411816578483246,"[[14, 4, 0, 2], [2, 13, 2, 4], [0, 1, 15, 4], [4, 1, 5, 10]]",0.7,0.7,0.7,0.6500000000000001,0.6190476190476191,0.6842105263157895,0.7142857142857143,0.75,0.6818181818181818,0.5,0.5,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,1,0.598731884057971,0.5975129719091071,0.5821428571428572,0.5802469135802469,0.5802469135802469,0.5854633093005186,0.5839333729083944,"[[13, 3, 2, 2], [4, 11, 0, 5], [2, 2, 14, 2], [5, 7, 0, 9]]",0.5909090909090908,0.65,0.5416666666666666,0.5116279069767442,0.55,0.4782608695652174,0.7777777777777777,0.7,0.875,0.4615384615384615,0.42857142857142855,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),other,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
0,1,0.6144459706959707,0.6133270022158911,0.6059523809523809,0.6049382716049383,0.6049382716049383,0.5909984942593638,0.5901690007970201,"[[13, 0, 3, 4], [7, 7, 1, 5], [1, 0, 18, 1], [3, 3, 4, 11]]",0.5909090909090908,0.65,0.5416666666666666,0.4666666666666667,0.35,0.7,0.7826086956521738,0.9,0.6923076923076923,0.5238095238095238,0.5238095238095238,0.5238095238095238,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)",other,"[""elasticsearch"", ""idea-gitignore"", ""junit5"", ""lemminx"", ""n4js"", ""redisson""]"
