,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,4,0.6489130434782608,0.6486883140708126,0.6592105263157894,0.6582278481012658,0.6582278481012658,0.6503322259136213,0.6497035199125278,"[[14, 2, 2, 2], [0, 14, 1, 4], [1, 2, 16, 1], [5, 3, 4, 8]]",0.7,0.7,0.7,0.7,0.7368421052631579,0.6666666666666666,0.7441860465116279,0.8,0.6956521739130435,0.4571428571428572,0.4,0.5333333333333333,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,2,0.7627576671694318,0.7639740089479479,0.7578947368421054,0.759493670886076,0.759493670886076,0.7548858927577463,0.7562306679996337,"[[13, 3, 1, 3], [0, 19, 0, 1], [0, 2, 16, 2], [4, 2, 1, 12]]",0.7027027027027027,0.65,0.7647058823529411,0.8260869565217392,0.95,0.7307692307692307,0.8421052631578948,0.8,0.8888888888888888,0.6486486486486486,0.631578947368421,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,0,0.6264289958407605,0.6264289958407605,0.625,0.625,0.625,0.609802115086947,0.6098021150869469,"[[13, 3, 2, 2], [3, 15, 0, 2], [0, 3, 16, 1], [1, 6, 7, 6]]",0.7027027027027027,0.65,0.7647058823529411,0.6382978723404256,0.75,0.5555555555555556,0.7111111111111111,0.8,0.64,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,4,0.7122674109516215,0.7126528442317916,0.7098684210526316,0.7088607594936709,0.7088607594936709,0.7094450478917744,0.7091632470160606,"[[14, 4, 0, 2], [1, 15, 0, 3], [1, 1, 15, 3], [2, 2, 4, 12]]",0.7368421052631577,0.7,0.7777777777777778,0.7317073170731707,0.7894736842105263,0.6818181818181818,0.7692307692307692,0.75,0.7894736842105263,0.6,0.6,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,2,0.7714380648591176,0.7734675199698517,0.7697368421052632,0.7721518987341772,0.7721518987341772,0.76989406989407,0.7721130505940633,"[[16, 1, 1, 2], [1, 18, 0, 1], [0, 0, 16, 4], [5, 0, 3, 11]]",0.761904761904762,0.8,0.7272727272727273,0.9230769230769231,0.9,0.9473684210526315,0.8000000000000002,0.8,0.8,0.5945945945945946,0.5789473684210527,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,3,0.6068055555555556,0.6062587904360056,0.6210526315789473,0.620253164556962,0.620253164556962,0.6099415204678362,0.6092234806425345,"[[13, 2, 2, 2], [0, 17, 1, 2], [1, 0, 13, 6], [6, 6, 2, 6]]",0.6666666666666667,0.6842105263157895,0.65,0.7555555555555556,0.85,0.68,0.6842105263157895,0.65,0.7222222222222222,0.33333333333333326,0.3,0.375,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,3,0.6690058479532164,0.6694796061884669,0.6703947368421053,0.6708860759493671,0.6708860759493671,0.6621660534314509,0.6625532319892108,"[[12, 3, 2, 2], [0, 18, 1, 1], [2, 1, 14, 3], [5, 5, 1, 9]]",0.631578947368421,0.631578947368421,0.631578947368421,0.7659574468085106,0.9,0.6666666666666666,0.7368421052631577,0.7,0.7777777777777778,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,2,0.6908508158508158,0.6908323743766781,0.680921052631579,0.6835443037974683,0.6835443037974683,0.6765027378228178,0.6779458104534863,"[[12, 4, 1, 3], [2, 18, 0, 0], [1, 3, 15, 1], [7, 1, 2, 9]]",0.5714285714285713,0.6,0.5454545454545454,0.7826086956521738,0.9,0.6923076923076923,0.7894736842105262,0.75,0.8333333333333334,0.5625,0.47368421052631576,0.6923076923076923,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,4,0.7354226475279106,0.7356178709143398,0.724342105263158,0.7215189873417721,0.7215189873417721,0.7110121061733964,0.7096555275403784,"[[14, 3, 1, 2], [0, 18, 1, 0], [2, 2, 16, 0], [3, 2, 6, 9]]",0.717948717948718,0.7,0.7368421052631579,0.8181818181818181,0.9473684210526315,0.72,0.7272727272727272,0.8,0.6666666666666666,0.5806451612903226,0.45,0.8181818181818182,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
0,2,0.7112985896112831,0.7128563528453798,0.706578947368421,0.7088607594936709,0.7088607594936709,0.705668016194332,0.7075681739239367,"[[13, 2, 3, 2], [1, 17, 1, 1], [0, 0, 16, 4], [4, 0, 5, 10]]",0.6842105263157895,0.65,0.7222222222222222,0.8717948717948718,0.85,0.8947368421052632,0.7111111111111111,0.8,0.64,0.5555555555555555,0.5263157894736842,0.5882352941176471,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""elasticsearch"", ""javacv"", ""jetty.project"", ""mapsforge"", ""orientdb"", ""redisson"", ""spring-security""]"
