,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,1,0.6576190476190477,0.6569958847736626,0.6148809523809524,0.6172839506172839,0.6172839506172839,0.6186082766439909,0.6195375269449344,"[[17, 1, 0, 3], [4, 10, 1, 5], [2, 0, 12, 6], [5, 1, 3, 11]]",0.6938775510204083,0.8095238095238095,0.6071428571428571,0.625,0.5,0.8333333333333334,0.6666666666666665,0.6,0.75,0.48888888888888893,0.55,0.44,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.7376893939393939,0.7356902356902357,0.7011904761904763,0.7037037037037037,0.7037037037037037,0.6984953703703703,0.6985596707818931,"[[19, 0, 2, 0], [4, 14, 1, 1], [3, 0, 15, 2], [7, 2, 2, 9]]",0.7037037037037038,0.9047619047619048,0.5757575757575758,0.7777777777777777,0.7,0.875,0.75,0.75,0.75,0.5625000000000001,0.45,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.6948015873015874,0.6954830491867529,0.7017857142857142,0.7037037037037037,0.7037037037037037,0.6907464740282078,0.6920952829908225,"[[17, 2, 0, 1], [1, 18, 1, 1], [2, 0, 14, 4], [5, 4, 3, 8]]",0.7555555555555556,0.85,0.68,0.7999999999999999,0.8571428571428571,0.75,0.7368421052631577,0.7,0.7777777777777778,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.7946691176470587,0.796477850399419,0.7654761904761905,0.7654320987654321,0.7654320987654321,0.7667543859649122,0.7676846437080356,"[[19, 0, 0, 1], [3, 16, 0, 2], [2, 0, 15, 3], [6, 1, 1, 12]]",0.7599999999999999,0.95,0.6333333333333333,0.8421052631578947,0.7619047619047619,0.9411764705882353,0.8333333333333334,0.75,0.9375,0.631578947368421,0.6,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.692752849002849,0.6927473532411803,0.7017857142857142,0.7037037037037037,0.7037037037037037,0.6704027355623101,0.6715824233554731,"[[18, 1, 2, 0], [1, 19, 0, 0], [1, 1, 15, 3], [6, 6, 3, 5]]",0.7659574468085107,0.8571428571428571,0.6923076923076923,0.8085106382978724,0.95,0.7037037037037037,0.75,0.75,0.75,0.35714285714285715,0.25,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.7197824105718842,0.7212925692457856,0.7154761904761905,0.7160493827160493,0.7160493827160493,0.7165505226480836,0.7175807631092184,"[[16, 1, 0, 3], [1, 16, 2, 2], [2, 1, 13, 4], [2, 1, 4, 13]]",0.7804878048780488,0.8,0.7619047619047619,0.8,0.7619047619047619,0.8421052631578947,0.6666666666666667,0.65,0.6842105263157895,0.6190476190476191,0.65,0.5909090909090909,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.7803599908863067,0.7811222781983015,0.7779761904761905,0.7777777777777778,0.7777777777777778,0.7779505047797731,0.7782227207701463,"[[18, 1, 0, 1], [1, 16, 1, 3], [0, 0, 16, 4], [3, 2, 2, 13]]",0.8571428571428572,0.9,0.8181818181818182,0.8,0.7619047619047619,0.8421052631578947,0.8205128205128205,0.8,0.8421052631578947,0.6341463414634146,0.65,0.6190476190476191,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,3,0.6294424019607843,0.6294424019607844,0.6125,0.6125,0.6125,0.6062436062436062,0.6062436062436063,"[[10, 1, 6, 3], [1, 15, 1, 3], [0, 0, 17, 3], [4, 1, 8, 7]]",0.5714285714285715,0.5,0.6666666666666666,0.8108108108108107,0.75,0.8823529411764706,0.6538461538461537,0.85,0.53125,0.38888888888888884,0.35,0.4375,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,0,0.783887987012987,0.784311367644701,0.7892857142857144,0.7901234567901234,0.7901234567901234,0.7839732508620768,0.7846304860653298,"[[18, 1, 0, 1], [0, 18, 2, 1], [0, 0, 17, 3], [3, 3, 3, 11]]",0.8780487804878048,0.9,0.8571428571428571,0.8372093023255814,0.8571428571428571,0.8181818181818182,0.8095238095238095,0.85,0.7727272727272727,0.6111111111111112,0.55,0.6875,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
0,1,0.7140350877192984,0.7134502923976608,0.7267857142857143,0.7283950617283951,0.7283950617283951,0.7020299145299145,0.702622137807323,"[[18, 0, 2, 1], [0, 20, 0, 0], [2, 0, 15, 3], [7, 5, 2, 6]]",0.75,0.8571428571428571,0.6666666666666666,0.888888888888889,1.0,0.8,0.7692307692307692,0.75,0.7894736842105263,0.4,0.3,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""elk"", ""exist"", ""pinpoint"", ""pmd"", ""redisson"", ""spring-boot"", ""spring-session""]"
